순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"59,000","-800","-1.3","14,428,882","851,618,619,425","59,400","59,400","58,800","352,217,170,450,000","18.27","5,969,782,550","3,352,024,087","56.15",2505
2,000660,SK하이닉스,"82,900","300","0.4","1,773,556","146,796,077,400","82,100","83,600","82,000","60,351,396,058,500","3.13","728,002,365","355,584,110","48.84",
3,035420,NAVER,"298,500","15,000","5.3","698,195","204,354,898,000","282,000","298,500","281,500","49,032,623,407,500","2.54","164,263,395","91,730,703","55.84",
4,051910,LG화학,"642,000","10,000","1.6","368,105","233,859,908,000","647,000","647,000","626,000","45,320,284,206,000","2.35","70,592,343","27,426,819","38.85",
5,005935,삼성전자우,"52,900","-500","-0.9","2,083,260","110,234,180,450","52,800","53,200","52,700","43,530,706,430,000","2.26","822,886,700","711,947,089","86.52",
6,207940,삼성바이오로직스,"637,000","2,000","0.3","55,140","35,125,357,000","635,000","643,000","633,000","42,147,105,000,000","2.19","66,165,000","6,629,100","10.02",
7,005380,현대차,"173,500","1,000","0.6","1,419,988","243,956,691,500","172,000","174,000","169,500","37,071,430,444,500","1.92","213,668,187","66,601,241","31.17",
8,068270,셀트리온,"242,500","3,500","1.5","426,527","102,756,565,000","241,000","243,000","239,000","32,735,981,465,000","1.70","134,993,738","27,886,902","20.66",
9,035720,카카오,"346,500","12,500","3.7","629,567","214,614,320,500","335,500","346,500","335,000","30,577,869,283,500","1.59","88,247,819","28,099,149","31.84",
10,006400,삼성SDI,"430,000","0","0.0","257,709","110,812,188,500","436,500","436,500","424,500","29,568,747,900,000","1.53","68,764,530","29,000,910","42.17",
11,012330,현대모비스,"252,500","8,000","3.3","487,858","119,768,061,000","241,500","255,000","237,000","24,001,310,235,000","1.25","95,054,694","41,036,609","43.17",
12,051900,LG생활건강,"1,524,000","-19,000","-1.2","18,950","28,804,294,000","1,518,000","1,538,000","1,512,000","23,802,132,228,000","1.23","15,618,197","7,107,819","45.51",
13,000270,기아차,"53,800","900","1.7","3,567,700","188,729,247,300","52,600","53,900","51,500","21,808,548,068,600","1.13","405,363,347","156,413,451","38.59",
14,028260,삼성물산,"113,000","-2,500","-2.2","1,529,935","171,498,983,500","114,500","115,000","110,000","21,118,240,153,000","1.10","186,887,081","25,697,598","13.75",
15,005490,POSCO,"216,000","-4,000","-1.8","298,845","64,354,480,808","217,000","218,500","213,000","18,832,356,360,000","0.98","87,186,835","44,314,991","50.83",
16,017670,SK텔레콤,"229,500","-3,000","-1.3","366,158","84,074,411,000","231,000","233,500","227,500","18,531,140,674,500","0.96","80,745,711","28,255,746","34.99",
17,036570,엔씨소프트,"802,000","20,000","2.6","78,286","61,901,963,000","776,000","803,000","775,000","17,607,125,644,000","0.91","21,954,022","10,681,510","48.65",
18,105560,KB금융,"42,050","300","0.7","1,186,091","49,548,663,950","41,050","42,250","41,000","17,484,723,036,000","0.91","415,807,920","273,503,287","65.78",
19,055550,신한지주,"31,500","1,300","4.3","4,419,345","137,626,863,800","30,000","31,600","29,900","16,270,595,302,500","0.84","516,526,835","278,987,003","54.01",
20,066570,LG전자,"90,000","600","0.7","375,683","33,659,409,900","88,900","90,200","88,800","14,728,303,260,000","0.76","163,647,814","58,380,243","35.67",
21,018260,삼성에스디에스,"176,500","-4,500","-2.5","202,957","36,009,153,500","179,500","181,500","175,500","13,657,181,700,000","0.71","77,377,800","9,396,722","12.14",
22,034730,SK,"192,000","-1,000","-0.5","94,574","18,129,223,000","191,500","193,500","190,500","13,509,177,024,000","0.70","70,360,297","15,337,317","21.80",
