순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"60,200","100","0.2","15,892,961","962,261,517,220","60,700","60,900","60,100","359,380,909,510,000","17.83","5,969,782,550","3,347,475,796","56.07",2507
2,000660,SK하이닉스,"86,000","-300","-0.4","2,444,330","211,176,309,559","86,500","87,300","85,600","62,608,203,390,000","3.11","728,002,365","356,117,950","48.92",
3,051910,LG화학,"734,000","14,000","1.9","601,476","441,893,648,000","739,000","750,000","722,000","51,814,779,762,000","2.57","70,592,343","28,896,621","40.93",
4,207940,삼성바이오로직스,"761,000","-16,000","-2.1","263,933","201,292,953,000","765,000","774,000","753,000","50,351,565,000,000","2.50","66,165,000","6,705,627","10.13",
5,035420,NAVER,"298,000","-3,000","-1.0","678,531","203,474,346,000","304,000","304,500","298,000","48,950,491,710,000","2.43","164,263,395","92,141,450","56.09",
6,005935,삼성전자우,"55,000","1,200","2.2","2,142,600","116,681,119,800","54,100","55,000","54,000","45,258,768,500,000","2.25","822,886,700","712,265,763","86.56",
7,068270,셀트리온,"285,000","7,500","2.7","886,316","252,385,536,000","282,500","288,000","281,500","38,473,215,330,000","1.91","134,993,738","27,577,318","20.43",
8,005380,현대차,"172,500","2,000","1.2","1,521,010","262,931,037,000","172,500","174,500","172,000","36,857,762,257,500","1.83","213,668,187","65,720,933","30.76",
9,006400,삼성SDI,"533,000","34,000","6.8","824,167","434,068,775,000","512,000","536,000","509,000","36,651,494,490,000","1.82","68,764,530","29,914,118","43.50",
10,035720,카카오,"371,500","1,000","0.3","593,735","220,510,544,500","375,000","376,000","367,500","32,784,064,758,500","1.63","88,247,819","28,215,054","31.97",
11,051900,LG생활건강,"1,527,000","1,000","0.1","21,957","33,505,719,000","1,517,000","1,534,000","1,517,000","23,848,986,819,000","1.18","15,618,197","7,111,154","45.53",
12,012330,현대모비스,"232,500","3,000","1.3","332,444","77,797,069,500","232,000","236,500","231,500","22,100,216,355,000","1.10","95,054,694","40,588,899","42.70",
13,028260,삼성물산,"115,000","0","0.0","470,472","54,134,655,000","115,500","116,500","114,500","21,492,014,315,000","1.07","186,887,081","26,036,527","13.93",
14,000270,기아차,"52,300","700","1.4","1,662,698","87,236,953,300","52,200","53,000","51,900","21,200,503,048,100","1.05","405,363,347","154,393,476","38.09",
15,005490,POSCO,"234,000","6,000","2.6","346,313","80,119,508,500","229,500","234,000","228,000","20,401,719,390,000","1.01","87,186,835","44,493,020","51.03",
16,036570,엔씨소프트,"844,000","-4,000","-0.5","71,482","60,440,994,000","841,000","852,000","838,000","18,529,194,568,000","0.92","21,954,022","10,684,298","48.67",
17,017670,SK텔레콤,"225,500","-1,500","-0.7","334,885","75,915,938,000","228,000","229,000","224,500","18,208,157,830,500","0.90","80,745,711","27,613,067","34.20",
18,105560,KB금융,"42,950","300","0.7","1,350,713","58,408,517,300","42,850","43,600","42,800","17,858,950,164,000","0.89","415,807,920","273,198,674","65.70",
19,055550,신한지주,"31,750","150","0.5","2,496,771","79,181,478,050","31,900","31,950","31,350","16,399,727,011,250","0.81","516,526,835","298,376,894","57.77",
20,096770,SK이노베이션,"157,000","15,500","11.0","2,099,423","321,954,722,500","147,500","157,500","145,500","14,517,093,548,000","0.72","92,465,564","22,039,752","23.84",
21,066570,LG전자,"87,300","200","0.2","586,050","51,226,219,100","87,900","88,300","87,100","14,286,454,162,200","0.71","163,647,814","58,381,586","35.68",
22,091990,셀트리온헬스케어,"92,300","800","0.9","809,775","74,958,274,200","92,600","93,300","92,000","14,007,413,110,600","0.69","151,759,622","25,650,882","16.90",
23,034730,SK,"193,500","3,000","1.6","197,123","38,046,269,500","191,500","194,000","191,000","13,614,717,469,500","0.68","70,360,297","15,150,094","21.53",
24,018260,삼성에스디에스,"175,000","2,000","1.2","136,036","23,761,833,000","173,500","176,500","173,000","13,541,115,000,000","0.67","77,377,800","9,460,591","12.23",
