순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"67,800","1,100","1.6","22,327,173","1,513,603,485,956","67,100","68,300","67,100","404,751,256,890,000","18.67","5,969,782,550","3,361,671,765","56.31",2514
2,000660,SK하이닉스,"100,500","3,000","3.1","4,455,519","446,056,404,700","98,600","101,500","97,800","73,164,237,682,500","3.38","728,002,365","365,477,264","50.20",
3,051910,LG화학,"809,000","9,000","1.1","404,022","324,593,461,000","808,000","816,000","794,000","57,109,205,487,000","2.63","70,592,343","29,879,749","42.33",
4,207940,삼성바이오로직스,"793,000","7,000","0.9","76,336","60,622,142,000","794,000","799,000","786,000","52,468,845,000,000","2.42","66,165,000","6,603,494","9.98",
5,005935,삼성전자우,"62,500","1,400","2.3","2,835,893","175,782,519,612","61,200","62,500","61,200","51,430,418,750,000","2.37","822,886,700","699,518,965","85.01",
6,035420,NAVER,"285,500","8,000","2.9","709,278","201,529,768,500","282,000","286,000","280,000","46,897,199,272,500","2.16","164,263,395","91,745,336","55.85",
7,068270,셀트리온,"344,000","4,000","1.2","1,242,970","427,934,021,000","346,000","351,500","338,000","46,439,244,920,000","2.14","134,997,805","27,823,004","20.61",
8,005380,현대차,"183,500","2,000","1.1","1,792,800","326,319,671,000","183,000","184,500","179,500","39,208,112,314,500","1.81","213,668,187","66,116,836","30.94",
9,006400,삼성SDI,"547,000","14,000","2.6","245,050","132,809,800,000","543,000","547,000","535,000","37,614,197,910,000","1.74","68,764,530","29,925,500","43.52",
10,035720,카카오,"374,500","6,500","1.8","452,723","168,542,579,000","369,500","375,000","369,000","33,060,711,698,000","1.53","88,279,604","28,492,535","32.28",
11,000270,기아차,"59,800","2,000","3.5","1,822,248","107,819,538,409","58,700","60,000","58,100","24,240,728,150,600","1.12","405,363,347","152,330,852","37.58",
12,051900,LG생활건강,"1,538,000","24,000","1.6","19,516","29,822,605,000","1,534,000","1,538,000","1,515,000","24,020,786,986,000","1.11","15,618,197","7,121,504","45.60",
13,012330,현대모비스,"242,500","-1,500","-0.6","407,207","98,987,453,500","247,500","248,000","241,500","23,050,763,295,000","1.06","95,054,694","41,219,750","43.36",
14,028260,삼성물산,"121,500","1,000","0.8","343,009","41,564,624,000","121,500","122,000","120,500","22,706,780,341,500","1.05","186,887,081","26,657,858","14.26",
15,005490,POSCO,"245,500","11,500","4.9","413,073","100,619,745,000","238,000","248,500","237,000","21,404,367,992,500","0.99","87,186,835","44,396,617","50.92",
16,091990,셀트리온헬스케어,"126,000","3,900","3.2","4,373,742","546,418,649,600","126,300","128,200","121,400","19,128,037,572,000","0.88","151,809,822","26,248,947","17.29",
17,017670,SK텔레콤,"236,500","-1,000","-0.4","239,620","56,720,279,500","237,000","238,000","235,000","19,096,360,651,500","0.88","80,745,711","27,427,402","33.97",
18,105560,KB금융,"45,900","550","1.2","2,394,959","110,094,719,700","45,750","46,700","45,650","19,085,583,528,000","0.88","415,807,920","273,685,670","65.82",
19,036570,엔씨소프트,"852,000","42,000","5.2","193,153","163,839,683,000","821,000","860,000","815,000","18,704,826,744,000","0.86","21,954,022","10,595,600","48.26",
20,055550,신한지주,"33,150","950","3.0","3,135,125","103,603,400,600","32,650","33,350","32,600","17,122,864,580,250","0.79","516,526,835","297,211,497","57.54",
21,096770,SK이노베이션,"182,500","9,500","5.5","1,433,423","258,708,922,500","176,000","183,000","175,000","16,874,965,430,000","0.78","92,465,564","21,958,119","23.75",
22,034730,SK,"221,500","10,000","4.7","316,450","68,958,539,000","213,000","221,500","213,000","15,584,805,785,500","0.72","70,360,297","15,218,719","21.63",
23,032830,삼성생명,"72,500","1,200","1.7","400,071","28,849,014,900","72,000","72,600","71,600","14,500,000,000,000","0.67","200,000,000","24,317,285","12.16",
