순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"73,900","2,200","3.1","24,077,996","1,758,752,959,520","72,100","73,900","72,000","441,166,930,445,000","19.50","5,969,782,550","3,363,404,671","56.34",2520
2,000660,SK하이닉스,"120,500","5,500","4.8","5,490,760","651,044,989,000","116,000","121,000","115,000","87,724,284,982,500","3.88","728,002,365","365,667,049","50.23",
3,051910,LG화학,"836,000","25,000","3.1","392,544","322,992,641,000","820,000","836,000","807,000","59,015,198,748,000","2.61","70,592,343","30,120,984","42.67",
4,005935,삼성전자우,"66,900","1,100","1.7","3,052,718","203,101,483,600","65,900","66,900","65,800","55,051,120,230,000","2.43","822,886,700","689,743,440","83.82",
5,207940,삼성바이오로직스,"822,000","-6,000","-0.7","193,188","159,039,482,000","831,000","838,000","811,000","54,387,630,000,000","2.40","66,165,000","6,640,360","10.04",
6,068270,셀트리온,"353,500","3,500","1.0","3,599,378","1,258,969,598,500","352,000","364,500","327,000","47,721,724,067,500","2.11","134,997,805","28,518,806","21.13",
7,035420,NAVER,"288,000","3,000","1.0","533,304","152,722,372,500","285,500","289,000","285,000","47,307,857,760,000","2.09","164,263,395","91,753,483","55.86",
8,005380,현대차,"191,500","5,000","2.7","1,805,987","342,713,791,500","188,000","192,000","187,000","40,917,457,810,500","1.81","213,668,187","65,912,832","30.85",
9,006400,삼성SDI,"566,000","13,000","2.4","413,402","232,804,188,000","562,000","569,000","557,000","38,920,723,980,000","1.72","68,764,530","30,052,790","43.70",
10,035720,카카오,"375,000","500","0.1","579,905","217,181,700,500","375,000","378,000","373,000","33,104,851,500,000","1.46","88,279,604","28,256,929","32.01",
11,000270,기아차,"63,700","600","1.0","1,984,241","126,689,498,800","63,100","64,400","63,100","25,821,645,203,900","1.14","405,363,347","152,928,249","37.73",
12,051900,LG생활건강,"1,555,000","8,000","0.5","31,450","48,873,810,000","1,536,000","1,561,000","1,535,000","24,286,296,335,000","1.07","15,618,197","7,128,547","45.64",
13,005490,POSCO,"273,000","7,500","2.8","430,782","116,869,873,500","265,000","275,000","264,000","23,802,005,955,000","1.05","87,186,835","44,564,702","51.11",
14,028260,삼성물산,"124,500","500","0.4","502,608","62,122,117,500","124,000","124,500","122,500","23,267,441,584,500","1.03","186,887,081","26,428,844","14.14",
15,012330,현대모비스,"241,500","-500","-0.2","352,182","85,391,976,500","241,000","245,000","240,500","22,955,708,601,000","1.01","95,054,694","41,240,950","43.39",
16,091990,셀트리온헬스케어,"150,000","6,900","4.8","11,850,887","1,752,264,085,800","146,000","154,800","138,600","22,771,473,300,000","1.01","151,809,822","25,679,409","16.92",
17,017670,SK텔레콤,"240,000","0","0.0","289,325","69,372,152,500","239,000","241,500","238,500","19,378,970,640,000","0.86","80,745,711","27,495,266","34.05",
18,036570,엔씨소프트,"879,000","5,000","0.6","123,243","109,042,941,000","881,000","900,000","875,000","19,297,585,338,000","0.85","21,954,022","10,617,202","48.36",
19,105560,KB금융,"46,150","250","0.5","1,883,856","87,036,008,950","45,550","46,550","45,500","19,189,535,508,000","0.85","415,807,920","274,134,129","65.93",
20,055550,신한지주,"34,050","250","0.7","2,263,922","77,106,828,900","33,750","34,300","33,550","17,587,738,731,750","0.78","516,526,835","298,119,684","57.72",
21,034730,SK,"245,500","2,000","0.8","378,477","92,281,239,000","247,000","247,500","241,500","17,273,452,913,500","0.76","70,360,297","15,167,002","21.56",
22,096770,SK이노베이션,"185,000","9,000","5.1","1,818,578","334,978,565,500","178,000","188,500","177,500","17,106,129,340,000","0.76","92,465,564","21,980,140","23.77",
23,066570,LG전자,"96,200","1,200","1.3","2,114,941","203,441,489,800","96,800","98,000","95,000","15,742,919,706,800","0.70","163,647,814","59,089,920","36.11",
24,032830,삼성생명,"72,600","300","0.4","378,944","27,444,933,500","72,500","72,900","71,900","14,520,000,000,000","0.64","200,000,000","24,282,548","12.14",
25,015760,한국전력,"22,400","900","4.2","5,821,012","128,423,977,450","21,600","22,500","21,550","14,379,995,324,800","0.64","641,964,077","107,133,863","16.69",
26,018260,삼성에스디에스,"175,500","500","0.3","159,618","27,996,310,500","177,000","177,500","174,000","13,579,803,900,000","0.60","77,377,800","9,443,402","12.20",
27,326030,SK바이오팜,"172,500","1,000","0.6","142,802","24,578,943,500","173,000","173,500","171,500","13,509,035,625,000","0.60","78,313,250","3,331,321","4.25",
28,003550,LG,"77,000","2,000","2.7","510,984","39,220,371,800","75,000","77,300","75,000","13,286,899,087,000","0.59","172,557,131","60,145,208","34.86",
29,090430,아모레퍼시픽,"217,000","21,000","10.7","909,898","191,911,971,000","199,000","217,000","198,000","12,685,492,330,000","0.56","58,458,490","18,836,739","32.22",
30,009150,삼성전기,"162,500","1,500","0.9","470,276","76,011,830,500","162,000","163,000","160,000","12,137,725,600,000","0.54","74,693,696","25,792,376","34.53",
31,033780,KT&G,"84,600","500","0.6","407,848","34,364,999,000","84,300","84,600","84,000","11,614,945,246,200","0.51","137,292,497","55,540,598","40.45",
32,251270,넷마블,"128,000","0","0.0","253,576","32,354,052,500","128,500","129,500","126,500","10,988,064,640,000","0.49","85,844,255","19,233,036","22.40",
33,086790,하나금융지주,"35,100","350","1.0","1,390,670","48,761,373,050","34,550","35,300","34,550","10,538,496,376,200","0.47","300,242,062","194,470,240","64.77",
34,019170,신풍제약,"191,000","2,500","1.3","3,411,705","648,920,057,500","192,500","200,000","173,500","10,120,133,090,000","0.45","52,984,990","6,154,155","11.61",
35,011170,롯데케미칼,"279,500","10,500","3.9","328,980","91,028,114,500","272,000","280,000","271,500","9,579,979,610,500","0.42","34,275,419","9,208,054","26.86",
36,000810,삼성화재,"187,500","1,000","0.5","153,833","28,906,157,000","187,000","189,000","187,000","8,882,781,937,500","0.39","47,374,837","21,053,079","44.44",
37,018880,한온시스템,"16,350","700","4.5","1,449,354","23,274,507,100","15,750","16,500","15,550","8,727,630,000,000","0.39","533,800,000","110,732,604","20.74",
38,010950,S-Oil,"71,700","1,800","2.6","586,343","41,935,897,000","70,200","72,400","70,200","8,072,186,186,400","0.36","112,582,792","84,479,993","75.04",
39,068760,셀트리온제약,"209,700","5,200","2.5","2,122,535","441,610,454,900","205,100","214,600","194,300","7,509,490,578,900","0.33","35,810,637","3,327,814","9.29",
40,009830,한화솔루션,"46,800","-350","-0.7","2,426,208","113,911,165,950","47,600","47,650","46,550","7,481,658,459,600","0.33","159,864,497","30,433,990","19.04",
41,010130,고려아연,"395,000","3,000","0.8","35,342","13,904,484,000","393,000","395,000","392,000","7,453,650,000,000","0.33","18,870,000","4,524,579","23.98",
42,316140,우리금융지주,"10,000","50","0.5","1,800,969","18,014,937,810","9,880","10,100","9,870","7,222,676,830,000","0.32","722,267,683","182,619,086","25.28",
43,009540,한국조선해양,"102,000","500","0.5","319,123","32,535,122,000","103,000","103,500","101,000","7,218,857,832,000","0.32","70,773,116","11,196,251","15.82",
44,024110,기업은행,"9,420","70","0.8","1,856,373","17,504,593,070","9,320","9,490","9,310","6,958,218,271,200","0.31","738,664,360","75,958,458","10.28",
45,086280,현대글로비스,"185,500","0","0.0","207,173","38,467,076,000","185,500","187,500","184,000","6,956,250,000,000","0.31","37,500,000","13,467,838","35.91",
46,006800,미래에셋대우,"10,150","160","1.6","1,585,905","15,930,376,400","10,050","10,150","10,000","6,549,961,541,200","0.29","645,316,408","92,303,520","14.30",
47,003670,포스코케미칼,"105,500","14,500","15.9","4,196,459","426,684,426,000","93,000","109,000","91,100","6,434,257,210,000","0.28","60,988,220","4,535,023","7.44",
48,352820,빅히트,"180,000","-2,000","-1.1","156,872","28,455,656,000","183,000","183,000","180,000","6,412,276,800,000","0.28","35,623,760","1,352,275","3.80",
49,030200,KT,"24,300","150","0.6","864,601","20,938,757,050","24,150","24,350","24,100","6,345,016,934,400","0.28","261,111,808","114,758,316","43.95",
50,034220,LG디스플레이,"16,100","50","0.3","1,985,256","31,987,053,850","16,100","16,200","16,000","5,760,832,770,000","0.25","357,815,700","83,495,980","23.33",
51,097950,CJ제일제당,"363,000","500","0.1","52,943","19,175,587,500","362,000","364,000","360,500","5,464,669,518,000","0.24","15,054,186","3,556,584","23.63",
52,004020,현대제철,"39,950","2,700","7.2","2,590,180","101,680,100,700","37,850","40,100","37,700","5,331,159,110,750","0.24","133,445,785","25,970,664","19.46",
53,021240,코웨이,"70,500","900","1.3","177,714","12,521,624,345","69,700","70,900","69,600","5,202,873,139,500","0.23","73,799,619","44,746,429","60.63",
54,028300,에이치엘비,"98,500","1,300","1.3","1,131,240","110,268,381,500","97,700","99,300","95,500","5,186,491,890,000","0.23","52,654,740","6,456,568","12.26",
55,032640,LG유플러스,"11,700","200","1.7","2,699,244","31,489,982,000","11,550","11,800","11,500","5,108,352,923,700","0.23","436,611,361","136,137,081","31.18",
56,096530,씨젠,"194,500","-12,000","-5.8","999,068","197,900,771,700","205,000","205,700","194,500","5,102,516,890,000","0.23","26,234,020","4,334,157","16.52",
57,035250,강원랜드,"23,700","450","1.9","796,430","18,847,841,200","23,350","23,900","23,350","5,070,389,850,000","0.22","213,940,500","48,468,089","22.65",
58,161390,한국타이어앤테크놀로지,"40,200","2,750","7.3","843,254","33,374,562,100","37,850","40,300","37,450","4,979,777,773,800","0.22","123,875,069","47,512,421","38.36",
59,003490,대한항공,"27,750","1,050","3.9","7,615,934","207,980,768,750","27,200","27,900","26,500","4,834,319,535,750","0.21","174,209,713","21,817,795","12.52",
60,271560,오리온,"122,000","2,500","2.1","142,504","17,168,486,000","120,000","122,000","119,000","4,823,408,104,000","0.21","39,536,132","16,620,419","42.04",
61,196170,알테오젠,"170,700","0","0.0","216,478","37,035,274,800","171,900","173,400","169,000","4,793,751,030,000","0.21","28,082,900","5,148,558","18.33",
62,008930,한미사이언스,"72,600","-2,200","-2.9","1,053,766","77,773,939,700","76,000","77,400","71,100","4,792,409,417,400","0.21","66,011,149","1,253,301","1.90",
63,002790,아모레G,"57,200","3,000","5.5","464,140","26,429,583,400","54,300","57,700","54,300","4,716,607,896,000","0.21","82,458,180","16,425,830","19.92",
64,285130,SK케미칼,"383,000","5,500","1.5","250,889","96,316,688,500","381,500","391,500","377,500","4,496,954,668,000","0.20","11,741,396","1,972,419","16.80",
65,000100,유한양행,"67,000","0","0.0","541,652","36,085,583,200","67,800","67,800","66,000","4,479,406,270,000","0.20","66,856,810","13,974,553","20.90",
66,010140,삼성중공업,"6,960","0","0.0","6,587,107","45,813,074,410","6,950","7,040","6,890","4,384,800,000,000","0.19","630,000,000","93,845,821","14.90",
67,139480,이마트,"156,500","4,000","2.6","283,754","44,137,884,500","152,500","157,500","152,000","4,362,565,673,500","0.19","27,875,819","8,839,277","31.71",
68,267250,현대중공업지주,"276,000","6,000","2.2","38,573","10,593,220,000","270,500","277,500","270,500","4,360,418,292,000","0.19","15,798,617","2,750,568","17.41",
69,071050,한국금융지주,"78,000","200","0.3","348,847","27,302,901,200","78,200","79,000","77,600","4,346,627,376,000","0.19","55,725,992","16,824,150","30.19",
70,011780,금호석유,"141,500","2,000","1.4","231,747","32,734,187,000","140,000","142,500","138,000","4,311,178,276,500","0.19","30,467,691","8,583,750","28.17",
71,128940,한미약품,"359,500","-500","-0.1","123,343","44,283,461,500","364,500","367,500","351,000","4,257,568,925,500","0.19","11,843,029","1,655,296","13.98",
72,011200,HMM,"12,900","150","1.2","4,291,905","54,833,539,650","12,950","13,150","12,500","4,214,769,566,700","0.19","326,726,323","20,348,082","6.23",
73,000720,현대건설,"36,800","300","0.8","1,162,859","42,847,948,350","36,750","37,200","36,450","4,097,892,152,000","0.18","111,355,765","21,507,778","19.31",
74,006280,녹십자,"346,500","-4,500","-1.3","211,180","73,197,003,500","354,000","355,500","333,000","4,049,385,417,000","0.18","11,686,538","2,214,056","18.95",
75,029780,삼성카드,"34,600","450","1.3","125,449","4,324,903,250","34,200","34,700","34,100","4,008,717,628,600","0.18","115,858,891","11,798,433","10.18",
76,180640,한진칼,"66,800","100","0.2","155,364","10,398,186,500","67,200","67,500","66,400","3,954,564,074,800","0.17","59,200,061","10,144,496","17.14",
77,011070,LG이노텍,"163,500","1,000","0.6","157,713","25,707,799,000","164,500","164,500","161,500","3,869,571,994,500","0.17","23,667,107","8,096,812","34.21",
78,088980,맥쿼리인프라,"10,800","-50","-0.5","509,630","5,511,661,600","10,850","10,850","10,800","3,769,678,828,800","0.17","349,044,336","49,991,950","14.32",
79,016360,삼성증권,"41,350","500","1.2","398,003","16,386,134,950","41,050","41,400","40,900","3,692,555,000,000","0.16","89,300,000","22,487,872","25.18",
80,034020,두산중공업,"14,550","150","1.0","2,180,486","31,675,509,700","14,600","14,750","14,400","3,683,204,474,550","0.16","253,141,201","31,511,491","12.45",
81,000120,CJ대한통운,"160,500","1,000","0.6","76,452","12,224,903,000","159,000","161,000","158,500","3,661,381,212,000","0.16","22,812,344","4,850,366","21.26",
82,004990,롯데지주,"34,750","450","1.3","119,315","4,130,792,400","34,350","34,900","34,250","3,645,595,985,750","0.16","104,909,237","11,870,398","11.31",
83,293490,카카오게임즈,"48,950","-200","-0.4","539,249","26,491,837,750","49,200","49,700","48,900","3,624,827,484,300","0.16","74,051,634","999,598","1.35",
84,078930,GS,"37,700","650","1.8","524,068","19,701,577,550","37,050","37,850","36,750","3,502,909,750,600","0.15","92,915,378","17,908,637","19.27",
85,003410,쌍용양회,"6,830","190","2.9","4,241,915","28,929,056,650","6,640","6,920","6,630","3,441,361,033,850","0.15","503,859,595","15,401,566","3.06",
86,008770,호텔신라,"84,600","3,300","4.1","1,584,583","132,941,606,900","82,000","84,700","81,500","3,320,391,036,600","0.15","39,248,121","8,497,731","21.65",
87,005940,NH투자증권,"11,750","150","1.3","1,211,785","14,266,588,200","11,650","11,850","11,650","3,306,554,422,250","0.15","281,408,887","41,158,162","14.63",
88,011790,SKC,"87,900","2,800","3.3","388,399","33,920,342,500","86,100","88,400","85,600","3,299,287,384,500","0.15","37,534,555","2,935,463","7.82",
89,005387,현대차2우B,"89,900","500","0.6","118,168","10,626,272,400","89,200","90,300","89,200","3,280,042,044,900","0.14","36,485,451","22,077,570","60.51",
90,247540,에코프로비엠,"152,600","3,700","2.5","283,226","42,870,320,400","151,000","153,000","149,000","3,209,966,331,600","0.14","21,035,166","1,334,807","6.35",
91,095700,제넥신,"129,500","-1,500","-1.2","1,256,525","163,754,506,600","133,200","136,100","122,000","3,142,798,333,500","0.14","24,268,713","1,813,124","7.47",
92,039490,키움증권,"140,000","1,500","1.1","138,769","19,327,525,000","140,000","141,000","137,500","3,124,237,480,000","0.14","22,315,982","5,630,866","25.23",
93,005830,DB손해보험,"43,700","-250","-0.6","246,816","10,845,607,400","43,950","44,200","43,700","3,093,960,000,000","0.14","70,800,000","28,649,924","40.47",
94,263750,펄어비스,"236,500","-2,800","-1.2","64,201","15,269,952,300","239,500","240,000","234,000","3,093,384,525,000","0.14","13,079,850","3,017,874","23.07",
95,026960,동서,"31,000","450","1.5","208,480","6,333,628,950","30,500","31,050","29,450","3,090,700,000,000","0.14","99,700,000","4,817,198","4.83",
96,012750,에스원,"80,500","0","0.0","63,236","5,093,858,000","80,100","80,900","80,000","3,058,933,829,000","0.14","37,999,178","20,832,594","54.82",
97,032500,케이엠더블유,"76,800","600","0.8","668,486","51,634,188,400","77,200","78,200","76,000","3,058,243,814,400","0.14","39,820,883","3,458,845","8.69",
98,012510,더존비즈온,"101,000","500","0.5","101,458","10,162,318,500","100,500","101,000","99,900","3,040,703,172,000","0.13","30,105,972","13,606,985","45.20",
99,241560,두산밥캣,"29,800","-100","-0.3","372,896","11,101,835,150","29,900","30,150","29,500","2,987,425,146,800","0.13","100,249,166","20,489,389","20.44",
100,035760,CJ ENM,"136,100","300","0.2","95,142","12,981,310,700","137,500","137,500","135,500","2,984,557,859,400","0.13","21,929,154","4,567,540","20.83",
101,042660,대우조선해양,"27,650","100","0.4","266,846","7,350,445,800","27,550","27,900","27,250","2,966,586,997,850","0.13","107,290,669","9,534,580","8.89",
102,051915,LG화학우,"381,000","10,000","2.7","33,330","12,588,824,000","374,000","382,000","371,500","2,929,432,800,000","0.13","7,688,800","4,601,835","59.85",
103,023530,롯데쇼핑,"102,000","2,100","2.1","146,811","14,957,097,000","101,000","103,000","100,500","2,885,453,010,000","0.13","28,288,755","3,275,704","11.58",
104,000210,대림산업,"82,300","1,000","1.2","525,237","43,118,683,600","81,700","82,900","81,200","2,864,040,000,000","0.13","34,800,000","13,182,498","37.88",
105,006360,GS건설,"35,150","1,050","3.1","921,779","32,104,942,300","34,550","35,450","33,950","2,815,437,810,600","0.12","80,097,804","22,234,736","27.76",
106,036490,SK머티리얼즈,"264,300","-400","-0.2","49,658","12,972,547,500","264,600","266,700","258,500","2,787,749,973,900","0.12","10,547,673","1,626,256","15.42",
107,336260,두산퓨얼셀,"47,800","2,900","6.5","1,590,434","74,274,289,900","45,850","47,800","45,250","2,652,600,102,800","0.12","55,493,726","6,995,023","12.61",
108,036460,한국가스공사,"28,550","500","1.8","254,220","7,214,370,150","28,150","28,600","28,150","2,635,536,150,000","0.12","92,313,000","8,077,583","8.75",
109,204320,만도,"56,000","0","0.0","800,779","44,714,391,400","56,400","56,900","55,100","2,629,598,720,000","0.12","46,957,120","12,787,250","27.23",
110,028050,삼성엔지니어링,"13,350","150","1.1","2,290,316","30,426,621,350","13,250","13,500","13,050","2,616,600,000,000","0.12","196,000,000","49,633,091","25.32",
111,007070,GS리테일,"33,800","200","0.6","176,554","5,950,867,850","33,700","33,800","33,600","2,602,600,000,000","0.12","77,000,000","10,823,348","14.06",
112,253450,스튜디오드래곤,"85,300","1,200","1.4","237,715","20,212,492,100","85,300","85,500","84,200","2,559,370,628,500","0.11","30,004,345","2,621,446","8.74",
113,008560,메리츠증권,"3,775","35","0.9","1,779,350","6,695,547,330","3,740","3,780","3,735","2,551,755,519,425","0.11","675,961,727","85,835,087","12.70",
114,081660,휠라홀딩스,"42,000","650","1.6","400,316","16,871,857,350","41,750","42,600","41,600","2,551,593,324,000","0.11","60,752,222","27,890,097","45.91",
115,004170,신세계,"245,000","12,000","5.2","297,341","72,556,403,000","233,000","248,000","233,000","2,412,069,345,000","0.11","9,845,181","2,558,277","25.99",
116,030000,제일기획,"20,800","100","0.5","312,827","6,496,176,850","20,700","20,900","20,650","2,392,857,480,000","0.11","115,041,225","37,028,628","32.19",
117,112610,씨에스윈드,"138,000","14,000","11.3","1,170,385","159,314,523,500","124,500","142,000","124,500","2,385,428,670,000","0.11","17,285,715","1,488,861","8.61",
118,001040,CJ,"81,300","1,800","2.3","159,221","12,887,144,500","79,900","81,600","79,600","2,372,089,937,400","0.10","29,176,998","5,572,060","19.10",
