순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"61,000","-300","-0.5","19,800,573","1,208,396,630,080","61,000","61,400","60,700","364,156,735,550,000","17.92","5,969,782,550","3,360,486,981","56.29",2508
2,000660,SK하이닉스,"88,100","1,100","1.3","4,006,433","351,888,492,600","87,600","88,400","87,000","64,137,008,356,500","3.16","728,002,365","358,871,152","49.30",
3,207940,삼성바이오로직스,"753,000","-8,000","-1.0","72,329","54,681,883,000","761,000","765,000","753,000","49,822,245,000,000","2.45","66,165,000","6,700,364","10.13",
4,051910,LG화학,"692,000","0","0.0","396,873","276,553,517,000","696,000","710,000","691,000","48,849,901,356,000","2.40","70,592,343","28,886,497","40.92",
5,005935,삼성전자우,"57,300","400","0.7","3,846,625","219,035,448,848","56,900","57,300","56,100","47,151,407,910,000","2.32","822,886,700","713,365,086","86.69",
6,035420,NAVER,"279,000","-1,000","-0.4","1,016,673","285,804,347,000","283,000","285,500","279,000","45,829,487,205,000","2.26","164,263,395","91,560,349","55.74",
7,068270,셀트리온,"292,000","-4,500","-1.5","1,024,919","299,447,289,500","295,000","296,500","289,000","39,418,171,496,000","1.94","134,993,738","27,739,616","20.55",
8,005380,현대차,"174,000","-1,500","-0.8","1,965,154","343,644,797,500","175,500","177,000","173,000","37,178,264,538,000","1.83","213,668,187","65,450,097","30.63",
9,006400,삼성SDI,"515,000","3,000","0.6","493,665","253,418,924,000","513,000","519,000","508,000","35,413,732,950,000","1.74","68,764,530","29,936,934","43.54",
10,035720,카카오,"357,500","2,000","0.6","555,279","199,148,779,000","360,000","364,500","355,000","31,548,595,292,500","1.55","88,247,819","28,144,903","31.89",
11,051900,LG생활건강,"1,607,000","36,000","2.3","57,493","92,407,109,000","1,570,000","1,648,000","1,554,000","25,098,442,579,000","1.24","15,618,197","7,154,478","45.81",
12,000270,기아차,"59,000","900","1.6","4,630,753","273,102,694,200","58,600","60,100","57,200","23,916,437,473,000","1.18","405,363,347","155,875,113","38.45",
13,012330,현대모비스,"239,500","-3,500","-1.4","484,809","116,326,851,000","242,000","242,500","238,500","22,765,599,213,000","1.12","95,054,694","40,923,433","43.05",
14,028260,삼성물산,"120,500","-2,500","-2.0","676,074","81,766,385,500","122,000","122,500","120,000","22,519,893,260,500","1.11","186,887,081","26,445,065","14.15",
15,005490,POSCO,"236,500","-2,000","-0.8","433,732","102,703,069,500","239,500","240,000","234,000","20,619,686,477,500","1.01","87,186,835","44,522,158","51.07",
16,105560,KB금융,"46,350","-900","-1.9","2,889,973","134,580,281,750","47,350","47,350","46,100","19,272,697,092,000","0.95","415,807,920","274,553,944","66.03",
17,017670,SK텔레콤,"230,000","-500","-0.2","309,728","71,131,439,000","231,000","232,000","228,000","18,571,513,530,000","0.91","80,745,711","27,640,260","34.23",
18,036570,엔씨소프트,"791,000","-10,000","-1.2","102,690","81,688,506,000","796,000","810,000","791,000","17,365,631,402,000","0.85","21,954,022","10,586,020","48.22",
19,055550,신한지주,"32,900","-750","-2.2","4,474,654","148,555,776,400","33,700","33,850","32,800","16,993,732,871,500","0.84","516,526,835","299,287,987","57.94",
