순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"60,100","-800","-1.3","14,294,095","858,048,333,246","60,300","60,500","59,800","358,783,931,255,000","18.53","5,969,782,550","3,352,764,576","56.16",2503
2,000660,SK하이닉스,"83,300","-500","-0.6","2,593,975","215,562,088,236","84,200","84,300","82,500","60,642,597,004,500","3.13","728,002,365","355,313,064","48.81",
3,035420,NAVER,"293,000","-4,500","-1.5","416,425","122,387,518,500","295,000","296,000","292,000","48,129,174,735,000","2.49","164,263,395","91,563,655","55.74",
4,051910,LG화학,"639,000","22,000","3.6","512,433","325,160,484,000","623,000","642,000","621,000","45,108,507,177,000","2.33","70,592,343","27,148,161","38.46",
5,005935,삼성전자우,"53,500","300","0.6","2,123,010","112,906,788,998","52,900","53,500","52,800","44,024,438,450,000","2.27","822,886,700","713,264,235","86.68",
6,207940,삼성바이오로직스,"658,000","-30,000","-4.4","186,612","123,820,028,000","679,000","684,000","652,000","43,536,570,000,000","2.25","66,165,000","6,655,265","10.06",
7,005380,현대차,"162,500","-3,000","-1.8","1,700,524","275,399,478,500","163,000","163,500","161,000","34,721,080,387,500","1.79","213,668,187","66,399,144","31.08",
8,068270,셀트리온,"237,500","-6,500","-2.7","831,654","199,004,845,000","241,500","245,500","236,000","32,061,012,775,000","1.66","134,993,738","28,005,644","20.75",
9,035720,카카오,"349,000","-4,500","-1.3","376,380","131,069,896,500","351,500","352,000","345,500","30,798,488,831,000","1.59","88,247,819","28,082,750","31.82",
10,006400,삼성SDI,"429,500","-3,500","-0.8","193,326","83,201,741,000","430,000","437,500","425,000","29,534,365,635,000","1.53","68,764,530","28,912,651","42.05",
11,051900,LG생활건강,"1,539,000","-12,000","-0.8","34,458","52,582,411,697","1,549,000","1,551,000","1,497,000","24,036,405,183,000","1.24","15,618,197","7,105,286","45.49",
12,012330,현대모비스,"234,000","2,500","1.1","372,056","85,992,166,000","228,000","234,500","226,000","22,242,798,396,000","1.15","95,054,694","41,094,010","43.23",
13,028260,삼성물산,"104,500","500","0.5","216,486","22,417,974,000","103,500","104,500","102,500","19,529,699,964,500","1.01","186,887,081","26,202,485","14.02",
