순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"57,400","800","1.4","20,489,076","1,165,272,782,935","56,400","57,500","56,000","342,665,518,370,000","18.09","5,969,782,550","3,341,249,266","55.97",2507
2,000660,SK하이닉스,"79,600","-300","-0.4","2,000,394","159,651,019,600","80,200","80,600","79,200","57,948,988,254,000","3.06","728,002,365","354,494,562","48.69",
3,035420,NAVER,"285,500","-4,500","-1.6","503,831","144,652,379,000","292,000","293,000","285,500","46,897,199,272,500","2.48","164,263,395","91,849,352","55.92",
4,207940,삼성바이오로직스,"698,000","16,000","2.4","84,738","58,515,700,000","691,000","699,000","682,000","46,183,170,000,000","2.44","66,165,000","6,640,138","10.04",
5,051910,LG화학,"623,000","12,000","2.0","505,856","307,453,740,000","609,000","625,000","588,000","43,979,029,689,000","2.32","70,592,343","27,930,169","39.57",
6,005935,삼성전자우,"51,200","1,100","2.2","2,743,951","138,429,380,600","49,800","51,300","49,200","42,131,799,040,000","2.22","822,886,700","709,943,590","86.27",
7,005380,현대차,"170,500","6,000","3.6","1,052,301","177,093,717,500","166,000","170,500","166,000","36,430,425,883,500","1.92","213,668,187","66,396,138","31.07",
8,068270,셀트리온,"244,500","3,500","1.4","486,328","119,076,918,500","242,500","249,000","240,000","33,005,968,941,000","1.74","134,993,738","27,591,120","20.44",
9,006400,삼성SDI,"440,000","-2,000","-0.4","460,501","200,161,978,000","447,500","448,000","427,000","30,256,393,200,000","1.60","68,764,530","29,211,513","42.48",
10,035720,카카오,"334,500","4,500","1.4","319,856","106,478,734,500","330,500","335,500","328,000","29,518,895,455,500","1.56","88,247,819","27,849,494","31.56",
11,051900,LG생활건강,"1,531,000","31,000","2.1","19,283","29,258,084,000","1,515,000","1,533,000","1,490,000","23,911,459,607,000","1.26","15,618,197","7,111,278","45.53",
12,012330,현대모비스,"226,500","1,000","0.4","428,586","97,445,427,500","227,000","231,500","225,500","21,529,888,191,000","1.14","95,054,694","40,572,445","42.68",
13,028260,삼성물산,"112,000","1,500","1.4","500,486","55,668,512,000","111,500","112,500","109,500","20,931,353,072,000","1.10","186,887,081","25,798,237","13.80",
14,000270,기아차,"51,500","1,000","2.0","1,651,148","84,715,744,900","50,700","52,200","50,600","20,876,212,370,500","1.10","405,363,347","155,476,175","38.35",
