순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"45,950","-250","-0.5","6,741,395","309,243,749,000","45,850","46,150","45,450","274,311,508,172,500","15.99","5,969,782,550","3,383,612,607","56.68",2382
2,000660,SK하이닉스,"73,700","-1,000","-1.3","1,462,071","108,018,207,300","74,500","74,800","73,000","53,653,774,300,500","3.13","728,002,365","366,492,658","50.34",
3,005935,삼성전자우,"36,600","-300","-0.8","784,726","28,888,799,800","37,200","37,200","36,600","30,117,653,220,000","1.76","822,886,700","764,571,027","92.91",
4,051910,LG화학,"390,000","-1,000","-0.3","167,684","65,484,396,000","390,500","394,500","387,500","27,531,013,770,000","1.60","70,592,343","26,829,799","38.01",
5,068270,셀트리온,"215,000","3,000","1.4","431,134","92,587,801,000","213,000","217,000","211,500","26,973,068,595,000","1.57","125,456,133","25,100,838","20.01",
6,005380,현대차,"119,500","-1,000","-0.8","470,357","56,216,206,000","119,500","120,500","119,000","25,533,348,346,500","1.49","213,668,187","95,927,966","44.90",
7,207940,삼성바이오로직스,"384,500","5,500","1.4","108,858","41,761,647,000","380,500","386,500","378,500","25,440,442,500,000","1.48","66,165,000","5,650,442","8.54",
8,005490,POSCO,"268,500","6,000","2.3","236,793","63,175,395,000","263,000","269,500","262,000","23,409,665,197,500","1.36","87,186,835","47,360,601","54.32",
9,028260,삼성물산,"116,000","-500","-0.4","163,313","19,009,220,500","116,000","117,000","115,500","22,004,044,988,000","1.28","189,690,043","26,597,650","14.02",
10,015760,한국전력,"33,000","-50","-0.2","616,276","20,388,084,100","33,050","33,400","32,900","21,184,814,541,000","1.23","641,964,077","183,175,169","28.53",
11,017670,SK텔레콤,"260,000","500","0.2","135,575","35,391,574,500","260,500","262,000","259,000","20,993,884,860,000","1.22","80,745,711","33,137,783","41.04",
12,035420,NAVER,"126,500","-500","-0.4","218,351","27,662,037,500","127,000","128,000","125,500","20,848,894,467,500","1.22","164,813,395","97,714,796","59.29",
13,012330,현대모비스,"209,000","-1,000","-0.5","140,054","29,340,668,000","209,500","210,500","208,500","20,344,867,367,000","1.19","97,343,863","45,626,336","46.87",
14,055550,신한지주,"42,850","-750","-1.7","905,552","38,900,424,200","43,050","43,300","42,600","20,319,452,302,950","1.18","474,199,587","318,483,236","67.16",
15,034730,SK,"274,500","-5,000","-1.8","141,134","38,833,804,500","279,000","279,500","274,500","19,313,901,526,500","1.13","70,360,297","18,650,480","26.51",
16,105560,KB금융,"46,050","-50","-0.1","949,358","43,708,719,550","46,100","46,300","45,600","19,254,036,278,850","1.12","418,111,537","283,729,924","67.86",
17,051900,LG생활건강,"1,224,000","-27,000","-2.2","21,256","26,134,537,000","1,235,000","1,260,000","1,222,000","19,116,673,128,000","1.11","15,618,197","7,113,074","45.54",
18,032830,삼성생명,"90,200","-100","-0.1","144,095","13,044,545,800","90,000","91,400","89,600","18,040,000,000,000","1.05","200,000,000","33,293,694","16.65",
19,018260,삼성에스디에스,"226,500","-1,500","-0.7","40,906","9,307,405,500","227,000","229,500","226,000","17,526,071,700,000","1.02","77,377,800","9,706,340","12.54",
20,096770,SK이노베이션,"188,000","1,500","0.8","172,750","32,718,673,500","188,500","190,500","188,000","17,383,526,032,000","1.01","92,465,564","34,986,329","37.84",
21,006400,삼성SDI,"247,500","2,500","1.0","488,307","121,251,817,000","245,500","251,000","243,000","17,019,221,175,000","0.99","68,764,530","27,486,431","39.97",
22,000270,기아차,"35,150","-450","-1.3","676,022","23,751,942,500","35,650","35,650","34,850","14,248,521,647,050","0.83","405,363,347","168,222,461","41.50",
23,000810,삼성화재,"291,500","-1,500","-0.5","52,843","15,419,269,000","292,000","295,000","288,500","13,809,764,985,500","0.80","47,374,837","23,726,727","50.08",
24,033780,KT&G,"98,900","-800","-0.8","163,067","16,161,562,300","99,400","99,600","98,600","13,578,227,953,300","0.79","137,292,497","70,915,972","51.65",
25,003550,LG,"76,300","-2,100","-2.7","219,293","16,743,928,500","77,500","78,000","75,800","13,166,109,095,300","0.77","172,557,131","59,636,564","34.56",
26,010950,S-Oil,"107,500","-1,500","-1.4","247,464","26,984,057,500","110,000","111,000","107,000","12,102,650,140,000","0.71","112,582,792","89,123,158","79.16",
27,086790,하나금융지주,"39,500","-300","-0.8","773,012","30,579,682,250","39,600","39,950","39,300","11,859,561,449,000","0.69","300,242,062","209,456,122","69.76",
28,066570,LG전자,"72,300","300","0.4","520,978","37,651,266,500","72,000","73,000","71,000","11,831,736,952,200","0.69","163,647,814","49,995,213","30.55",
29,011170,롯데케미칼,"321,500","9,000","2.9","293,662","93,710,013,500","312,000","322,000","312,000","11,019,547,208,500","0.64","34,275,419","10,972,940","32.01",
30,090430,아모레퍼시픽,"186,000","1,000","0.5","203,307","37,470,722,500","186,000","187,000","181,500","10,873,279,140,000","0.63","58,458,490","19,354,882","33.11",
31,316140,우리금융지주,"15,550","-200","-1.3","974,123","15,314,593,450","15,800","15,850","15,550","10,576,554,958,300","0.62","680,164,306","188,192,065","27.67",
