순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"73,400","500","0.7","18,486,672","1,356,958,867,500","73,500","73,800","73,100","438,182,039,170,000","19.21","5,969,782,550","3,351,615,396","56.14",2523
2,000660,SK하이닉스,"115,500","-1,000","-0.9","3,944,552","458,289,098,500","118,000","118,000","115,000","84,084,273,157,500","3.69","728,002,365","362,217,984","49.76",
3,051910,LG화학,"808,000","-9,000","-1.1","363,164","283,458,930,000","825,000","827,000","808,000","57,038,613,144,000","2.50","70,592,343","29,955,048","42.43",
4,005935,삼성전자우,"69,300","1,500","2.2","3,410,209","235,334,547,184","68,000","69,400","68,000","57,026,048,310,000","2.50","822,886,700","688,311,025","83.65",
5,207940,삼성바이오로직스,"820,000","1,000","0.1","86,772","71,147,543,000","826,000","828,000","815,000","54,255,300,000,000","2.38","66,165,000","6,535,734","9.88",
6,068270,셀트리온,"361,000","1,000","0.3","1,116,272","407,266,028,500","373,500","373,500","360,500","48,734,207,605,000","2.14","134,997,805","28,117,009","20.83",
7,035420,NAVER,"290,000","4,000","1.4","503,588","145,874,384,000","288,000","291,500","287,500","47,636,384,550,000","2.09","164,263,395","91,754,553","55.86",
8,005380,현대차,"190,000","-1,500","-0.8","1,644,559","315,065,721,000","193,000","194,500","190,000","40,596,955,530,000","1.78","213,668,187","65,751,581","30.77",
9,006400,삼성SDI,"556,000","-4,000","-0.7","349,151","194,266,621,000","570,000","570,000","551,000","38,233,078,680,000","1.68","68,764,530","30,003,348","43.63",
10,035720,카카오,"374,500","4,000","1.1","438,405","164,640,114,500","374,000","380,000","373,000","33,072,199,485,500","1.45","88,310,279","28,101,715","31.82",
11,000270,기아차,"63,700","-100","-0.2","1,614,527","102,905,850,500","63,500","64,400","63,400","25,821,645,203,900","1.13","405,363,347","152,651,240","37.66",
12,028260,삼성물산,"131,500","6,500","5.2","1,591,465","206,900,711,500","126,000","132,500","125,000","24,575,651,151,500","1.08","186,887,081","26,455,755","14.16",
13,051900,LG생활건강,"1,571,000","40,000","2.6","74,962","118,696,485,800","1,545,000","1,609,000","1,540,000","24,536,187,487,000","1.08","15,618,197","7,133,449","45.67",
14,005490,POSCO,"279,500","7,500","2.8","605,311","169,958,557,000","275,000","285,000","274,500","24,368,720,382,500","1.07","87,186,835","44,549,697","51.10",
15,091990,셀트리온헬스케어,"159,100","2,200","1.4","3,703,449","596,136,114,500","164,300","165,000","158,600","24,152,942,680,200","1.06","151,809,822","25,342,564","16.69",
16,012330,현대모비스,"243,000","-500","-0.2","344,237","83,899,826,000","246,000","246,000","242,000","23,098,290,642,000","1.01","95,054,694","41,198,136","43.34",
17,017670,SK텔레콤,"247,000","9,000","3.8","600,115","147,353,194,000","240,500","249,000","240,000","19,944,190,617,000","0.87","80,745,711","27,476,475","34.03",
18,105560,KB금융,"47,100","700","1.5","1,855,955","87,451,809,300","47,250","47,450","46,850","19,584,553,032,000","0.86","415,807,920","274,407,571","65.99",
19,036570,엔씨소프트,"888,000","10,000","1.1","75,400","67,029,280,000","897,000","897,000","880,000","19,495,171,536,000","0.85","21,954,022","10,613,074","48.34",
