순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"72,900","-1,000","-1.4","39,882,928","2,916,536,731,883","72,700","73,800","72,500","435,197,147,895,000","19.25","5,969,782,550","3,354,485,806","56.19",2521
2,000660,SK하이닉스,"116,500","-4,000","-3.3","8,205,744","959,915,015,500","117,000","118,500","115,500","84,812,275,522,500","3.75","728,002,365","362,957,114","49.86",
3,051910,LG화학,"817,000","-19,000","-2.3","615,054","503,932,815,778","822,000","833,000","815,000","57,673,944,231,000","2.55","70,592,343","29,963,424","42.45",
4,005935,삼성전자우,"67,800","900","1.4","3,708,012","248,977,397,100","66,100","67,800","66,000","55,791,718,260,000","2.47","822,886,700","689,238,248","83.76",
5,207940,삼성바이오로직스,"819,000","-3,000","-0.4","164,234","134,319,693,000","809,000","830,000","804,000","54,189,135,000,000","2.40","66,165,000","6,580,226","9.95",
6,068270,셀트리온,"360,000","6,500","1.8","2,056,690","736,109,205,500","344,500","368,500","344,000","48,599,209,800,000","2.15","134,997,805","28,263,058","20.94",
7,035420,NAVER,"286,000","-2,000","-0.7","959,427","275,249,175,500","288,000","290,000","284,500","46,979,330,970,000","2.08","164,263,395","91,755,115","55.86",
8,005380,현대차,"191,500","0","0.0","2,187,019","419,462,504,000","189,000","194,000","188,000","40,917,457,810,500","1.81","213,668,187","65,747,064","30.77",
9,006400,삼성SDI,"560,000","-6,000","-1.1","500,393","280,773,525,000","556,000","568,000","553,000","38,508,136,800,000","1.70","68,764,530","30,054,148","43.71",
10,035720,카카오,"370,500","-4,500","-1.2","818,557","304,614,723,500","371,000","378,000","367,500","32,707,593,282,000","1.45","88,279,604","28,101,868","31.83",
11,000270,기아차,"63,800","100","0.2","3,179,894","203,269,619,400","63,100","64,700","62,700","25,862,181,538,600","1.14","405,363,347","152,926,826","37.73",
12,051900,LG생활건강,"1,531,000","-24,000","-1.5","69,151","106,399,076,300","1,565,000","1,565,000","1,531,000","23,911,459,607,000","1.06","15,618,197","7,109,188","45.52",
13,091990,셀트리온헬스케어,"156,900","6,900","4.6","6,699,300","1,027,285,337,100","146,000","158,000","145,100","23,818,961,071,800","1.05","151,809,822","25,542,027","16.83",
14,005490,POSCO,"272,000","-1,000","-0.4","632,881","172,229,845,172","271,500","274,500","268,000","23,714,819,120,000","1.05","87,186,835","44,437,606","50.97",
15,028260,삼성물산,"125,000","500","0.4","1,272,860","159,041,827,500","123,000","127,500","122,000","23,360,885,125,000","1.03","186,887,081","26,381,521","14.12",
16,012330,현대모비스,"243,500","2,000","0.8","580,464","140,897,322,500","241,500","245,500","239,000","23,145,817,989,000","1.02","95,054,694","41,225,932","43.37",
17,105560,KB금융,"46,400","250","0.5","2,571,662","119,257,389,240","46,300","46,800","45,700","19,293,487,488,000","0.85","415,807,920","274,205,874","65.95",
18,036570,엔씨소프트,"878,000","-1,000","-0.1","116,303","101,875,473,600","869,000","884,000","859,000","19,275,631,316,000","0.85","21,954,022","10,606,086","48.31",
19,017670,SK텔레콤,"238,000","-2,000","-0.8","398,586","95,127,398,500","240,500","241,000","238,000","19,217,479,218,000","0.85","80,745,711","27,357,874","33.88",
20,055550,신한지주,"34,250","200","0.6","4,462,333","152,208,222,100","34,050","34,250","33,600","17,691,044,098,750","0.78","516,526,835","298,762,398","57.84",
21,096770,SK이노베이션,"190,500","5,500","3.0","2,206,204","412,996,985,000","181,500","193,500","178,000","17,614,689,942,000","0.78","92,465,564","22,302,399","24.12",
22,034730,SK,"243,000","-2,500","-1.0","382,387","92,993,095,500","243,000","245,500","241,000","17,097,552,171,000","0.76","70,360,297","15,122,991","21.49",
23,066570,LG전자,"95,400","-800","-0.8","1,691,356","160,693,950,000","95,100","95,800","93,800","15,612,001,455,600","0.69","163,647,814","59,164,026","36.15",
24,015760,한국전력,"23,800","1,400","6.2","22,910,345","539,327,239,250","22,350","24,000","22,100","15,278,745,032,600","0.68","641,964,077","109,653,850","17.08",
25,032830,삼성생명,"72,700","100","0.1","613,302","44,454,389,600","72,000","73,100","71,700","14,540,000,000,000","0.64","200,000,000","24,186,557","12.09",
