순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"81,000","2,700","3.4","29,417,421","2,344,317,462,700","77,400","81,300","77,300","483,552,386,550,000","20.39","5,969,782,550","3,326,606,260","55.72",2531
2,000660,SK하이닉스,"118,500","2,500","2.2","4,195,192","489,962,294,500","116,000","118,500","114,500","86,268,280,252,500","3.64","728,002,365","361,961,830","49.72",
3,005935,삼성전자우,"73,600","1,400","1.9","4,325,286","315,266,417,846","72,000","74,000","71,500","60,564,461,120,000","2.55","822,886,700","674,311,379","81.94",
4,051910,LG화학,"824,000","11,000","1.4","339,889","273,851,447,000","813,000","824,000","805,000","58,168,090,632,000","2.45","70,592,343","30,002,602","42.50",
5,207940,삼성바이오로직스,"826,000","4,000","0.5","150,024","124,237,260,000","828,000","833,000","816,000","54,652,290,000,000","2.30","66,165,000","6,934,543","10.48",
6,068270,셀트리온,"359,000","-1,500","-0.4","2,107,841","751,245,634,000","362,500","365,000","351,000","48,464,211,995,000","2.04","134,997,805","28,292,649","20.96",
7,035420,NAVER,"292,500","9,500","3.4","1,190,327","345,787,662,000","285,000","293,000","284,000","48,047,043,037,500","2.03","164,263,395","91,836,919","55.91",
8,006400,삼성SDI,"628,000","27,000","4.5","503,572","309,491,145,000","602,000","630,000","595,000","43,184,124,840,000","1.82","68,764,530","30,474,326","44.32",
9,005380,현대차,"192,000","1,500","0.8","1,361,340","261,408,462,000","190,500","193,500","189,000","41,024,291,904,000","1.73","213,668,187","65,335,222","30.58",
10,035720,카카오,"389,500","5,000","1.3","813,142","317,449,974,000","384,500","394,000","383,500","34,446,038,562,000","1.45","88,436,556","28,523,281","32.25",
11,028260,삼성물산,"138,000","1,500","1.1","749,280","102,767,474,000","136,000","139,000","135,000","25,790,417,178,000","1.09","186,887,081","26,288,010","14.07",
12,051900,LG생활건강,"1,620,000","1,000","0.1","26,149","42,315,932,000","1,626,000","1,628,000","1,607,000","25,301,479,140,000","1.07","15,618,197","7,105,817","45.50",
13,000270,기아차,"62,400","100","0.2","1,740,601","108,662,195,700","62,300","63,000","61,900","25,294,672,852,800","1.07","405,363,347","151,169,703","37.29",
14,091990,셀트리온헬스케어,"163,000","-4,900","-2.9","4,253,671","692,815,246,400","166,600","168,000","160,100","24,745,000,986,000","1.04","151,809,822","25,801,235","17.00",
15,012330,현대모비스,"255,500","4,500","1.8","470,909","121,004,401,000","252,000","261,000","251,000","24,286,474,317,000","1.02","95,054,694","40,965,999","43.10",
16,005490,POSCO,"272,000","2,000","0.7","338,015","91,822,049,000","270,000","274,000","266,500","23,714,819,120,000","1.00","87,186,835","44,137,891","50.62",
17,066570,LG전자,"135,000","3,500","2.7","1,533,422","203,318,845,500","128,000","136,000","128,000","22,092,454,890,000","0.93","163,647,814","59,108,072","36.12",
18,036570,엔씨소프트,"931,000","18,000","2.0","118,667","110,208,938,000","913,000","934,000","911,000","20,439,194,482,000","0.86","21,954,022","10,694,175","48.71",
19,017670,SK텔레콤,"238,000","500","0.2","317,278","75,438,340,000","238,000","239,000","236,000","19,217,479,218,000","0.81","80,745,711","27,406,615","33.94",
20,105560,KB금융,"43,400","0","0.0","2,027,550","87,599,845,250","43,550","43,600","42,750","18,046,063,728,000","0.76","415,807,920","271,755,616","65.36",
21,015760,한국전력,"27,400","1,000","3.8","9,514,307","261,515,714,500","26,400","28,000","26,400","17,589,815,709,800","0.74","641,964,077","109,897,877","17.12",
22,096770,SK이노베이션,"190,000","7,000","3.8","976,008","182,738,908,500","183,500","190,500","179,500","17,568,457,160,000","0.74","92,465,564","22,482,314","24.31",
