순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"65,700","-600","-0.9","30,204,089","1,999,330,006,280","67,000","67,000","65,600","392,214,713,535,000","18.89","5,969,782,550","3,376,328,996","56.56",2509
2,000660,SK하이닉스,"98,100","100","0.1","5,218,295","513,426,181,370","97,400","99,600","96,500","71,417,032,006,500","3.44","728,002,365","364,030,269","50.00",
3,207940,삼성바이오로직스,"774,000","16,000","2.1","202,657","156,152,788,000","761,000","777,000","757,000","51,211,710,000,000","2.47","66,165,000","6,700,952","10.13",
4,005935,삼성전자우,"59,000","200","0.3","4,830,037","287,661,764,820","59,400","60,000","59,000","48,550,315,300,000","2.34","822,886,700","709,770,696","86.25",
5,051910,LG화학,"686,000","9,000","1.3","331,899","225,995,832,000","678,000","686,000","675,000","48,426,347,298,000","2.33","70,592,343","28,930,585","40.98",
6,035420,NAVER,"275,000","-3,000","-1.1","816,320","224,864,596,500","277,500","278,000","273,500","45,172,433,625,000","2.18","164,263,395","91,401,946","55.64",
7,005380,현대차,"182,500","3,500","2.0","3,429,139","626,907,100,000","179,500","185,000","178,000","38,994,444,127,500","1.88","213,668,187","66,195,063","30.98",
8,068270,셀트리온,"286,000","-2,500","-0.9","917,309","263,538,559,000","286,500","293,000","282,500","38,609,372,230,000","1.86","134,997,805","27,793,222","20.59",
9,006400,삼성SDI,"493,500","8,000","1.6","401,132","197,349,109,498","491,000","500,000","487,000","33,935,295,555,000","1.63","68,764,530","29,823,178","43.37",
10,035720,카카오,"362,000","0","0.0","452,275","162,826,112,500","358,000","365,000","356,000","31,957,216,648,000","1.54","88,279,604","28,234,207","31.98",
11,051900,LG생활건강,"1,542,000","-20,000","-1.3","29,583","45,731,264,000","1,543,000","1,574,000","1,540,000","24,083,259,774,000","1.16","15,618,197","7,140,957","45.72",
12,000270,기아차,"58,500","-1,200","-2.0","3,227,550","191,659,375,114","58,900","60,800","58,200","23,713,755,799,500","1.14","405,363,347","154,836,743","38.20",
13,028260,삼성물산,"124,000","0","0.0","738,461","91,810,302,000","124,000","126,000","123,000","23,173,998,044,000","1.12","186,887,081","26,595,358","14.23",
14,012330,현대모비스,"242,500","-2,500","-1.0","379,403","92,913,810,000","241,500","248,500","240,000","23,050,763,295,000","1.11","95,054,694","40,949,903","43.08",
15,005490,POSCO,"238,500","-500","-0.2","324,537","78,062,431,500","239,000","245,000","238,000","20,794,060,147,500","1.00","87,186,835","44,492,217","51.03",
16,105560,KB금융,"46,550","850","1.9","1,689,140","78,314,354,023","45,800","46,650","45,700","19,355,858,676,000","0.93","415,807,920","274,150,910","65.93",
17,017670,SK텔레콤,"232,500","500","0.2","321,467","74,868,604,000","233,500","234,500","232,000","18,773,377,807,500","0.90","80,745,711","27,569,710","34.14",
18,036570,엔씨소프트,"789,000","-11,000","-1.4","105,203","82,896,010,000","794,000","794,000","782,000","17,321,723,358,000","0.83","21,954,022","10,540,033","48.01",
19,055550,신한지주,"33,350","150","0.4","3,167,675","106,001,381,250","33,550","33,900","33,050","17,226,169,947,250","0.83","516,526,835","298,938,558","57.87",
20,034730,SK,"220,500","1,500","0.7","396,747","87,254,214,500","220,000","224,000","216,500","15,514,445,488,500","0.75","70,360,297","15,279,315","21.72",
21,096770,SK이노베이션,"160,000","4,500","2.9","868,455","138,652,862,500","159,000","163,000","157,000","14,794,490,240,000","0.71","92,465,564","22,229,160","24.04",
22,091990,셀트리온헬스케어,"94,400","-100","-0.1","1,011,729","95,798,643,400","94,900","96,300","93,300","14,330,847,196,800","0.69","151,809,822","25,709,898","16.94",
23,032830,삼성생명,"70,500","2,000","2.9","1,085,180","75,765,493,700","68,800","71,700","68,000","14,100,000,000,000","0.68","200,000,000","24,743,257","12.37",
24,066570,LG전자,"85,000","-1,500","-1.7","1,066,813","91,384,082,636","86,600","87,100","84,800","13,910,064,190,000","0.67","163,647,814","58,553,794","35.78",
25,015760,한국전력,"21,650","550","2.6","8,073,746","174,959,083,600","21,250","21,950","21,150","13,898,522,267,050","0.67","641,964,077","109,050,922","16.99",
26,018260,삼성에스디에스,"175,500","-1,000","-0.6","211,553","37,097,453,000","176,500","177,500","174,000","13,579,803,900,000","0.65","77,377,800","9,512,021","12.29",
27,326030,SK바이오팜,"166,500","-1,500","-0.9","142,976","23,835,573,500","168,500","168,500","166,000","13,039,156,125,000","0.63","78,313,250","2,203,029","2.81",
28,003550,LG,"74,000","-500","-0.7","368,034","27,226,989,644","74,200","74,900","73,500","12,769,227,694,000","0.61","172,557,131","59,815,016","34.66",
29,033780,KT&G,"85,800","1,000","1.2","496,711","42,444,916,600","84,800","86,200","84,800","11,779,696,242,600","0.57","137,292,497","56,967,098","41.49",
30,009150,삼성전기,"153,000","-1,000","-0.6","687,619","104,992,251,500","153,000","154,500","151,000","11,428,135,488,000","0.55","74,693,696","25,685,898","34.39",
31,086790,하나금융지주,"36,750","250","0.7","2,625,629","96,899,287,694","36,350","37,500","36,300","11,033,895,778,500","0.53","300,242,062","195,363,832","65.07",
32,251270,넷마블,"127,000","1,500","1.2","335,548","42,152,522,500","125,000","128,000","123,000","10,902,040,426,000","0.53","85,842,838","19,372,980","22.57",
33,090430,아모레퍼시픽,"185,000","10,500","6.0","1,072,147","197,408,455,000","177,500","187,500","176,500","10,814,820,650,000","0.52","58,458,490","17,758,998","30.38",
34,011170,롯데케미칼,"272,000","-500","-0.2","323,721","89,869,904,500","275,500","284,500","270,500","9,322,913,968,000","0.45","34,275,419","9,316,300","27.18",
35,000810,삼성화재,"192,500","-3,000","-1.5","170,218","32,920,264,000","194,000","196,000","192,000","9,119,656,122,500","0.44","47,374,837","21,782,685","45.98",
36,009830,한화솔루션,"48,500","100","0.2","3,358,637","163,485,392,500","48,400","49,500","47,600","7,753,428,104,500","0.37","159,864,497","30,530,136","19.10",
37,010950,S-Oil,"66,600","-200","-0.3","893,869","59,809,141,100","68,300","69,300","65,300","7,498,013,947,200","0.36","112,582,792","83,491,495","74.16",
38,010130,고려아연,"385,000","-1,000","-0.3","74,141","28,634,984,036","386,000","391,000","384,000","7,264,950,000,000","0.35","18,870,000","4,499,059","23.84",
39,086280,현대글로비스,"193,000","6,000","3.2","329,885","63,669,308,500","186,500","196,000","186,000","7,237,500,000,000","0.35","37,500,000","13,525,283","36.07",
40,316140,우리금융지주,"9,910","20","0.2","1,877,732","18,692,364,130","9,910","10,100","9,860","7,157,672,738,530","0.34","722,267,683","185,852,782","25.73",
41,018880,한온시스템,"13,400","-150","-1.1","992,956","13,293,648,750","13,350","13,600","13,100","7,152,920,000,000","0.34","533,800,000","111,521,113","20.89",
42,009540,한국조선해양,"100,000","1,100","1.1","623,616","62,294,464,400","100,000","102,000","98,100","7,077,311,600,000","0.34","70,773,116","11,173,053","15.79",
43,024110,기업은행,"9,100","-50","-0.6","2,427,691","22,214,891,070","9,200","9,290","9,060","6,721,845,676,000","0.32","738,664,360","79,728,126","10.79",
44,019170,신풍제약,"126,000","-4,500","-3.4","2,178,006","276,128,178,500","123,500","133,000","121,500","6,676,108,740,000","0.32","52,984,990","5,386,812","10.17",
45,352820,빅히트,"179,500","8,000","4.7","925,185","163,166,375,500","169,000","183,000","165,500","6,394,464,920,000","0.31","35,623,760","1,198,527","3.36",
46,030200,KT,"23,450","-50","-0.2","947,127","22,285,140,900","23,500","23,700","23,450","6,123,071,897,600","0.29","261,111,808","113,753,897","43.57",
47,006800,미래에셋대우,"9,470","-80","-0.8","2,609,332","24,856,794,960","9,610","9,660","9,400","6,111,146,383,760","0.29","645,316,408","92,916,585","14.40",
48,097950,CJ제일제당,"364,500","-2,500","-0.7","66,035","24,115,338,000","368,500","369,000","364,000","5,487,250,797,000","0.26","15,054,186","3,535,358","23.48",
49,096530,씨젠,"207,500","-24,100","-10.4","1,818,189","391,731,144,400","223,200","224,900","205,900","5,443,559,150,000","0.26","26,234,020","3,986,165","15.19",
50,034220,LG디스플레이,"14,900","-50","-0.3","2,085,679","31,257,445,650","15,000","15,150","14,750","5,331,453,930,000","0.26","357,815,700","80,223,891","22.42",
51,021240,코웨이,"72,100","-2,500","-3.4","305,044","22,177,664,100","73,800","73,900","72,100","5,320,952,529,900","0.26","73,799,619","44,950,685","60.91",
52,285130,SK케미칼,"424,000","24,000","6.0","664,607","277,769,625,500","403,500","428,000","402,500","4,978,351,904,000","0.24","11,741,396","1,672,335","14.24",
53,032640,LG유플러스,"11,350","-100","-0.9","1,841,984","21,001,876,400","11,450","11,500","11,350","4,955,538,947,350","0.24","436,611,361","136,012,659","31.15",
54,035250,강원랜드,"22,850","400","1.8","1,011,621","23,069,814,800","22,950","23,000","22,550","4,888,540,425,000","0.24","213,940,500","50,393,542","23.55",
55,028300,에이치엘비,"92,800","-1,200","-1.3","343,623","31,929,892,600","93,700","93,900","92,500","4,886,359,872,000","0.24","52,654,740","6,201,553","11.78",
56,003670,포스코케미칼,"80,000","400","0.5","178,373","14,252,003,600","80,200","80,400","79,600","4,879,057,600,000","0.23","60,988,220","4,454,762","7.30",
57,196170,알테오젠,"164,400","4,400","2.8","217,519","35,062,361,300","157,500","165,600","156,500","4,616,828,760,000","0.22","28,082,900","5,037,474","17.94",
58,006280,녹십자,"391,000","27,500","7.6","948,484","364,649,445,000","378,500","399,000","364,000","4,569,436,358,000","0.22","11,686,538","2,273,326","19.45",
59,271560,오리온,"114,000","1,500","1.3","242,384","27,453,961,329","113,000","115,000","111,000","4,507,119,048,000","0.22","39,536,132","16,747,151","42.36",
