순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"59,500","-500","-0.8","16,554,190","987,630,872,630","60,000","60,400","59,000","355,202,061,725,000","18.37","5,969,782,550","3,348,684,518","56.09",2502
2,000660,SK하이닉스,"85,300","-1,800","-2.1","2,435,541","209,686,982,700","87,000","87,900","84,900","62,098,601,734,500","3.21","728,002,365","357,734,951","49.14",
3,035420,NAVER,"293,500","1,000","0.3","446,832","131,388,850,500","292,500","297,500","291,500","48,211,306,432,500","2.49","164,263,395","91,470,823","55.69",
4,207940,삼성바이오로직스,"687,000","-17,000","-2.4","113,875","78,376,080,000","690,000","699,000","684,000","45,455,355,000,000","2.35","66,165,000","6,742,506","10.19",
5,051910,LG화학,"640,000","3,000","0.5","310,579","197,477,061,000","633,000","643,000","628,000","45,179,099,520,000","2.34","70,592,343","26,932,035","38.15",
6,005935,삼성전자우,"53,000","-200","-0.4","1,977,121","105,119,577,100","53,400","53,700","52,800","43,612,995,100,000","2.26","822,886,700","714,231,521","86.80",
7,005380,현대차,"172,000","-4,000","-2.3","3,197,258","548,368,526,500","176,500","177,500","169,000","36,750,928,164,000","1.90","213,668,187","66,721,503","31.23",
8,068270,셀트리온,"256,500","1,500","0.6","543,139","139,866,056,000","254,500","262,500","254,000","34,625,893,797,000","1.79","134,993,738","27,932,536","20.69",
9,035720,카카오,"357,500","-4,500","-1.2","400,405","143,338,024,500","361,000","362,000","355,000","31,548,595,292,500","1.63","88,247,819","28,215,240","31.97",
10,006400,삼성SDI,"420,000","-9,000","-2.1","301,054","126,778,909,023","429,000","430,500","415,500","28,881,102,600,000","1.49","68,764,530","28,817,084","41.91",
11,051900,LG생활건강,"1,571,000","2,000","0.1","26,034","40,946,834,000","1,568,000","1,588,000","1,552,000","24,536,187,487,000","1.27","15,618,197","7,107,734","45.51",
12,012330,현대모비스,"229,000","-5,500","-2.4","446,765","103,392,286,500","234,000","235,000","229,000","21,767,524,926,000","1.13","95,054,694","41,411,523","43.57",
13,000270,기아차,"47,150","-1,750","-3.6","2,521,703","119,290,335,300","49,000","49,000","46,550","19,112,881,811,050","0.99","405,363,347","156,589,372","38.63",
14,028260,삼성물산,"102,000","-500","-0.5","344,823","35,334,203,000","103,000","104,000","102,000","19,062,482,262,000","0.99","186,887,081","26,147,385","13.99",
15,017670,SK텔레콤,"234,500","0","0.0","313,341","73,668,460,000","235,500","237,500","232,500","18,934,869,229,500","0.98","80,745,711","28,655,843","35.49",
16,005490,POSCO,"202,000","-3,000","-1.5","269,441","54,871,028,000","206,500","207,500","201,000","17,611,740,670,000","0.91","87,186,835","44,699,750","51.27",
17,036570,엔씨소프트,"767,000","17,000","2.3","135,943","103,940,044,000","753,000","774,000","746,000","16,838,734,874,000","0.87","21,954,022","10,706,303","48.77",
18,105560,KB금융,"39,400","350","0.9","1,459,454","57,779,250,550","39,500","40,000","39,200","16,382,832,048,000","0.85","415,807,920","273,080,063","65.67",
19,066570,LG전자,"89,900","-1,500","-1.6","749,853","67,524,728,200","91,600","92,200","89,200","14,711,938,478,600","0.76","163,647,814","57,741,508","35.28",
20,015760,한국전력,"21,750","450","2.1","6,329,622","137,162,723,150","21,300","21,900","21,300","13,962,718,674,750","0.72","641,964,077","113,426,648","17.67",
21,034730,SK,"198,000","-2,000","-1.0","109,501","21,818,490,000","200,000","202,000","198,000","13,931,338,806,000","0.72","70,360,297","15,463,334","21.98",
22,018260,삼성에스디에스,"173,500","6,000","3.6","218,194","37,899,938,000","169,500","176,500","169,500","13,425,048,300,000","0.69","77,377,800","9,444,157","12.21",
23,055550,신한지주,"27,950","-100","-0.4","1,591,701","44,651,188,600","28,100","28,250","27,950","13,343,241,538,250","0.69","477,396,835","280,702,235","58.80",
24,091990,셀트리온헬스케어,"87,800","-100","-0.1","610,346","53,692,057,700","87,700","89,400","87,000","13,324,494,811,600","0.69","151,759,622","25,709,686","16.94",
25,096770,SK이노베이션,"139,000","-2,000","-1.4","274,117","38,173,111,000","141,000","142,500","138,000","12,852,713,396,000","0.66","92,465,564","21,989,120","23.78",
