순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"58,500","-300","-0.5","21,718,561","1,269,055,231,850","58,900","59,000","57,800","349,232,279,175,000","17.97","5,969,782,550","3,335,740,266","55.88",2507
2,000660,SK하이닉스,"83,200","1,800","2.2","3,782,296","313,471,937,300","82,100","84,400","81,200","60,569,796,768,000","3.12","728,002,365","354,328,039","48.67",
3,035420,NAVER,"298,500","15,500","5.5","1,623,712","475,495,284,500","282,500","300,500","282,000","49,032,623,407,500","2.52","164,263,395","91,976,904","55.99",
4,207940,삼성바이오로직스,"733,000","34,000","4.9","252,251","183,388,540,000","709,000","740,000","707,000","48,498,945,000,000","2.50","66,165,000","6,659,002","10.06",
5,051910,LG화학,"650,000","-6,000","-0.9","472,730","310,893,444,000","662,000","673,000","645,000","45,885,022,950,000","2.36","70,592,343","28,225,936","39.98",
6,005935,삼성전자우,"52,200","0","0.0","1,447,736","75,541,403,800","52,200","52,500","51,800","42,954,685,740,000","2.21","822,886,700","709,729,622","86.25",
7,005380,현대차,"171,500","1,000","0.6","1,699,252","293,321,362,000","173,000","175,000","170,500","36,644,094,070,500","1.89","213,668,187","66,346,891","31.05",
8,068270,셀트리온,"270,500","11,500","4.4","1,326,699","353,481,703,500","263,000","271,000","260,000","36,515,806,129,000","1.88","134,993,738","27,653,611","20.49",
9,035720,카카오,"359,500","23,000","6.8","1,431,026","505,303,122,000","340,500","361,000","340,000","31,725,090,930,500","1.63","88,247,819","28,063,054","31.80",
10,006400,삼성SDI,"459,500","0","0.0","493,759","228,398,499,000","466,500","471,000","453,000","31,597,301,535,000","1.63","68,764,530","29,365,786","42.70",
11,051900,LG생활건강,"1,505,000","-12,000","-0.8","29,280","44,275,661,000","1,520,000","1,527,000","1,505,000","23,505,386,485,000","1.21","15,618,197","7,106,830","45.50",
12,012330,현대모비스,"226,500","500","0.2","481,871","110,353,148,000","229,000","233,000","225,000","21,529,888,191,000","1.11","95,054,694","40,520,596","42.63",
13,028260,삼성물산,"114,000","1,500","1.3","826,560","93,989,131,000","113,500","115,500","112,000","21,305,127,234,000","1.10","186,887,081","25,967,911","13.89",
14,000270,기아차,"51,500","500","1.0","2,941,439","153,679,598,100","51,500","53,000","51,000","20,876,212,370,500","1.07","405,363,347","154,836,981","38.20",
15,005490,POSCO,"219,000","-1,500","-0.7","317,582","70,030,131,500","223,000","223,500","218,000","19,093,916,865,000","0.98","87,186,835","44,327,345","50.84",
16,036570,엔씨소프트,"837,000","55,000","7.0","197,108","162,554,180,000","791,000","838,000","787,000","18,375,516,414,000","0.95","21,954,022","10,669,969","48.60",
17,017670,SK텔레콤,"218,500","-500","-0.2","301,637","66,311,499,000","222,000","223,000","218,500","17,642,937,853,500","0.91","80,745,711","27,598,135","34.18",
18,105560,KB금융,"41,550","-1,100","-2.6","2,640,754","110,815,531,600","43,200","43,450","40,950","17,276,819,076,000","0.89","415,807,920","272,985,479","65.65",
19,055550,신한지주,"31,150","-850","-2.7","4,538,264","142,783,303,000","32,600","32,650","30,800","16,089,810,910,250","0.83","516,526,835","298,963,736","57.88",
20,066570,LG전자,"86,100","-200","-0.2","602,908","52,297,511,200","88,100","88,100","86,000","14,090,076,785,400","0.72","163,647,814","58,254,178","35.60",
21,091990,셀트리온헬스케어,"90,700","1,800","2.0","1,359,794","122,429,292,600","90,300","91,300","87,800","13,764,597,715,400","0.71","151,759,622","25,678,272","16.92",
22,018260,삼성에스디에스,"174,500","500","0.3","96,948","16,971,432,000","174,500","176,500","173,500","13,502,426,100,000","0.69","77,377,800","9,388,822","12.13",
23,326030,SK바이오팜,"169,000","10,000","6.3","913,673","152,200,105,000","160,500","170,000","159,500","13,234,939,250,000","0.68","78,313,250","2,153,547","2.75",
24,034730,SK,"186,500","500","0.3","163,595","30,555,284,500","187,000","189,000","185,000","13,122,195,390,500","0.68","70,360,297","15,175,751","21.57",
25,015760,한국전력,"20,300","-150","-0.7","2,051,112","41,743,279,200","20,550","20,600","20,250","13,031,870,763,100","0.67","641,964,077","109,915,666","17.12",
26,032830,삼성생명,"63,500","-500","-0.8","490,028","31,154,743,800","64,500","64,500","63,100","12,700,000,000,000","0.65","200,000,000","24,824,919","12.41",
27,003550,LG,"70,800","200","0.3","217,817","15,386,587,600","71,000","71,500","69,800","12,217,044,874,800","0.63","172,557,131","59,774,783","34.64",
28,096770,SK이노베이션,"132,000","500","0.4","596,001","78,823,483,000","135,000","135,500","130,000","12,205,454,448,000","0.63","92,465,564","21,823,561","23.60",
29,033780,KT&G,"83,300","-100","-0.1","267,865","22,273,039,600","83,700","83,800","82,700","11,436,465,000,100","0.59","137,292,497","56,956,524","41.49",
30,251270,넷마블,"124,000","2,000","1.6","348,794","43,189,667,000","124,000","125,500","122,000","10,644,511,912,000","0.55","85,842,838","19,694,143","22.94",
31,009150,삼성전기,"139,000","2,500","1.8","523,786","72,986,879,000","138,000","141,000","137,000","10,382,423,744,000","0.53","74,693,696","25,010,449","33.48",
32,090430,아모레퍼시픽,"164,000","2,000","1.2","159,594","26,166,311,000","164,000","165,000","162,000","9,587,192,360,000","0.49","58,458,490","17,315,724","29.62",
33,086790,하나금융지주,"31,800","-1,050","-3.2","3,017,404","96,693,914,150","33,350","33,450","31,150","9,547,697,571,600","0.49","300,242,062","192,343,530","64.06",
34,000810,삼성화재,"183,000","-4,000","-2.1","143,573","26,631,748,500","187,500","189,000","182,000","8,669,595,171,000","0.45","47,374,837","21,908,519","46.25",
35,011170,롯데케미칼,"240,000","-8,500","-3.4","400,329","97,529,128,500","251,000","254,000","235,000","8,226,100,560,000","0.42","34,275,419","9,448,567","27.57",
36,010130,고려아연,"387,500","-1,500","-0.4","37,055","14,375,593,000","391,500","391,500","384,000","7,312,125,000,000","0.38","18,870,000","4,470,577","23.69",
37,019170,신풍제약,"134,500","0","0.0","1,204,282","160,609,680,000","138,000","138,500","128,000","7,126,481,155,000","0.37","52,984,990","5,129,121","9.68",
38,096530,씨젠,"265,700","-4,200","-1.6","505,844","135,441,971,400","272,100","273,000","265,200","6,970,379,114,000","0.36","26,234,020","4,342,273","16.55",
39,009830,한화솔루션,"42,700","-4,150","-8.9","16,978,851","747,216,896,700","47,850","47,900","41,300","6,826,214,021,900","0.35","159,864,497","30,568,717","19.12",
40,316140,우리금융지주,"9,300","-10","-0.1","1,947,299","18,142,772,160","9,400","9,410","9,210","6,717,089,451,900","0.35","722,267,683","186,898,147","25.88",
41,086280,현대글로비스,"171,000","-2,500","-1.4","262,097","45,405,262,000","175,000","177,500","170,000","6,412,500,000,000","0.33","37,500,000","13,420,650","35.79",
42,018880,한온시스템,"11,900","350","3.0","837,810","9,831,228,850","11,650","11,950","11,500","6,352,220,000,000","0.33","533,800,000","110,132,486","20.63",
