순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"60,100","-200","-0.3","16,910,230","1,015,446,062,300","60,700","60,800","59,600","358,783,931,255,000","18.04","5,969,782,550","3,345,291,144","56.04",2507
2,000660,SK하이닉스,"86,300","200","0.2","2,863,808","247,944,677,300","86,500","87,700","86,000","62,826,604,099,500","3.16","728,002,365","355,899,154","48.89",
3,207940,삼성바이오로직스,"777,000","-4,000","-0.5","157,305","121,745,152,000","781,000","783,000","767,000","51,410,205,000,000","2.59","66,165,000","6,726,033","10.17",
4,051910,LG화학,"720,000","43,000","6.4","1,268,197","902,053,802,000","688,000","724,000","686,000","50,826,486,960,000","2.56","70,592,343","28,891,311","40.93",
5,035420,NAVER,"301,000","2,000","0.7","968,971","293,172,475,500","303,000","307,000","299,000","49,443,281,895,000","2.49","164,263,395","92,200,465","56.13",
6,005935,삼성전자우,"53,800","300","0.6","2,389,344","128,326,449,700","53,900","53,900","53,300","44,271,304,460,000","2.23","822,886,700","711,530,242","86.47",
7,068270,셀트리온,"277,500","5,500","2.0","1,189,737","330,051,904,500","274,500","284,000","270,500","37,460,762,295,000","1.88","134,993,738","27,630,960","20.47",
8,005380,현대차,"170,500","-4,500","-2.6","2,233,192","384,931,489,000","176,500","177,000","169,500","36,430,425,883,500","1.83","213,668,187","65,947,765","30.86",
9,006400,삼성SDI,"499,000","15,000","3.1","865,926","429,032,184,000","494,000","500,000","488,500","34,313,500,470,000","1.73","68,764,530","29,786,807","43.32",
10,035720,카카오,"370,500","7,500","2.1","1,315,572","492,235,374,000","367,000","380,500","365,500","32,695,816,939,500","1.64","88,247,819","28,283,870","32.05",
11,051900,LG생활건강,"1,526,000","-4,000","-0.3","19,413","29,593,668,000","1,518,000","1,535,000","1,517,000","23,833,368,622,000","1.20","15,618,197","7,112,611","45.54",
12,012330,현대모비스,"229,500","-3,500","-1.5","428,049","99,206,493,500","233,500","236,500","229,000","21,815,052,273,000","1.10","95,054,694","40,598,977","42.71",
13,028260,삼성물산,"115,000","-1,500","-1.3","456,819","52,693,852,500","117,000","117,000","114,500","21,492,014,315,000","1.08","186,887,081","26,039,025","13.93",
14,000270,기아차,"51,600","-600","-1.2","2,214,532","115,706,144,000","52,100","53,600","51,300","20,916,748,705,200","1.05","405,363,347","154,404,325","38.09",
15,005490,POSCO,"228,000","1,000","0.4","292,212","66,115,145,500","226,000","229,000","224,000","19,878,598,380,000","1.00","87,186,835","44,430,320","50.96",
16,036570,엔씨소프트,"848,000","5,000","0.6","91,315","76,787,603,000","836,000","848,000","830,000","18,617,010,656,000","0.94","21,954,022","10,688,731","48.69",
17,017670,SK텔레콤,"227,000","4,000","1.8","356,362","80,818,138,000","224,500","228,500","224,000","18,329,276,397,000","0.92","80,745,711","27,701,778","34.31",
18,105560,KB금융,"42,650","-250","-0.6","1,403,645","60,044,618,750","42,900","43,150","42,500","17,734,207,788,000","0.89","415,807,920","273,302,562","65.73",
