순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"73,000","-300","-0.4","17,613,029","1,289,758,794,110","73,300","73,700","73,000","435,794,126,150,000","19.03","5,969,782,550","3,340,164,669","55.95",2524
2,000660,SK하이닉스,"118,500","-1,000","-0.8","3,010,798","355,947,794,780","118,500","119,000","117,500","86,268,280,252,500","3.77","728,002,365","362,599,204","49.81",
3,051910,LG화학,"814,000","-16,000","-1.9","353,819","288,629,366,000","831,000","832,000","806,000","57,462,167,202,000","2.51","70,592,343","29,903,906","42.36",
4,005935,삼성전자우,"68,600","-300","-0.4","3,277,424","225,315,620,700","68,900","69,300","68,600","56,450,027,620,000","2.46","822,886,700","678,739,956","82.48",
5,207940,삼성바이오로직스,"802,000","-2,000","-0.2","66,994","53,703,154,000","804,000","808,000","800,000","53,064,330,000,000","2.32","66,165,000","6,796,413","10.27",
6,068270,셀트리온,"356,000","4,500","1.3","921,874","326,991,213,500","353,000","357,500","351,000","48,059,218,580,000","2.10","134,997,805","28,094,687","20.81",
7,035420,NAVER,"282,500","-2,500","-0.9","487,305","137,869,096,000","284,000","285,500","282,000","46,404,409,087,500","2.03","164,263,395","91,489,451","55.70",
8,005380,현대차,"189,000","-1,500","-0.8","930,831","176,497,330,000","191,000","191,000","189,000","40,383,287,343,000","1.76","213,668,187","65,312,838","30.57",
9,006400,삼성SDI,"568,000","1,000","0.2","252,660","142,886,052,000","571,000","571,000","559,000","39,058,253,040,000","1.71","68,764,530","30,212,518","43.94",
10,035720,카카오,"367,000","-2,000","-0.5","427,433","156,760,398,000","369,000","369,500","365,500","32,409,872,393,000","1.42","88,310,279","27,912,768","31.61",
11,000270,기아차,"62,200","200","0.3","1,330,698","82,618,986,800","62,000","62,600","61,600","25,213,600,183,400","1.10","405,363,347","152,041,617","37.51",
12,051900,LG생활건강,"1,611,000","-3,000","-0.2","28,103","45,351,292,000","1,612,000","1,629,000","1,601,000","25,160,915,367,000","1.10","15,618,197","7,123,141","45.61",
13,091990,셀트리온헬스케어,"162,900","4,100","2.6","2,796,073","452,001,850,300","159,600","163,500","158,500","24,729,820,003,800","1.08","151,809,822","25,883,134","17.05",
14,028260,삼성물산,"129,000","1,500","1.2","602,018","77,584,146,000","127,500","130,500","127,500","24,108,433,449,000","1.05","186,887,081","26,141,214","13.99",
15,012330,현대모비스,"250,000","1,000","0.4","239,415","59,918,665,000","250,500","252,000","248,500","23,763,673,500,000","1.04","95,054,694","41,027,245","43.16",
16,005490,POSCO,"269,000","1,000","0.4","339,087","91,598,816,000","271,500","275,500","268,000","23,453,258,615,000","1.02","87,186,835","44,237,111","50.74",
17,017670,SK텔레콤,"246,500","500","0.2","278,497","68,412,019,000","245,000","247,500","243,500","19,903,817,761,500","0.87","80,745,711","27,394,880","33.93",
18,036570,엔씨소프트,"863,000","-5,000","-0.6","75,312","65,429,614,000","871,000","881,000","863,000","18,946,320,986,000","0.83","21,954,022","10,576,501","48.18",
19,105560,KB금융,"44,950","-300","-0.7","2,031,472","91,590,708,450","45,600","45,650","44,900","18,690,566,004,000","0.82","415,807,920","272,193,179","65.46",
20,015760,한국전력,"28,300","2,300","8.8","45,727,935","1,303,604,212,300","27,350","30,050","27,300","18,167,583,379,100","0.79","641,964,077","111,570,539","17.38",
21,096770,SK이노베이션,"188,500","-3,500","-1.8","544,812","103,324,184,000","193,000","193,500","188,000","17,429,758,814,000","0.76","92,465,564","22,266,586","24.08",
22,055550,신한지주,"33,350","100","0.3","2,827,742","94,319,395,600","33,350","33,500","33,200","17,226,169,947,250","0.75","516,526,835","296,753,739","57.45",
23,034730,SK,"243,500","1,500","0.6","230,804","55,930,750,000","242,500","244,500","240,000","17,132,732,319,500","0.75","70,360,297","15,071,964","21.42",
