순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"60,400","200","0.3","13,268,226","803,140,204,300","60,400","61,100","60,100","360,574,866,020,000","18.82","5,969,782,550","3,353,510,233","56.17",2504
2,000660,SK하이닉스,"83,200","-700","-0.8","1,662,847","139,286,481,800","84,300","84,700","83,000","60,569,796,768,000","3.16","728,002,365","355,200,458","48.79",
3,035420,NAVER,"281,500","-5,000","-1.8","349,163","98,886,894,500","286,500","289,000","281,500","46,240,145,692,500","2.41","164,263,395","91,579,685","55.75",
4,051910,LG화학,"646,000","-4,000","-0.6","264,208","169,125,435,000","645,000","650,000","634,000","45,602,653,578,000","2.38","70,592,343","27,346,356","38.74",
5,005935,삼성전자우,"53,500","200","0.4","2,292,408","122,991,292,300","54,000","54,200","53,300","44,024,438,450,000","2.30","822,886,700","712,615,823","86.60",
6,207940,삼성바이오로직스,"630,000","-6,000","-0.9","189,595","121,285,782,000","648,000","661,000","626,000","41,683,950,000,000","2.18","66,165,000","6,629,094","10.02",
7,005380,현대차,"171,500","4,500","2.7","3,018,359","512,891,848,000","167,000","174,000","164,000","36,644,094,070,500","1.91","213,668,187","66,422,904","31.09",
8,068270,셀트리온,"238,000","0","0.0","945,429","229,297,310,000","243,000","249,000","236,500","32,128,509,644,000","1.68","134,993,738","27,944,699","20.70",
9,035720,카카오,"329,500","-10,500","-3.1","714,722","237,235,023,500","337,000","341,000","328,000","29,077,656,360,500","1.52","88,247,819","28,086,240","31.83",
10,006400,삼성SDI,"417,500","-7,000","-1.6","174,312","73,058,138,500","421,000","424,000","416,000","28,709,191,275,000","1.50","68,764,530","28,916,665","42.05",
11,051900,LG생활건강,"1,515,000","-24,000","-1.6","18,435","27,972,334,000","1,539,000","1,542,000","1,507,000","23,661,568,455,000","1.23","15,618,197","7,097,433","45.44",
12,012330,현대모비스,"243,500","9,000","3.8","788,372","190,334,982,000","233,500","247,000","231,500","23,145,817,989,000","1.21","95,054,694","41,117,420","43.26",
13,028260,삼성물산,"118,000","14,000","13.5","9,493,136","1,153,001,023,500","120,500","126,000","116,500","22,052,675,558,000","1.15","186,887,081","25,482,134","13.64",
14,000270,기아차,"47,950","1,700","3.7","3,113,034","147,185,888,800","45,950","48,350","45,400","19,437,172,488,650","1.01","405,363,347","155,664,475","38.40",
15,005490,POSCO,"218,000","-2,000","-0.9","600,037","132,351,848,500","220,000","225,500","218,000","19,006,730,030,000","0.99","87,186,835","44,378,785","50.90",
16,017670,SK텔레콤,"234,000","-4,500","-1.9","150,976","35,706,423,000","236,500","239,000","234,000","18,894,496,374,000","0.99","80,745,711","28,518,409","35.32",
17,105560,KB금융,"42,400","150","0.4","2,149,785","91,435,813,238","42,250","43,000","41,600","17,630,255,808,000","0.92","415,807,920","273,286,830","65.72",
18,036570,엔씨소프트,"796,000","0","0.0","49,132","39,135,352,000","794,000","809,000","788,000","17,475,401,512,000","0.91","21,954,022","10,709,820","48.78",
19,055550,신한지주,"30,950","-400","-1.3","3,771,465","118,158,650,100","31,550","31,700","30,850","15,986,505,543,250","0.83","516,526,835","279,103,842","54.03",
20,066570,LG전자,"89,100","-500","-0.6","397,433","35,362,333,400","89,400","89,800","88,600","14,581,020,227,400","0.76","163,647,814","58,140,342","35.53",
21,018260,삼성에스디에스,"182,000","9,500","5.5","1,128,886","208,639,968,500","184,000","190,000","179,500","14,082,759,600,000","0.74","77,377,800","9,430,953","12.19",
22,034730,SK,"196,500","-5,500","-2.7","123,258","24,466,136,000","200,500","202,000","196,000","13,825,798,360,500","0.72","70,360,297","15,365,321","21.84",
23,015760,한국전력,"20,850","-450","-2.1","2,348,406","49,282,208,250","21,300","21,350","20,800","13,384,951,005,450","0.70","641,964,077","111,762,009","17.41",
24,032830,삼성생명,"65,500","2,400","3.8","4,535,106","308,836,750,600","69,600","73,000","65,100","13,100,000,000,000","0.68","200,000,000","24,812,880","12.41",
25,091990,셀트리온헬스케어,"82,600","-700","-0.8","1,040,520","87,665,800,400","83,900","86,400","81,900","12,535,344,777,200","0.65","151,759,622","25,745,429","16.96",
26,003550,LG,"71,600","-600","-0.8","199,002","14,256,244,400","71,700","72,700","71,000","12,355,090,579,600","0.64","172,557,131","59,886,677","34.71",
27,326030,SK바이오팜,"156,500","-4,500","-2.8","224,326","35,271,834,000","160,500","161,000","155,000","12,256,023,625,000","0.64","78,313,250","2,038,102","2.60",
