번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"157","219860","한화에이스스팩2호","KOSDAQ","주권","보통주","2015/07/20","2018/03/02","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/02/20","2018/02/28","금융","100","7123000",,
"158","219960","유안타제2호스팩","KOSDAQ","주권","보통주","2015/07/17","2018/02/23","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/02/12","2018/02/22","금융","100","6500000",,
"159","226400","오스테오닉","KONEX","주권","보통주","2016/05/04","2018/02/22","코스닥시장 이전상장",,,"-","500","5218995","226400","오스테오닉"
"160","183490","엔지켐생명과학","KONEX","주권","보통주","2013/09/25","2018/02/21","코스닥시장 이전상장",,,"-","500","6835375","183490","엔지켐생명과학"
"161","218710","키움스팩3호","KOSDAQ","주권","보통주","2015/07/06","2018/02/14","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/02/05","2018/02/13","금융","100","6700000",,
"162","256090","패션플랫폼","KONEX","주권","보통주","2016/12/20","2018/02/13","피흡수합병",,,"-","500","4346000",,
"163","154030","아시아종묘","KONEX","주권","보통주","2014/07/08","2018/02/12","코스닥시장 이전상장",,,"-","500","8185539","154030","아시아종묘"
"164","068270","셀트리온","KOSDAQ","주권","보통주","2005/07/19","2018/02/09","유가증권시장 상장",,,"의약품","1000","122666424","068270","셀트리온"
"165","219580","골든브릿지제3호스팩","KOSDAQ","주권","보통주","2015/06/30","2018/02/07","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/01/29","2018/02/06","금융","100","4900000",,
"166","219420","링크제니시스","KONEX","주권","보통주","2016/07/29","2018/02/05","코스닥시장 이전상장",,,"-","100","2127300","219420","링크제니시스"
"167","217810","엔에이치스팩7호","KOSDAQ","주권","보통주","2015/06/12","2018/01/19","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/01/10","2018/01/18","금융","100","4830000",,
"168","215750","미래에셋제3호스팩","KOSDAQ","주권","보통주","2015/05/22","2018/01/04","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/12/21","2018/01/03","금융","100","6100000",,
"169","233190","미래자원엠엘","KONEX","주권","보통주","2015/12/24","2017/12/28","피흡수합병",,,"-","100","3000000",,
"170","215580","대우스팩3호","KOSDAQ","주권","보통주","2015/05/19","2017/12/26","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/12/14","2017/12/22","금융","100","5410000",,
"171","232290","SGA시스템즈","KONEX","주권","보통주","2016/03/30","2017/12/22","피흡수합병",,,"-","500","6349323",,
"172","023430","아이이","KOSDAQ","주권","보통주","1994/10/07","2017/12/20","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2017/12/11","2017/12/19","유통","500","29769930",,
"173","260490","캐로스","KONEX","주권","보통주","2016/12/23","2017/11/29","지정자문인 선임계약 해지 후 30일이내 미체결(2017.11.15限)","2017/11/20","2017/11/28","-","500","1816500",,
"174","148140","비디아이","KONEX","주권","보통주","2017/01/16","2017/11/09","코스닥시장 이전상장",,,"-","500","4160000","148140","비디아이"
"175","207930","SK1호스팩","KOSDAQ","주권","보통주","2015/03/31","2017/11/06","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/10/26","2017/11/03","금융","100","5500000",,
"176","206660","골든브릿지제2호스팩","KOSDAQ","주권","보통주","2015/02/05","2017/10/20","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/10/11","2017/10/19","금융","100","3900000",,
"177","234100","세원","KONEX","주권","보통주","2015/12/29","2017/10/20","코스닥시장 이전상장",,,"-","500","2940000","234100","세원"
"178","207720","엔에이치SL스팩","KOSDAQ","주권","보통주","2014/12/17","2017/10/16","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/09/27","2017/10/13","금융","100","2505000",,
"179","061460","한진피앤씨","KOSDAQ","주권","보통주","2002/04/11","2017/09/29","피흡수합병",,,"화학","500","83954010",,
"180","000327","노루홀딩스2우B","KOSPI","주권","신형우선주","2007/09/28","2017/09/28","존속기간 만료",,,"기타금융","500","92540","000320","노루홀딩스"
"181","900050","중국원양자원","KOSPI","외국주권","보통주","2009/05/22","2017/09/27","감사의견 의견거절","2017/09/18","2017/09/26","기타금융","무액면","97859369",,
"182","085980","세화피앤씨","KONEX","주권","보통주","2013/09/25","2017/09/19","피흡수합병",,,"-","500","3785000",,
"183","095300","엔에스브이","KOSDAQ","주권","보통주","2009/04/17","2017/09/12","감사의견 거절(내부회계관리제도상의 취약점, 계속기업가정의 불확실성 및 재고자산 관련 감사범위 제한)","2017/09/01","2017/09/11","기계·장비","500","12557256",,
"184","256940","케이피에스","KONEX","주권","보통주","2016/12/21","2017/09/06","코스닥시장 이전상장",,,"-","500","3158354","256940","케이피에스"
"185","189700","디피앤케이","KONEX","주권","보통주","2014/06/10","2017/08/31","지정자문인 선임계약 해지 후 30일이내 미체결(2017.08.17限)","2017/08/22","2017/08/30","-","500","7285439",,
"186","005620","대성합동지주","KOSPI","주권","보통주","1976/12/28","2017/08/25","해산 사유 발생",,,"서비스업","5000","1799077",,
"187","005255","녹십자홀딩스1우","KOSPI","주권","구형우선주","1994/11/22","2017/08/07","종류주식 거래량요건 미충족(월평균거래량 1만주 미만) 2반기 계속",,,"서비스업","500","1668870","005250","녹십자홀딩스"
"188","204690","다린","KONEX","주권","보통주","2014/09/18","2017/08/02","상장폐지 신청('17.07.28)",,,"-","500","7933340",,
"189","083620","아시아15호","KOSPI","선박투자회사","보통주","2005/08/05","2017/07/31","존속기간 만료",,,"서비스업","5000","1946583",,
"190","208870","하나머스트3호스팩","KOSDAQ","주권","보통주","2014/12/24","2017/07/31","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/07/20","2017/07/28","금융","100","2360000",,
"191","232360","아스팩오일","KONEX","주권","보통주","2015/12/22","2017/07/25","지정자문인 선임계약 해지 후 30일이내 미체결(2017.07.11限)","2017/07/14","2017/07/24","-","500","4645632",,
"192","900130","웨이포트","KOSDAQ","외국주권","보통주","2010/07/23","2017/07/25","상장폐지 신청('17.06.22)","2017/07/14","2017/07/24","금융","무액면","55880000",,
"193","002550","KB손해보험","KOSPI","주권","보통주","1976/07/05","2017/07/21","지주회사(최대주주등)의 완전자회사화 등",,,"보험","500","66500000",,
"194","021960","KB캐피탈","KOSPI","주권","보통주","1996/11/19","2017/07/21","지주회사(최대주주등)의 완전자회사화 등",,,"기타금융","5000","21492128",,
"195","156170","비앤에스미디어","KONEX","주권","보통주","2013/07/01","2017/07/13","지정자문인 선임계약 해지 후 30일이내 미체결(2017.6.29限)","2017/07/04","2017/07/12","-","500","3204540",,
"196","035720","카카오","KOSDAQ","주권","보통주","1999/11/11","2017/07/10","유가증권시장 상장",,,"서비스업","500","67781135","035720","카카오"
"197","204650","케이티비스팩1호","KOSDAQ","주권","보통주","2014/11/24","2017/07/07","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/06/28","2017/07/06","금융","100","5500000",,
"198","004740","보루네오","KOSPI","주권","보통주","1988/09/22","2017/07/05","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2017/06/26","2017/07/04","기타제조업","100","71925448",,
"199","083610","아시아14호","KOSPI","선박투자회사","보통주","2005/07/15","2017/06/20","신청에 의한 상장폐지",,,"서비스업","5000","1946194",,
"200","083570","아시아10호","KOSPI","선박투자회사","보통주","2005/08/23","2017/06/15","신청에 의한 상장폐지",,,"서비스업","5000","2607905",,
"201","083580","아시아11호","KOSPI","선박투자회사","보통주","2005/08/23","2017/06/15","신청에 의한 상장폐지",,,"서비스업","5000","2607905",,
"202","083590","아시아12호","KOSPI","선박투자회사","보통주","2005/08/23","2017/06/15","신청에 의한 상장폐지",,,"서비스업","5000","2607905",,
"203","083600","아시아13호","KOSPI","선박투자회사","보통주","2005/08/23","2017/06/15","신청에 의한 상장폐지",,,"서비스업","5000","2607905",,
"204","204760","현대에이블스팩1호","KOSDAQ","주권","보통주","2014/11/10","2017/06/15","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/06/05","2017/06/14","금융","100","5525000",,
"205","083350","동북아10호","KOSPI","선박투자회사","보통주","2005/08/29","2017/06/14","신청에 의한 상장폐지",,,"서비스업","5000","1585660",,
"206","083360","동북아11호","KOSPI","선박투자회사","보통주","2005/08/29","2017/06/14","신청에 의한 상장폐지",,,"서비스업","5000","1585660",,
"207","083390","동북아14호","KOSPI","선박투자회사","보통주","2005/08/29","2017/06/14","신청에 의한 상장폐지",,,"서비스업","5000","1585660",,
"208","165270","금오하이텍","KONEX","주권","보통주","2013/12/10","2017/06/07","최종부도 발생","2017/05/26","2017/06/05","-","500","5513630",,
"209","204440","대우스팩2호","KOSDAQ","주권","보통주","2014/10/22","2017/05/29","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2017/05/18","2017/05/26","금융","100","5750000",,
"210","003419","쌍용양회3우B","KOSPI","주권","신형우선주","1999/06/15","2017/05/16","존속기간 만료",,,"비금속광물","5000","158805","003410","쌍용양회공업"
"211","036500","에스에스컴텍","KOSDAQ","주권","보통주","1999/12/14","2017/05/11","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2017/04/26","2017/05/10","반도체","500","35143649",,
"212","058370","비엔씨컴퍼니","KOSDAQ","주권","보통주","2002/02/19","2017/05/08","감사범위제한으로 인한 한정의견","2017/04/24","2017/05/04","유통","500","29714789",,
"213","086830","신양오라컴","KOSDAQ","주권","보통주","2006/12/27","2017/05/08","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2017/04/24","2017/05/04","IT부품","100","61472389",,
"214","001689","대상3우B","KOSPI","주권","신형우선주","2007/04/27","2017/04/28","존속기간 만료",,,"음식료품","1000","236450","001680","대상"
"215","090970","코리아01호","KOSPI","선박투자회사","보통주","2006/07/21","2017/04/25","감사의견 의견거절","2017/04/14","2017/04/24","서비스업","5000","2191080",,
"216","090980","코리아02호","KOSPI","선박투자회사","보통주","2006/07/21","2017/04/25","감사의견 의견거절","2017/04/14","2017/04/24","서비스업","5000","2191080",,
"217","090990","코리아03호","KOSPI","선박투자회사","보통주","2006/07/21","2017/04/25","감사의견 의견거절","2017/04/14","2017/04/24","서비스업","5000","2191080",,
"218","091000","코리아04호","KOSPI","선박투자회사","보통주","2006/07/21","2017/04/25","감사의견 의견거절","2017/04/14","2017/04/24","서비스업","5000","2191080",,
"219","110570","넥솔론","KOSPI","주권","보통주","2011/10/14","2017/04/17","자본전액잠식","2017/04/06","2017/04/14","전기전자","500","161170196",,
"220","052270","우전","KOSDAQ","주권","보통주","2001/06/05","2017/04/13","자본전액잠식 등","2017/04/04","2017/04/12","IT부품","500","28728282",,
"221","194860","SY이노베이션","KONEX","주권","보통주","2014/04/25","2017/04/12","감사의견 거절(감사범위제한)","2017/04/03","2017/04/11","-","500","2460000",,
"222","063760","이엘피","KONEX","주권","보통주","2015/04/28","2017/04/06","코스닥시장 이전상장",,,"-","500","4015500","063760","이엘피"
"223","007190","한솔아트원제지","KOSPI","주권","보통주","1974/06/24","2017/03/15","해산 사유 발생",,,"종이목재","1000","38478081",,
"224","007197","한솔아트원제지2우B","KOSPI","주권","신형우선주","2009/07/06","2017/03/15","해산 사유 발생",,,"종이목재","1000","467715",,
"225","068150","케이엔씨글로벌","KOSDAQ","주권","보통주","2003/07/21","2017/03/07","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2017/02/23","2017/03/06","건설","500","76507519",,
"226","117930","한진해운","KOSPI","주권","보통주","2009/12/29","2017/03/07","해산 사유 발생","2017/02/23","2017/03/06","운수창고업","5000","245269947",,
"227","066270","SK컴즈","KOSDAQ","주권","보통주","2003/11/07","2017/02/27","상장폐지신청('17.02.07)",,,"인터넷","500","43427530",,
"228","060910","프리젠","KOSDAQ","주권","보통주","2002/12/13","2017/02/24","최근 5사업연도 연속 영업손실 발생","2017/02/15","2017/02/23","IT부품","500","5330469",,
"229","198940","한주금속","KONEX","주권","보통주","2014/08/12","2017/02/21","상장폐지 신청('17.1.18)","2017/02/10","2017/02/20","-","500","8000995",,
"230","037620","미래에셋증권","KOSPI","주권","보통주","2006/02/15","2017/01/20","해산 사유 발생",,,"증권","5000","114285871",,
"231","144630","씨아이에스","KONEX","주권","보통주","2014/04/25","2017/01/20","피흡수합병",,,"-","500","3333320",,
"232","068870","LG생명과학","KOSPI","주권","보통주","2002/08/16","2017/01/17","해산 사유 발생",,,"의약품","5000","16576990",,
"233","068875","LG생명과학우","KOSPI","주권","구형우선주","2002/08/16","2017/01/17","해산 사유 발생",,,"의약품","5000","236216",,
"234","139200","하이골드2호","KOSPI","선박투자회사","보통주","2011/04/15","2017/01/11","신청에 의한 상장폐지",,,"서비스업","5000","13339907",,
"235","104120","신성에프에이","KOSPI","주권","보통주","2008/09/01","2017/01/02","해산 사유 발생",,,"기계","500","17726262",,
"236","104110","신성이엔지","KOSPI","주권","보통주","2008/09/01","2017/01/02","해산 사유 발생",,,"기계","500","19354144",,
"237","192240","나이코","KONEX","주권","보통주","2014/02/28","2016/12/23","상장폐지 신청('16.12.9)",,,"-","500","1708300",,
"238","204990","현성바이탈","KONEX","주권","보통주","2015/04/03","2016/12/09","코스닥시장 이전상장",,,"-","500","20000000",,
"239","203450","유니온커뮤니티","KONEX","주권","보통주","2014/07/23","2016/12/07","코스닥시장 이전상장",,,"-","500","11634273","203450","유니온커뮤니티"
"240","222520","솔트웍스","KONEX","주권","보통주","2015/07/08","2016/12/05","피흡수합병",,,"-","500","2480000",,
"241","185280","이푸른","KONEX","주권","보통주","2013/11/12","2016/12/05","지정자문인 선임계약 해지 후 30일이내 미체결(2016.11.21限)","2016/11/24","2016/12/02","-","500","2150000",,
"242","220100","퓨쳐켐","KONEX","주권","보통주","2015/08/13","2016/12/01","코스닥시장 이전상장",,,"-","500","4180139","220100","퓨쳐켐"
"243","156100","엘앤케이바이오","KONEX","주권","보통주","2013/07/01","2016/11/30","코스닥시장 이전상장",,,"-","500","8872672","156100","엘앤케이바이오"
"244","220180","핸디소프트","KONEX","주권","보통주","2015/06/29","2016/11/24","코스닥시장 이전상장",,,"-","500","5464009","220180","핸디소프트"
"245","011720","현대페인트","KOSPI","주권","보통주","1989/05/30","2016/11/21","감사의견 의견거절","2016/11/10","2016/11/18","화학","500","37139066",,
"246","003450","현대증권","KOSPI","주권","보통주","1975/09/30","2016/11/01","지주회사(최대주주등)의 완전자회사화 등",,,"증권","5000","236612530",,
"247","053810","아이팩토리","KOSDAQ","주권","보통주","2002/07/19","2016/09/19","감사의견 거절(감사범위 제한 및 기업회계기준 위배)","2016/09/05","2016/09/13","기계·장비","500","6280167",,
"248","037340","씨엘인터내셔널","KOSDAQ","주권","보통주","1999/12/14","2016/09/08","2반기 연속 자본잠식률 50% 이상","2016/08/30","2016/09/07","통신장비","500","55846961",,
"249","074150","엠제이비","KOSDAQ","주권","보통주","2005/07/08","2016/09/05","감사의견거절(감사범위 제한)","2016/08/25","2016/09/02","건설","500","28994741",,
"250","025270","부산방직","KOSDAQ","주권","보통주","1995/03/20","2016/08/18","피흡수합병",,,"섬유·의류","500","8000000",,
"251","019300","태림페이퍼","KOSPI","주권","보통주","1995/08/18","2016/08/11","신청에 의한 상장폐지","2016/08/02","2016/08/10","종이목재","500","39690000",,
"252","207230","디와이엘엔제이","KONEX","주권","보통주","2015/09/14","2016/07/26","지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2016.07.12限) 지정자문인 선임계약 미체결","2016/07/15","2016/07/25","-","1000","1782625",,
"253","082390","피엘에이","KOSDAQ","주권","보통주","2005/07/26","2016/07/25","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2016/07/14","2016/07/22","IT부품","500","66227775",,
"254","123010","옵토팩","KONEX","주권","보통주","2014/10/31","2016/07/20","코스닥시장 이전상장",,,"-","500","3708352","123010","아이에이네트웍스"
"255","026960","동서","KOSDAQ","주권","보통주","1996/05/22","2016/07/15","유가증권시장 상장",,,"유통업","500","99700000","026960","동서"
"256","103650","에이치앤아이","KONEX","주권","보통주","2013/12/26","2016/07/14","최종부도 발생","2016/07/05","2016/07/13","-","500","3000000",,
"257","034830","한국토지신탁","KOSDAQ","주권","보통주","2001/05/22","2016/07/11","유가증권시장 상장",,,"기타금융","1000","252489230","034830","한국토지신탁"
"258","142760","바이오리더스","KONEX","주권","보통주","2014/11/26","2016/07/07","코스닥시장 이전상장",,,"-","500","11118310","142760","바이오리더스"
"259","179440","피엠에스","KONEX","주권","보통주","2014/02/28","2016/07/07","상장폐지 신청('16.6.14)",,,"-","200","3174875",,
"260","224090","정다운","KONEX","주권","보통주","2015/07/31","2016/06/29","피흡수합병",,,"-","500","4390000",,
"261","148250","알엔투테크놀로지","KONEX","주권","보통주","2013/12/24","2016/06/22","코스닥시장 이전상장",,,"-","500","5625442","148250","알엔투테크놀로지"
"262","092630","바다로3호","KOSPI","선박투자회사","보통주","2006/11/02","2016/06/13","신청에 의한 상장폐지",,,"서비스업","5000","886869",,
"263","008020","경남에너지","KOSPI","주권","보통주","1994/08/12","2016/05/19","신청에 의한 상장폐지","2016/05/10","2016/05/18","전기가스업","500","41249008",,
"264","008900","티이씨앤코","KOSPI","주권","보통주","1984/09/19","2016/05/17","해산 사유 발생",,,"전기전자","500","16242217",,
"265","036220","인포피아","KOSDAQ","주권","보통주","2007/06/05","2016/05/09","감사의견 거절(감사범위 제한으로 인한 의견거절)","2016/04/26","2016/05/04","제약","500","10694594",,
"266","086200","제이앤유글로벌","KOSDAQ","주권","보통주","2006/06/07","2016/05/09","감사의견거절(감사범위 제한)","2016/04/26","2016/05/04","통신장비","500","14760706",,
"267","078780","아이디에스","KOSDAQ","주권","보통주","2005/11/29","2016/04/28","'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절","2016/04/19","2016/04/27","IT부품","500","7448265",,
"268","158380","삼목강업","KOSDAQ","주권","보통주","2013/04/30","2016/04/21","피흡수합병",,,"운송장비·부품","무액면","10200000",,
"269","051310","포스코플랜텍","KOSPI","주권","보통주","2007/11/29","2016/04/15","자본전액잠식","2016/04/05","2016/04/14","건설업","500","180834946",,
"270","063840","닉스테크","KONEX","주권","보통주","2013/11/12","2016/04/12","피흡수합병",,,"-","500","5600000",,
"271","065270","플렉스컴","KOSDAQ","주권","보통주","2002/10/23","2016/04/12","자본전액잠식","2016/04/01","2016/04/11","IT부품","500","15373337",,
"272","025850","한화화인케미칼","KOSPI","주권","보통주","1995/11/10","2016/03/15","해산 사유 발생",,,"화학","5000","7500000",,
"273","151750","테라텍","KONEX","주권","보통주","2013/07/01","2016/02/23","상장폐지 신청('16.02.01)",,,"-","500","2960000",,
"274","111610","승화프리텍","KOSDAQ","주권","보통주","2010/01/06","2016/01/25","기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2016/01/14","2016/01/22","건설","500","37421698",,
"275","003940","삼양제넥스","KOSPI","주권","보통주","1987/06/26","2016/01/21","해산 사유 발생",,,"음식료품","5000","1905907",,
"276","003945","삼양제넥우","KOSPI","주권","구형우선주","1990/02/21","2016/01/21","해산 사유 발생",,,"음식료품","5000","171687",,
"277","122640","예스티","KONEX","주권","보통주","2014/12/29","2015/12/16","코스닥시장 이전상장",,,"-","500","3650071","122640","예스티"
"278","000687","LS네트웍스전환상환2우B","KOSPI","주권","신형우선주","2010/12/01","2015/11/26","존속기간 만료",,,"유통업","5000","832835","000680","LS네트웍스"
"279","197210","리드","KONEX","주권","보통주","2014/09/26","2015/11/20","코스닥시장 이전상장",,,"-","500","3816010",,
"280","180400","엠지메드","KONEX","주권","보통주","2014/12/15","2015/11/20","코스닥시장 이전상장",,,"-","500","1714320","180400","캔서롭"
"281","127160","매직마이크로","KONEX","주권","보통주","2013/12/20","2015/11/19","코스닥시장 이전상장",,,"-","500","4542125","127160","매직마이크로"
"282","185490","아이진","KONEX","주권","보통주","2013/11/28","2015/11/16","코스닥시장 이전상장",,,"-","500","8470185","185490","아이진"
"283","950010","평산차업 KDR","KOSPI","주식예탁증권","보통주","2007/11/26","2015/11/05","시가총액 미달","2015/10/27","2015/11/04","서비스업","무액면","4803497",,
"284","092870","엑시콘","KONEX","주권","보통주","2014/12/24","2015/10/22","코스닥시장 이전상장",,,"-","500","6823500","092870","엑시콘"
"285","121550","코크렙15호","KOSPI","부동산투자회사","보통주","2010/01/29","2015/10/16","매출액 미달(50억원 미만) 2년 계속","2015/10/06","2015/10/15","서비스업","5000","12400000",,
"286","053870","GT&T","KOSDAQ","주권","보통주","2001/12/13","2015/10/15","'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절","2015/10/05","2015/10/14","통신장비","500","8000000",,
"287","082220","프렉코","KONEX","주권","보통주","2014/04/11","2015/09/25","지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2015.09.11限) 지정자문인 선임계약 미체결","2015/09/16","2015/09/24","-","500","4001000",,
"288","068060","KCW","KOSDAQ","주권","보통주","2003/01/28","2015/09/18","기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2015/09/09","2015/09/17","운송장비·부품","500","5440000",,
"289","138440","이코리아리츠","KOSPI","부동산투자회사","보통주","2011/03/10","2015/09/16","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2015/09/07","2015/09/15","서비스업","5000","1770000",,
"290","000830","삼성물산","KOSPI","주권","보통주","1975/12/12","2015/09/15","해산 사유 발생",,,"유통업","5000","156217764",,
"291","000835","삼성물산우","KOSPI","주권","구형우선주","1989/07/24","2015/09/15","해산 사유 발생",,,"유통업","5000","4648653",,
"292","003600","SK","KOSPI","주권","보통주","1984/11/12","2015/08/17","해산 사유 발생",,,"서비스업","5000","46961812",,
"293","003605","SK우","KOSPI","주권","구형우선주","1990/04/24","2015/08/17","해산 사유 발생",,,"서비스업","5000","509920",,
"294","094360","칩스앤미디어","KONEX","주권","보통주","2013/10/29","2015/08/05","코스닥시장 이전상장",,,"-","500","2728202","094360","칩스앤미디어"
"295","074130","디아이디","KOSDAQ","주권","보통주","2005/07/27","2015/07/23","기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2015/07/14","2015/07/22","IT부품","500","18830000",,
"296","013450","동성하이켐","KOSDAQ","주권","보통주","1999/06/11","2015/07/20","피흡수합병",,,"화학","500","16249822",,
"297","040670","와이즈파워","KOSDAQ","주권","보통주","2000/08/18","2015/07/16","자본전액잠식 등","2015/07/07","2015/07/15","IT부품","100","97769579",,
"298","000997","동부하이텍2우B","KOSPI","주권","신형우선주","2007/05/21","2015/07/15","종류주식 상장주식수 미달 2반기 계속",,,"전기전자","5000","31019","000990","DB하이텍"
"299","000895","보해양조우","KOSPI","주권","구형우선주","1994/11/22","2015/07/15","종류주식 상장주식수 미달 2반기 계속",,,"음식료품","500","25510","000890","보해양조"
"300","008705","아남전자우","KOSPI","주권","구형우선주","1989/07/24","2015/07/15","종류주식 상장주식수 미달 2반기 계속",,,"전기전자","500","27690","008700","아남전자"
"301","010520","현대하이스코","KOSPI","주권","보통주","1989/09/29","2015/07/15","해산 사유 발생",,,"철강금속","5000","22807950",,
"302","053595","한국테크놀로지우","KOSDAQ","주권","신형우선주","2003/06/04","2015/07/13","종류주식 상장주식수 미달(5만주 미만) 2반기 계속","2015/07/02","2015/07/10","기계·장비","500","38666","053590","한국테크놀로지"
"303","071930","에이스하이텍","KOSDAQ","주권","보통주","2004/01/16","2015/07/10","감사의견거절(감사범위 제한)","2015/07/01","2015/07/09","반도체","500","42932794",,
"304","033630","SK브로드밴드","KOSDAQ","주권","보통주","1998/11/12","2015/07/01","상장폐지신청('15.6.11)",,,"통신서비스","5000","295959087",,
"305","192520","경남은행","KOSPI","주권","보통주","2014/05/22","2015/06/23","지주회사(최대주주등)의 완전자회사화 등",,,"은행","5000","78420912",,
"306","177350","베셀","KONEX","주권","보통주","2013/07/01","2015/06/19","코스닥시장 이전상장",,,"-","500","3489655","177350","베셀"
"307","066350","티에스엠텍","KOSDAQ","주권","보통주","2003/01/21","2015/05/20","발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지","2015/05/11","2015/05/19","기계·장비","500","10837669",,
"308","039530","씨앤케이인터","KOSDAQ","주권","보통주","2000/03/21","2015/05/19","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2015/05/08","2015/05/18","금속","500","56451442",,
"309","039850","태창파로스","KOSDAQ","주권","보통주","2000/07/11","2015/05/19","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2015/05/08","2015/05/18","유통","500","29584271",,
"310","090120","잘만테크","KOSDAQ","주권","보통주","2007/05/22","2015/05/13","감사의견 거절(계속기업 존속능력에 대한 불확실성 및 감사범위 제한)","2015/04/30","2015/05/12","IT부품","500","32208457",,
"311","065180","해피드림","KOSDAQ","주권","보통주","2002/06/18","2015/05/04","감사범위제한으로 인한 한정의견","2015/04/22","2015/04/30","유통","500","40870235",,
"312","179280","스탠다드펌","KONEX","주권","보통주","2013/07/01","2015/04/30","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2015/04/21","2015/04/29","-","500","6600000",,
"313","160350","웹솔루스","KONEX","주권","보통주","2013/07/01","2015/04/30","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2015/04/21","2015/04/29","-","500","6014000",,
"314","053330","영진코퍼레이션","KOSDAQ","주권","보통주","2001/11/01","2015/04/23","자본전액잠식","2015/04/14","2015/04/22","기계·장비","500","23344810",,
"315","000800","경남기업","KOSPI","주권","보통주","1973/02/12","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","35803128",,
"316","000360","삼환기업","KOSPI","주권","보통주","1973/09/03","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","8868035",,
"317","000365","삼환기업우","KOSPI","주권","구형우선주","1989/10/27","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","1087434",,
"318","004367","세방2우B","KOSPI","주권","신형우선주","2005/03/31","2015/04/15","존속기간 만료",,,"운수창고업","500","2508690","004360","세방"
"319","014350","신일건업","KOSPI","주권","보통주","1989/11/11","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","1474575",,
"320","181980","힘스인터내셔널","KONEX","주권","보통주","2013/08/14","2015/04/15","상장폐지 신청('15.03.23)",,,"-","500","1600000",,
"321","004320","울트라건설","KOSDAQ","주권","보통주","1991/12/06","2015/04/13","자본전액잠식","2015/04/02","2015/04/10","건설","5000","6681631",,
"322","004325","울트라건설우","KOSDAQ","주권","신형우선주","2001/01/22","2015/04/13","자본전액잠식","2015/04/02","2015/04/10","건설","5000","1400000",,
