cd,dt,ncv,cv,cr,ov,hv,lv
KOSPI,20210210,3100.58,15.91,0.52,3088.13,3111.88,3064.25
KOSPI,20210209,3084.67,-6.57,-0.21,3102.25,3129.66,3084.67
KOSPI,20210208,3091.24,-29.39,-0.94,3113.63,3128.54,3085.59
KOSPI,20210205,3120.63,33.08,1.07,3098.49,3124.62,3081.78
KOSPI,20210204,3087.55,-42.13,-1.35,3135.02,3135.02,3068.46
KOSPI,20210203,3129.68,32.87,1.06,3108.42,3142.26,3091.85
KOSPI,20210202,3096.81,40.28,1.32,3065.56,3138.95,3065.56
KOSPI,20210201,3056.53,80.32,2.7,2976.81,3056.87,2947.24
KOSPI,20210129,2976.21,-92.84,-3.03,3078.73,3100.22,2962.7
KOSPI,20210128,3069.05,-53.51,-1.71,3114.98,3114.98,3046.64
KOSPI,20210127,3122.56,-17.75,-0.57,3143.46,3182.53,3118.89
KOSPI,20210126,3140.31,-68.68,-2.14,3203.96,3209.18,3132.67
KOSPI,20210125,3208.99,68.36,2.18,3144.01,3212.22,3142.8
KOSPI,20210122,3140.63,-20.21,-0.64,3163.83,3185.26,3140.6
KOSPI,20210121,3160.84,46.29,1.49,3123.27,3163.21,3123.27
KOSPI,20210120,3114.55,21.89,0.71,3115.04,3145.01,3077.15
KOSPI,20210119,3092.66,78.73,2.61,3013.05,3107.0,3011.32
KOSPI,20210118,3013.93,-71.97,-2.33,3079.9,3079.9,3003.89
KOSPI,20210115,3085.9,-64.03,-2.03,3153.84,3189.9,3085.9
KOSPI,20210114,3149.93,1.64,0.05,3148.65,3159.03,3128.72
KOSPI,20210113,3148.29,22.34,0.71,3128.26,3164.37,3109.63
KOSPI,20210112,3125.95,-22.5,-0.71,3145.87,3154.79,3047.56
KOSPI,20210111,3148.45,-3.73,-0.12,3161.9,3266.23,3096.19
KOSPI,20210108,3152.18,120.5,3.97,3040.11,3161.11,3040.11
KOSPI,20210107,3031.68,63.47,2.14,2980.75,3055.28,2980.75
KOSPI,20210106,2968.21,-22.36,-0.75,2993.34,3027.16,2961.37
KOSPI,20210105,2990.57,46.12,1.57,2943.67,2990.57,2921.84
KOSPI,20210104,2944.45,70.98,2.47,2874.5,2946.54,2869.11
KOSPI,20201230,2873.47,52.96,1.88,2820.36,2878.21,2809.35
KOSPI,20201229,2820.51,11.91,0.42,2810.55,2823.44,2792.06
KOSPI,20201228,2808.6,1.74,0.06,2820.95,2834.59,2799.56
KOSPI,20201224,2806.86,47.04,1.7,2762.6,2812.16,2762.6
KOSPI,20201223,2759.82,26.14,0.96,2737.74,2769.08,2716.28
KOSPI,20201222,2733.68,-44.97,-1.62,2772.03,2774.22,2733.64
KOSPI,20201221,2778.65,6.47,0.23,2771.98,2780.24,2747.09
KOSPI,20201218,2772.18,1.75,0.06,2770.95,2782.15,2762.8
KOSPI,20201217,2770.43,-1.36,-0.05,2769.89,2772.71,2742.25
KOSPI,20201216,2771.79,14.97,0.54,2763.64,2781.08,2761.5
KOSPI,20201215,2756.82,-5.38,-0.19,2763.65,2769.37,2735.08
KOSPI,20201214,2762.2,-7.86,-0.28,2769.43,2782.79,2755.29
KOSPI,20201211,2770.06,23.6,0.86,2754.16,2781.04,2754.16
KOSPI,20201210,2746.46,-9.01,-0.33,2750.34,2765.46,2718.7
KOSPI,20201209,2755.47,54.54,2.02,2703.3,2755.47,2703.3
KOSPI,20201208,2700.93,-44.51,-1.62,2745.13,2747.45,2700.92
KOSPI,20201207,2745.44,13.99,0.51,2738.11,2754.01,2711.42
KOSPI,20201204,2731.45,35.23,1.31,2705.34,2742.77,2705.34
KOSPI,20201203,2696.22,20.32,0.76,2686.38,2696.22,2672.85
KOSPI,20201202,2675.9,41.65,1.58,2645.88,2677.26,2644.53
KOSPI,20201201,2634.25,42.91,1.66,2613.42,2638.87,2611.67
KOSPI,20201130,2591.34,-42.11,-1.6,2648.05,2648.66,2591.34
KOSPI,20201127,2633.45,7.54,0.29,2624.8,2635.0,2618.47
KOSPI,20201126,2625.91,24.37,0.94,2605.73,2625.97,2592.43
KOSPI,20201125,2601.54,-16.22,-0.62,2637.34,2642.26,2583.41
KOSPI,20201124,2617.76,15.17,0.58,2616.28,2628.52,2605.03
KOSPI,20201123,2602.59,49.09,1.92,2560.04,2605.58,2553.7
KOSPI,20201120,2553.5,6.08,0.24,2544.06,2558.21,2539.79
KOSPI,20201119,2547.42,1.78,0.07,2536.89,2548.95,2529.53
KOSPI,20201118,2545.64,6.49,0.26,2548.85,2553.95,2536.78
KOSPI,20201117,2539.15,-3.88,-0.15,2544.12,2556.09,2533.34
KOSPI,20201116,2543.03,49.16,1.97,2507.46,2546.37,2507.46
KOSPI,20201113,2493.87,18.25,0.74,2470.12,2495.77,2460.96
KOSPI,20201112,2475.62,-10.25,-0.41,2482.68,2488.79,2467.04
KOSPI,20201111,2485.87,33.04,1.35,2459.5,2488.04,2459.5
KOSPI,20201110,2452.83,5.63,0.23,2453.95,2457.94,2435.59
KOSPI,20201109,2447.2,30.7,1.27,2438.63,2459.15,2434.52
KOSPI,20201106,2416.5,2.71,0.11,2421.79,2431.11,2404.97
KOSPI,20201105,2413.79,56.47,2.4,2373.41,2413.79,2370.85
KOSPI,20201104,2357.32,14.01,0.6,2361.32,2371.14,2339.95
KOSPI,20201103,2343.31,43.15,1.88,2315.81,2344.77,2315.3
KOSPI,20201102,2300.16,33.01,1.46,2276.61,2302.64,2267.95
KOSPI,20201030,2267.15,-59.52,-2.56,2319.56,2320.2,2266.93
KOSPI,20201029,2326.67,-18.59,-0.79,2312.34,2330.17,2299.91
KOSPI,20201028,2345.26,14.42,0.62,2324.18,2345.46,2316.47
KOSPI,20201027,2330.84,-13.07,-0.56,2328.66,2349.33,2321.23
KOSPI,20201026,2343.91,-16.9,-0.72,2366.5,2374.5,2342.58
KOSPI,20201023,2360.81,5.76,0.24,2364.84,2368.57,2344.49
KOSPI,20201022,2355.05,-15.81,-0.67,2355.61,2360.22,2339.73
KOSPI,20201021,2370.86,12.45,0.53,2363.03,2371.74,2356.32
KOSPI,20201020,2358.41,11.67,0.5,2333.56,2358.41,2322.06
KOSPI,20201019,2346.74,5.21,0.22,2352.92,2364.25,2344.77
KOSPI,20201016,2341.53,-19.68,-0.83,2363.88,2370.73,2325.03
KOSPI,20201015,2361.21,-19.27,-0.81,2375.91,2376.73,2348.74
KOSPI,20201014,2380.48,-22.67,-0.94,2403.74,2405.56,2375.54
KOSPI,20201013,2403.15,-0.58,-0.02,2416.85,2418.89,2385.87
KOSPI,20201012,2403.73,11.77,0.49,2404.18,2409.42,2393.74
KOSPI,20201008,2391.96,5.02,0.21,2408.49,2409.01,2383.82
KOSPI,20201007,2386.94,21.04,0.89,2350.82,2387.45,2347.82
KOSPI,20201006,2365.9,7.9,0.34,2369.17,2378.28,2355.39
KOSPI,20201005,2358.0,30.11,1.29,2330.55,2364.73,2327.83
KOSPI,20200929,2327.89,19.81,0.86,2331.51,2339.83,2320.04
KOSPI,20200928,2308.08,29.29,1.29,2301.16,2314.81,2291.32
KOSPI,20200925,2278.79,6.09,0.27,2295.19,2296.36,2267.63
KOSPI,20200924,2272.7,-60.54,-2.59,2295.62,2309.74,2268.88
KOSPI,20200923,2333.24,0.65,0.03,2352.56,2354.46,2287.44
KOSPI,20200922,2332.59,-56.8,-2.38,2388.14,2388.49,2323.58
KOSPI,20200921,2389.39,-23.01,-0.95,2412.44,2427.17,2379.38
KOSPI,20200918,2412.4,6.23,0.26,2413.53,2417.81,2396.33
KOSPI,20200917,2406.17,-29.75,-1.22,2430.77,2437.02,2398.69
KOSPI,20200916,2435.92,-7.66,-0.31,2442.72,2450.53,2429.94
KOSPI,20200915,2443.58,15.67,0.65,2434.59,2444.57,2423.79
KOSPI,20200914,2427.91,31.22,1.3,2418.33,2429.07,2410.79
KOSPI,20200911,2396.69,0.21,0.01,2389.76,2397.56,2374.0
KOSPI,20200910,2396.48,20.67,0.87,2404.83,2406.68,2388.56
KOSPI,20200909,2375.81,-26.1,-1.09,2372.53,2388.85,2369.12
KOSPI,20200908,2401.91,17.69,0.74,2402.66,2407.56,2391.43
KOSPI,20200907,2384.22,15.97,0.67,2369.85,2387.49,2362.42
KOSPI,20200904,2368.25,-27.65,-1.15,2332.68,2371.02,2332.68
KOSPI,20200903,2395.9,31.53,1.33,2383.26,2401.78,2382.23
KOSPI,20200902,2364.37,14.82,0.63,2363.43,2369.57,2341.29
KOSPI,20200901,2349.55,23.38,1.01,2340.19,2355.9,2331.23
KOSPI,20200831,2326.17,-27.63,-1.17,2377.09,2381.5,2326.06
KOSPI,20200828,2353.8,9.35,0.4,2362.22,2379.26,2345.28
KOSPI,20200827,2344.45,-24.87,-1.05,2371.95,2373.36,2344.38
KOSPI,20200826,2369.32,2.59,0.11,2367.74,2374.68,2336.98
KOSPI,20200825,2366.73,36.9,1.58,2352.15,2369.78,2340.97
KOSPI,20200824,2329.83,25.24,1.1,2309.38,2332.33,2283.48
KOSPI,20200821,2304.59,30.37,1.34,2306.16,2329.34,2280.97
KOSPI,20200820,2274.22,-86.32,-3.66,2339.91,2357.08,2270.85
KOSPI,20200819,2360.54,12.3,0.52,2370.87,2380.1,2353.17
KOSPI,20200818,2348.24,-59.25,-2.46,2405.84,2419.65,2336.78
KOSPI,20200814,2407.49,-30.04,-1.23,2427.85,2435.0,2383.69
KOSPI,20200813,2437.53,5.18,0.21,2455.28,2458.17,2412.49
KOSPI,20200812,2432.35,13.68,0.57,2414.78,2432.35,2393.27
KOSPI,20200811,2418.67,32.29,1.35,2396.11,2429.36,2396.11
KOSPI,20200810,2386.38,34.71,1.48,2353.92,2390.51,2349.33
KOSPI,20200807,2351.67,9.06,0.39,2349.25,2362.24,2333.62
KOSPI,20200806,2342.61,30.75,1.33,2322.64,2352.48,2322.64
KOSPI,20200805,2311.86,31.89,1.4,2289.23,2312.14,2283.95
KOSPI,20200804,2279.97,28.93,1.29,2272.33,2284.66,2269.69
KOSPI,20200803,2251.04,1.67,0.07,2251.65,2254.38,2237.04
KOSPI,20200731,2249.37,-17.64,-0.78,2278.53,2281.41,2248.49
KOSPI,20200730,2267.01,3.85,0.17,2275.33,2281.33,2263.81
KOSPI,20200729,2263.16,6.17,0.27,2258.35,2276.79,2252.24
KOSPI,20200728,2256.99,39.13,1.76,2238.19,2266.0,2237.21
KOSPI,20200727,2217.86,17.42,0.79,2203.48,2231.25,2203.48
KOSPI,20200724,2200.44,-15.75,-0.71,2196.73,2219.57,2195.49
KOSPI,20200723,2216.19,-12.47,-0.56,2227.24,2227.24,2202.99
KOSPI,20200722,2228.66,-0.17,-0.01,2228.2,2238.86,2221.62
KOSPI,20200721,2228.83,30.63,1.39,2219.19,2234.86,2214.28
KOSPI,20200720,2198.2,-2.99,-0.14,2209.59,2209.59,2183.83
KOSPI,20200717,2201.19,17.43,0.8,2187.85,2204.2,2187.85
KOSPI,20200716,2183.76,-18.12,-0.82,2203.3,2207.34,2177.82
KOSPI,20200715,2201.88,18.27,0.84,2208.73,2216.97,2190.66
KOSPI,20200714,2183.61,-2.45,-0.11,2176.43,2183.61,2165.6
KOSPI,20200713,2186.06,35.81,1.67,2170.51,2188.8,2163.07
KOSPI,20200710,2150.25,-17.65,-0.81,2171.44,2171.52,2140.29
KOSPI,20200709,2167.9,9.02,0.42,2171.15,2181.48,2166.74
KOSPI,20200708,2158.88,-5.29,-0.24,2166.76,2173.83,2150.89
KOSPI,20200707,2164.17,-23.76,-1.09,2202.04,2206.79,2164.03
KOSPI,20200706,2187.93,35.52,1.65,2158.95,2191.28,2157.71
KOSPI,20200703,2152.41,17.04,0.8,2147.89,2153.54,2135.3
KOSPI,20200702,2135.37,28.67,1.36,2116.72,2135.37,2113.98
KOSPI,20200701,2106.7,-1.63,-0.08,2128.81,2133.55,2101.33
KOSPI,20200630,2108.33,14.85,0.71,2124.38,2134.38,2108.26
KOSPI,20200629,2093.48,-41.17,-1.93,2105.54,2120.5,2087.84
KOSPI,20200626,2134.65,22.28,1.05,2137.47,2142.04,2115.25
KOSPI,20200625,2112.37,-49.14,-2.27,2130.45,2143.33,2112.37
KOSPI,20200624,2161.51,30.27,1.42,2145.93,2171.86,2143.91
KOSPI,20200623,2131.24,4.51,0.21,2149.13,2158.15,2110.51
KOSPI,20200622,2126.73,-14.59,-0.68,2126.38,2142.88,2122.1
KOSPI,20200619,2141.32,7.84,0.37,2153.09,2153.57,2108.91
KOSPI,20200618,2133.48,-7.57,-0.35,2134.35,2145.13,2120.29
KOSPI,20200617,2141.05,3.0,0.14,2133.18,2154.37,2105.26
KOSPI,20200616,2138.05,107.23,5.28,2091.09,2138.08,2079.02
KOSPI,20200615,2030.82,-101.48,-4.76,2114.41,2129.67,2030.82
KOSPI,20200612,2132.3,-44.48,-2.04,2088.24,2137.12,2084.63
KOSPI,20200611,2176.78,-18.91,-0.86,2184.36,2200.72,2148.51
KOSPI,20200610,2195.69,6.77,0.31,2187.91,2200.68,2178.12
KOSPI,20200609,2188.92,4.63,0.21,2206.23,2212.17,2166.01
KOSPI,20200608,2184.29,2.42,0.11,2215.6,2217.21,2174.96
KOSPI,20200605,2181.87,30.69,1.43,2151.17,2187.25,2138.18
KOSPI,20200604,2151.18,4.18,0.19,2181.64,2191.0,2139.68
KOSPI,20200603,2147.0,59.81,2.87,2108.55,2156.55,2107.69
KOSPI,20200602,2087.19,22.11,1.07,2061.45,2089.43,2059.14
KOSPI,20200601,2065.08,35.48,1.75,2037.04,2065.38,2035.63
KOSPI,20200529,2029.6,1.06,0.05,2018.37,2038.89,2006.62
KOSPI,20200528,2028.54,-2.66,-0.13,2047.08,2054.52,2003.75
KOSPI,20200527,2031.2,1.42,0.07,2027.9,2043.44,2019.82
KOSPI,20200526,2029.78,35.18,1.76,2001.0,2029.89,1997.94
KOSPI,20200525,1994.6,24.47,1.24,1980.51,1994.9,1967.84
KOSPI,20200522,1970.13,-28.18,-1.41,2001.6,2002.65,1961.4
KOSPI,20200521,1998.31,8.67,0.44,2003.2,2004.95,1993.0
KOSPI,20200520,1989.64,9.03,0.46,1972.12,1992.2,1972.12
KOSPI,20200519,1980.61,43.5,2.25,1977.47,1983.77,1968.59
KOSPI,20200518,1937.11,9.83,0.51,1934.51,1943.07,1921.14
KOSPI,20200515,1927.28,2.32,0.12,1937.63,1938.59,1913.21
KOSPI,20200514,1924.96,-15.46,-0.8,1922.44,1931.43,1913.49
KOSPI,20200513,1940.42,18.25,0.95,1897.5,1940.42,1897.24
KOSPI,20200512,1922.17,-13.23,-0.68,1938.62,1938.62,1905.17
KOSPI,20200511,1935.4,-10.42,-0.54,1953.51,1960.46,1932.87
KOSPI,20200508,1945.82,17.21,0.89,1944.94,1956.89,1942.54
KOSPI,20200507,1928.61,-0.15,-0.01,1922.0,1938.5,1918.57
KOSPI,20200506,1928.76,33.39,1.76,1919.45,1928.76,1902.55
KOSPI,20200504,1895.37,-52.19,-2.68,1906.42,1918.66,1894.29
KOSPI,20200429,1947.56,13.47,0.7,1936.89,1957.51,1934.31
KOSPI,20200428,1934.09,11.32,0.59,1931.25,1941.79,1911.63
KOSPI,20200427,1922.77,33.76,1.79,1897.06,1929.82,1894.62
KOSPI,20200424,1889.01,-25.72,-1.34,1906.07,1908.29,1880.71
KOSPI,20200423,1914.73,18.58,0.98,1907.45,1923.53,1895.98
KOSPI,20200422,1896.15,16.77,0.89,1855.51,1897.9,1844.85
KOSPI,20200421,1879.38,-18.98,-1.0,1886.78,1898.32,1841.66
KOSPI,20200420,1898.36,-16.17,-0.84,1908.34,1925.25,1893.17
KOSPI,20200417,1914.53,57.46,3.09,1893.31,1926.02,1893.19
KOSPI,20200416,1857.07,-0.01,0.0,1839.51,1862.23,1828.13
KOSPI,20200414,1857.08,31.32,1.72,1846.41,1864.46,1837.17
KOSPI,20200413,1825.76,-34.94,-1.88,1853.3,1853.3,1825.76
KOSPI,20200410,1860.7,24.49,1.33,1835.76,1861.1,1824.43
KOSPI,20200409,1836.21,29.07,1.61,1838.09,1839.33,1818.3
KOSPI,20200408,1807.14,-16.46,-0.9,1815.75,1842.16,1801.8
KOSPI,20200407,1823.6,31.72,1.77,1826.72,1838.97,1791.92
KOSPI,20200406,1791.88,66.44,3.85,1745.25,1794.19,1742.67
KOSPI,20200403,1725.44,0.58,0.03,1731.17,1743.91,1706.68
KOSPI,20200402,1724.86,39.4,2.34,1693.53,1726.76,1664.13
KOSPI,20200401,1685.46,-69.18,-3.94,1737.28,1762.44,1685.37
KOSPI,20200331,1754.64,37.52,2.19,1739.29,1757.81,1722.62
KOSPI,20200330,1717.12,-0.61,-0.04,1670.34,1729.63,1659.95
KOSPI,20200327,1717.73,31.49,1.87,1756.07,1759.05,1668.21
KOSPI,20200326,1686.24,-18.52,-1.09,1699.11,1735.75,1679.23
KOSPI,20200325,1704.76,94.79,5.89,1668.19,1707.64,1645.28
KOSPI,20200324,1609.97,127.51,8.6,1523.69,1609.97,1508.68
KOSPI,20200323,1482.46,-83.69,-5.34,1474.45,1516.75,1458.41
KOSPI,20200320,1566.15,108.51,7.44,1498.49,1566.82,1466.48
KOSPI,20200319,1457.64,-133.56,-8.39,1626.09,1626.09,1439.43
KOSPI,20200318,1591.2,-81.24,-4.86,1686.12,1693.95,1591.12
KOSPI,20200317,1672.44,-42.42,-2.47,1640.84,1722.97,1637.88
KOSPI,20200316,1714.86,-56.58,-3.19,1805.43,1805.43,1714.38
KOSPI,20200313,1771.44,-62.89,-3.43,1722.68,1809.31,1680.6
KOSPI,20200312,1834.33,-73.94,-3.87,1887.97,1897.23,1808.56
KOSPI,20200311,1908.27,-54.66,-2.78,1965.67,1967.7,1898.27
KOSPI,20200310,1962.93,8.16,0.42,1942.85,1968.17,1934.72
KOSPI,20200309,1954.77,-85.45,-4.19,1981.02,1989.5,1946.9
KOSPI,20200306,2040.22,-45.04,-2.16,2053.09,2062.57,2032.13
KOSPI,20200305,2085.26,25.93,1.26,2078.11,2089.08,2059.99
KOSPI,20200304,2059.33,45.18,2.24,2005.81,2063.59,2005.81
KOSPI,20200303,2014.15,11.64,0.58,2051.85,2051.85,2009.39
KOSPI,20200302,2002.51,15.5,0.78,1997.03,2017.07,1969.34
KOSPI,20200228,1987.01,-67.88,-3.3,2020.17,2031.01,1980.82
KOSPI,20200227,2054.89,-21.88,-1.05,2073.87,2085.4,2049.15
KOSPI,20200226,2076.77,-26.84,-1.28,2064.07,2089.64,2059.13
KOSPI,20200225,2103.61,24.57,1.18,2075.55,2105.49,2071.5
KOSPI,20200224,2079.04,-83.8,-3.87,2114.04,2120.06,2079.03
KOSPI,20200221,2162.84,-32.66,-1.49,2165.65,2184.43,2160.28
KOSPI,20200220,2195.5,-14.84,-0.67,2223.55,2228.18,2186.72
KOSPI,20200219,2210.34,1.46,0.07,2222.51,2226.0,2191.2
KOSPI,20200218,2208.88,-33.29,-1.48,2225.98,2232.93,2205.21
KOSPI,20200217,2242.17,-1.42,-0.06,2243.07,2250.05,2230.26
KOSPI,20200214,2243.59,10.63,0.48,2232.71,2251.5,2221.9
KOSPI,20200213,2232.96,-5.42,-0.24,2245.72,2255.49,2230.3
KOSPI,20200212,2238.38,15.26,0.69,2225.95,2242.24,2214.77
KOSPI,20200211,2223.12,22.05,1.0,2213.5,2233.32,2211.25
KOSPI,20200210,2201.07,-10.88,-0.49,2185.63,2203.39,2180.51
KOSPI,20200207,2211.95,-15.99,-0.72,2221.49,2223.92,2198.14
KOSPI,20200206,2227.94,62.31,2.88,2184.77,2229.99,2182.25
KOSPI,20200205,2165.63,7.73,0.36,2177.26,2181.52,2154.88
KOSPI,20200204,2157.9,39.02,1.84,2121.22,2162.32,2120.53
KOSPI,20200203,2118.88,-0.13,-0.01,2086.61,2126.73,2082.74
KOSPI,20200131,2119.01,-28.99,-1.35,2160.6,2167.23,2119.01
KOSPI,20200130,2148.0,-37.28,-1.71,2181.54,2187.45,2139.72
KOSPI,20200129,2185.28,8.56,0.39,2188.18,2195.45,2172.33
KOSPI,20200128,2176.72,-69.41,-3.09,2192.22,2199.93,2166.23
KOSPI,20200123,2246.13,-21.12,-0.93,2254.54,2260.63,2241.94
KOSPI,20200122,2267.25,27.56,1.23,2238.53,2269.27,2235.13
KOSPI,20200121,2239.69,-22.95,-1.01,2259.81,2266.31,2238.25
KOSPI,20200120,2262.64,12.07,0.54,2261.4,2277.23,2258.09
KOSPI,20200117,2250.57,2.52,0.11,2261.57,2268.71,2245.58
KOSPI,20200116,2248.05,17.07,0.77,2231.93,2249.09,2225.41
KOSPI,20200115,2230.98,-7.9,-0.35,2229.8,2238.21,2223.39
KOSPI,20200114,2238.88,9.62,0.43,2243.06,2250.79,2232.94
KOSPI,20200113,2229.26,22.87,1.04,2204.49,2230.43,2204.49
KOSPI,20200110,2206.39,19.94,0.91,2189.48,2206.92,2188.1
KOSPI,20200109,2186.45,35.14,1.63,2182.2,2186.45,2172.16
KOSPI,20200108,2151.31,-24.23,-1.11,2156.27,2162.32,2137.72
KOSPI,20200107,2175.54,20.47,0.95,2166.6,2181.62,2164.27
KOSPI,20200106,2155.07,-21.39,-0.98,2154.97,2164.42,2149.95
KOSPI,20200103,2176.46,1.29,0.06,2192.58,2203.38,2165.39
KOSPI,20200102,2175.17,-22.5,-1.02,2201.21,2202.32,2171.84
KOSPI,20191230,2197.67,-6.54,-0.3,2202.62,2208.04,2195.65
KOSPI,20191227,2204.21,6.28,0.29,2183.7,2215.55,2177.4
KOSPI,20191226,2197.93,7.85,0.36,2192.22,2198.01,2183.9
KOSPI,20191224,2190.08,-13.63,-0.62,2206.23,2206.23,2187.58
KOSPI,20191223,2203.71,-0.47,-0.02,2208.22,2209.2,2196.43
KOSPI,20191220,2204.18,7.62,0.35,2205.57,2206.82,2194.8
KOSPI,20191219,2196.56,1.8,0.08,2199.42,2204.73,2186.59
KOSPI,20191218,2194.76,-0.92,-0.04,2194.92,2204.04,2187.32
KOSPI,20191217,2195.68,27.53,1.27,2179.4,2196.01,2171.09
KOSPI,20191216,2168.15,-2.1,-0.1,2168.05,2175.01,2166.29
KOSPI,20191213,2170.25,32.9,1.54,2164.63,2170.25,2159.45
KOSPI,20191212,2137.35,31.73,1.51,2120.13,2138.93,2120.13
KOSPI,20191211,2105.62,7.62,0.36,2098.28,2109.22,2092.48
KOSPI,20191210,2098.0,9.35,0.45,2081.22,2100.48,2080.16
KOSPI,20191209,2088.65,6.8,0.33,2091.94,2093.81,2084.31
KOSPI,20191206,2081.85,21.11,1.02,2072.44,2084.44,2070.17
KOSPI,20191205,2060.74,-8.15,-0.39,2078.31,2084.29,2053.56
KOSPI,20191204,2068.89,-15.18,-0.73,2070.84,2072.91,2057.45
KOSPI,20191203,2084.07,-7.85,-0.38,2075.02,2085.71,2066.6
KOSPI,20191202,2091.92,3.96,0.19,2097.55,2103.87,2088.92
KOSPI,20191129,2087.96,-30.64,-1.45,2125.53,2125.53,2085.1
KOSPI,20191128,2118.6,-9.25,-0.43,2116.93,2127.75,2116.58
KOSPI,20191127,2127.85,6.5,0.31,2134.47,2136.3,2118.07
KOSPI,20191126,2121.35,-2.15,-0.1,2129.27,2139.64,2120.85
KOSPI,20191125,2123.5,21.54,1.02,2117.14,2130.04,2116.07
KOSPI,20191122,2101.96,5.36,0.26,2098.89,2106.42,2093.99
KOSPI,20191121,2096.6,-28.72,-1.35,2123.65,2125.36,2088.19
KOSPI,20191120,2125.32,-27.92,-1.3,2140.06,2145.97,2123.8
KOSPI,20191119,2153.24,-7.45,-0.34,2151.04,2154.41,2137.01
KOSPI,20191118,2160.69,-1.49,-0.07,2161.89,2165.89,2151.97
KOSPI,20191115,2162.18,22.95,1.07,2137.96,2165.02,2135.26
KOSPI,20191114,2139.23,16.78,0.79,2127.54,2139.23,2121.32
KOSPI,20191113,2122.45,-18.47,-0.86,2132.48,2133.37,2118.67
KOSPI,20191112,2140.92,16.83,0.79,2131.26,2140.94,2121.8
KOSPI,20191111,2124.09,-13.14,-0.61,2139.07,2139.07,2119.07
KOSPI,20191108,2137.23,-7.06,-0.33,2154.18,2155.94,2133.75
KOSPI,20191107,2144.29,0.14,0.01,2141.05,2147.01,2135.45
KOSPI,20191106,2144.15,1.51,0.07,2142.69,2156.23,2138.83
KOSPI,20191105,2142.64,12.4,0.58,2133.66,2143.12,2128.7
KOSPI,20191104,2130.24,30.04,1.43,2111.32,2130.83,2111.32
KOSPI,20191101,2100.2,16.72,0.8,2084.79,2100.42,2081.53
KOSPI,20191031,2083.48,3.21,0.15,2089.22,2103.71,2083.48
KOSPI,20191030,2080.27,-12.42,-0.59,2093.51,2093.51,2075.54
KOSPI,20191029,2092.69,-0.91,-0.04,2103.92,2105.17,2088.04
KOSPI,20191028,2093.6,5.71,0.27,2096.67,2104.39,2089.76
KOSPI,20191025,2087.89,2.23,0.11,2091.16,2091.24,2079.3
KOSPI,20191024,2085.66,5.04,0.24,2089.85,2089.85,2067.9
KOSPI,20191023,2080.62,-8.24,-0.39,2086.81,2088.25,2074.88
KOSPI,20191022,2088.86,24.02,1.16,2076.29,2093.81,2073.08
KOSPI,20191021,2064.84,4.15,0.2,2067.97,2067.97,2059.33
KOSPI,20191018,2060.69,-17.25,-0.83,2082.23,2088.54,2057.89
KOSPI,20191017,2077.94,-4.89,-0.23,2081.76,2087.15,2072.49
KOSPI,20191016,2082.83,14.66,0.71,2080.92,2090.01,2073.8
KOSPI,20191015,2068.17,0.77,0.04,2064.78,2073.21,2064.34
KOSPI,20191014,2067.4,22.79,1.11,2068.13,2075.1,2065.53
KOSPI,20191011,2044.61,16.46,0.81,2048.08,2053.94,2040.48
KOSPI,20191010,2028.15,-18.1,-0.88,2030.13,2040.88,2010.9
KOSPI,20191008,2046.25,24.52,1.21,2029.37,2046.81,2024.63
KOSPI,20191007,2021.73,1.04,0.05,2031.53,2034.94,2016.19
KOSPI,20191004,2020.69,-11.22,-0.55,2028.4,2039.43,2020.69
KOSPI,20191002,2031.91,-40.51,-1.95,2058.23,2058.23,2031.91
KOSPI,20191001,2072.42,9.37,0.45,2062.44,2077.48,2057.91
KOSPI,20190930,2063.05,13.12,0.64,2045.77,2064.99,2042.01
KOSPI,20190927,2049.93,-24.59,-1.19,2066.96,2066.96,2044.75
KOSPI,20190926,2074.52,1.13,0.05,2082.66,2087.33,2064.34
KOSPI,20190925,2073.39,-27.65,-1.32,2093.47,2095.27,2072.41
KOSPI,20190924,2101.04,9.34,0.45,2090.19,2101.63,2085.91
KOSPI,20190923,2091.7,0.18,0.01,2087.7,2095.54,2085.6
KOSPI,20190920,2091.52,11.17,0.54,2080.86,2092.37,2077.3
KOSPI,20190919,2080.35,9.62,0.46,2070.53,2089.81,2070.53
KOSPI,20190918,2070.73,8.4,0.41,2064.42,2075.63,2058.52
KOSPI,20190917,2062.33,0.11,0.01,2058.72,2066.33,2055.17
KOSPI,20190916,2062.22,13.02,0.64,2056.26,2062.22,2044.8
KOSPI,20190911,2049.2,17.12,0.84,2043.72,2050.8,2040.04
KOSPI,20190910,2032.08,12.53,0.62,2024.79,2034.28,2021.58
KOSPI,20190909,2019.55,10.42,0.52,2013.38,2029.8,2013.28
KOSPI,20190906,2009.13,4.38,0.22,2016.11,2017.2,2005.69
KOSPI,20190905,2004.75,16.22,0.82,1993.62,2015.39,1992.51
KOSPI,20190904,1988.53,22.84,1.16,1962.43,1988.53,1962.08
KOSPI,20190903,1965.69,-3.5,-0.18,1966.5,1976.37,1960.15
KOSPI,20190902,1969.19,1.4,0.07,1961.19,1973.25,1958.59
KOSPI,20190830,1967.79,34.38,1.78,1951.66,1971.21,1951.3
KOSPI,20190829,1933.41,-7.68,-0.4,1943.55,1947.15,1928.49
KOSPI,20190828,1941.09,16.49,0.86,1929.96,1943.62,1926.43
