순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"89,700","-900","-1.0","36,068,848","3,244,066,562,850","89,800","91,200","89,100","535,489,494,735,000","20.87","5,969,782,550","3,314,652,740","55.52",2531
2,000660,SK하이닉스,"133,000","4,000","3.1","6,791,044","891,281,070,500","129,000","133,500","128,500","96,824,314,545,000","3.77","728,002,365","365,699,235","50.23",
3,051910,LG화학,"1,000,000","38,000","4.0","571,276","565,950,841,500","966,000","1,002,000","963,000","70,592,343,000,000","2.75","70,592,343","30,657,506","43.43",
4,005935,삼성전자우,"78,600","-1,400","-1.8","5,819,050","459,449,795,200","79,000","80,300","78,500","64,678,894,620,000","2.52","822,886,700","662,657,604","80.53",
5,005380,현대차,"259,000","-2,000","-0.8","5,805,649","1,496,753,077,000","259,500","265,000","250,000","55,340,060,433,000","2.16","213,668,187","66,212,073","30.99",
6,207940,삼성바이오로직스,"830,000","12,000","1.5","207,744","169,240,048,000","814,000","832,000","802,000","54,916,950,000,000","2.14","66,165,000","6,876,762","10.39",
7,006400,삼성SDI,"754,000","9,000","1.2","576,057","430,930,342,000","738,000","759,000","735,000","51,848,455,620,000","2.02","68,764,530","30,449,614","44.28",
8,035420,NAVER,"314,000","10,000","3.3","1,894,304","592,380,799,500","306,000","317,500","304,000","51,578,706,030,000","2.01","164,263,395","92,786,584","56.49",
9,068270,셀트리온,"381,500","-2,500","-0.6","2,083,610","798,022,757,500","380,000","390,000","375,000","51,501,662,607,500","2.01","134,997,805","27,634,092","20.47",
10,035720,카카오,"454,500","-3,000","-0.7","806,402","366,981,828,500","458,500","462,000","449,500","40,205,027,277,000","1.57","88,459,906","29,611,329","33.47",
11,012330,현대모비스,"339,500","7,500","2.3","1,385,910","462,709,552,500","329,500","346,500","321,500","32,271,068,613,000","1.26","95,054,694","40,278,241","42.37",
12,000270,기아차,"72,200","2,000","2.8","8,971,217","646,275,344,930","70,300","76,700","68,200","29,267,233,653,400","1.14","405,363,347","150,058,917","37.02",
13,028260,삼성물산,"146,000","500","0.3","836,672","123,030,171,000","146,000","149,000","145,500","27,285,513,826,000","1.06","186,887,081","27,736,483","14.84",
14,096770,SK이노베이션,"281,000","-3,500","-1.2","1,645,616","468,948,736,000","289,500","296,500","277,500","25,982,823,484,000","1.01","92,465,564","22,033,460","23.83",
15,091990,셀트리온헬스케어,"169,800","-2,200","-1.3","3,510,841","600,380,584,200","170,200","174,300","167,000","25,777,307,775,600","1.00","151,809,822","25,154,058","16.57",
16,051900,LG생활건강,"1,598,000","38,000","2.4","54,253","85,820,488,000","1,567,000","1,598,000","1,560,000","24,957,878,806,000","0.97","15,618,197","7,119,309","45.58",
17,005490,POSCO,"283,500","6,500","2.4","530,689","149,604,569,950","280,000","284,500","277,500","24,717,467,722,500","0.96","87,186,835","44,376,740","50.90",
18,066570,LG전자,"140,000","1,500","1.1","2,589,622","361,777,874,000","141,000","143,500","137,000","22,910,693,960,000","0.89","163,647,814","56,157,756","34.32",
19,034730,SK,"296,500","15,000","5.3","1,017,559","300,934,038,000","293,500","301,000","289,000","20,861,828,060,500","0.81","70,360,297","15,463,486","21.98",
20,036570,엔씨소프트,"940,000","-7,000","-0.7","123,066","115,784,955,000","946,000","955,000","933,000","20,636,780,680,000","0.80","21,954,022","10,785,802","49.13",
21,017670,SK텔레콤,"255,000","1,500","0.6","478,404","122,980,163,000","256,000","261,000","254,000","20,590,156,305,000","0.80","80,745,711","27,770,280","34.39",
22,105560,KB금융,"47,300","1,100","2.4","3,626,944","171,623,422,697","46,800","47,900","46,600","19,667,714,616,000","0.77","415,807,920","275,740,734","66.31",
23,003550,LG,"103,500","1,500","1.5","711,052","73,239,500,000","102,000","105,000","100,500","17,859,663,058,500","0.70","172,557,131","59,915,903","34.72",
24,055550,신한지주,"34,200","1,100","3.3","6,524,854","222,192,282,300","33,700","34,500","33,450","17,665,217,757,000","0.69","516,526,835","299,489,103","57.98",
25,032830,삼성생명,"83,600","1,000","1.2","838,599","70,424,524,200","83,300","85,000","83,100","16,720,000,000,000","0.65","200,000,000","24,688,905","12.34",
26,015760,한국전력,"25,750","-450","-1.7","6,072,063","156,800,178,250","26,250","26,350","25,550","16,530,574,982,750","0.64","641,964,077","110,687,202","17.24",
27,018260,삼성에스디에스,"206,000","0","0.0","332,071","68,293,897,000","208,000","208,000","202,500","15,939,826,800,000","0.62","77,377,800","9,169,738","11.85",
28,009150,삼성전기,"203,500","10,500","5.4","2,946,385","610,144,295,000","196,000","215,500","194,500","15,200,167,136,000","0.59","74,693,696","26,499,385","35.48",
29,090430,아모레퍼시픽,"211,500","8,500","4.2","553,390","115,362,291,500","206,500","211,500","203,500","12,363,970,635,000","0.48","58,458,490","18,879,048","32.29",
30,086790,하나금융지주,"40,200","1,050","2.7","3,990,999","160,433,141,800","40,000","40,800","39,650","12,069,730,892,400","0.47","300,242,062","201,600,827","67.15",
31,326030,SK바이오팜,"153,000","-1,500","-1.0","262,693","40,276,656,000","154,500","154,500","152,000","11,981,927,250,000","0.47","78,313,250","4,037,339","5.16",
32,033780,KT&G,"82,000","100","0.1","794,242","65,300,142,600","82,300","82,800","81,900","11,257,984,754,000","0.44","137,292,497","55,470,307","40.40",
33,251270,넷마블,"127,000","2,000","1.6","428,076","54,338,284,500","125,500","128,500","124,500","10,902,353,481,000","0.42","85,845,303","19,553,609","22.78",
34,011170,롯데케미칼,"309,000","-4,000","-1.3","555,908","174,609,240,500","317,000","326,500","304,500","10,591,104,471,000","0.41","34,275,419","9,140,827","26.67",
35,018880,한온시스템,"17,700","100","0.6","2,055,947","36,298,450,500","17,750","18,050","17,200","9,448,260,000,000","0.37","533,800,000","108,140,550","20.26",
36,000810,삼성화재,"188,000","3,500","1.9","216,215","40,367,259,000","185,500","188,000","184,000","8,906,469,356,000","0.35","47,374,837","21,162,714","44.67",
37,010950,S-Oil,"78,300","3,200","4.3","1,452,058","112,345,283,900","77,200","79,000","75,300","8,815,232,613,600","0.34","112,582,792","85,736,149","76.15",
38,009830,한화솔루션,"55,000","1,300","2.4","4,068,649","225,451,898,300","54,200","56,500","54,000","8,792,547,335,000","0.34","159,864,497","31,464,403","19.68",
39,068760,셀트리온제약,"229,700","5,700","2.5","2,150,842","499,226,412,500","221,700","239,800","219,000","8,225,703,318,900","0.32","35,810,637","3,091,203","8.63",
40,009540,한국조선해양,"116,000","0","0.0","370,710","43,172,792,000","117,000","118,000","115,000","8,209,681,456,000","0.32","70,773,116","11,593,831","16.38",
41,010130,고려아연,"423,000","4,500","1.1","72,260","30,420,681,500","419,000","425,000","415,000","7,982,010,000,000","0.31","18,870,000","4,463,646","23.65",
42,003670,포스코케미칼,"125,500","-2,000","-1.6","383,687","48,660,132,500","128,000","129,500","125,000","7,654,021,610,000","0.30","60,988,220","4,434,443","7.27",
