순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"61,300","1,100","1.8","25,628,510","1,562,195,790,430","60,700","61,400","60,400","365,947,670,315,000","17.96","5,969,782,550","3,356,653,932","56.23",2507
2,000660,SK하이닉스,"87,000","500","0.6","2,638,617","229,019,677,500","86,100","87,200","85,900","63,336,205,755,000","3.11","728,002,365","357,453,939","49.10",
3,207940,삼성바이오로직스,"761,000","9,000","1.2","117,807","89,565,293,000","752,000","767,000","746,000","50,351,565,000,000","2.47","66,165,000","6,697,453","10.12",
4,051910,LG화학,"692,000","-10,000","-1.4","528,736","372,300,555,000","708,000","717,000","685,000","48,849,901,356,000","2.40","70,592,343","28,863,306","40.89",
5,005935,삼성전자우,"56,900","1,400","2.5","3,285,787","184,613,851,928","54,700","56,900","54,700","46,822,253,230,000","2.30","822,886,700","713,267,695","86.68",
6,035420,NAVER,"280,000","-3,000","-1.1","1,183,499","331,858,821,000","281,000","283,000","277,500","45,993,750,600,000","2.26","164,263,395","91,693,970","55.82",
7,068270,셀트리온,"296,500","20,000","7.2","2,765,598","808,829,956,500","277,000","301,000","275,500","40,025,643,317,000","1.96","134,993,738","27,800,021","20.59",
8,005380,현대차,"175,500","2,000","1.2","4,140,745","728,300,751,500","174,500","179,000","173,000","37,498,766,818,500","1.84","213,668,187","65,178,517","30.50",
9,006400,삼성SDI,"512,000","-21,000","-3.9","656,555","340,946,588,776","526,000","532,000","509,000","35,207,439,360,000","1.73","68,764,530","29,886,705","43.46",
10,035720,카카오,"355,500","-500","-0.1","713,843","252,755,764,000","351,500","358,500","347,500","31,372,099,654,500","1.54","88,247,819","28,141,250","31.89",
11,051900,LG생활건강,"1,571,000","42,000","2.8","41,690","64,759,006,000","1,523,000","1,575,000","1,523,000","24,536,187,487,000","1.20","15,618,197","7,138,198","45.70",
12,000270,기아차,"58,100","3,600","6.6","4,438,993","255,438,026,600","54,500","58,700","54,500","23,551,610,460,700","1.16","405,363,347","155,213,979","38.29",
13,012330,현대모비스,"243,000","2,000","0.8","423,677","102,666,501,000","239,500","246,000","239,500","23,098,290,642,000","1.13","95,054,694","40,831,574","42.96",
14,028260,삼성물산,"123,000","6,500","5.6","1,551,092","187,395,850,500","116,500","123,500","116,500","22,987,110,963,000","1.13","186,887,081","26,429,803","14.14",
15,005490,POSCO,"238,500","1,500","0.6","394,571","94,643,112,000","238,000","241,500","238,000","20,794,060,147,500","1.02","87,186,835","44,516,416","51.06",
