순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"64,800","-900","-1.4","22,963,790","1,495,190,594,762","65,700","66,200","64,700","386,841,909,240,000","18.54","5,969,782,550","3,375,031,754","56.54",2510
2,000660,SK하이닉스,"98,000","-100","-0.1","3,734,037","366,662,518,288","99,800","100,500","96,600","71,344,231,770,000","3.42","728,002,365","364,330,773","50.05",
3,207940,삼성바이오로직스,"812,000","38,000","4.9","403,958","325,383,830,000","787,000","817,000","785,000","53,725,980,000,000","2.58","66,165,000","6,710,135","10.14",
4,051910,LG화학,"709,000","23,000","3.4","350,805","245,731,103,000","688,000","709,000","686,000","50,049,971,187,000","2.40","70,592,343","29,015,984","41.10",
5,005935,삼성전자우,"58,500","-500","-0.8","3,624,699","211,090,145,650","58,600","59,000","57,700","48,138,871,950,000","2.31","822,886,700","708,660,242","86.12",
6,035420,NAVER,"281,000","6,000","2.2","912,899","256,459,023,785","274,500","283,500","274,000","46,158,013,995,000","2.21","164,263,395","91,509,965","55.71",
7,068270,셀트리온,"291,000","5,000","1.8","633,875","184,230,725,000","287,500","293,000","285,000","39,284,361,255,000","1.88","134,997,805","27,783,995","20.58",
8,005380,현대차,"179,500","-3,000","-1.6","2,228,657","402,785,323,500","183,500","185,500","179,000","38,353,439,566,500","1.84","213,668,187","65,985,631","30.88",
9,006400,삼성SDI,"501,000","7,500","1.5","388,798","194,440,651,000","497,000","508,000","491,000","34,451,029,530,000","1.65","68,764,530","29,807,327","43.35",
10,035720,카카오,"365,500","3,500","1.0","484,493","177,455,023,500","360,000","368,500","359,500","32,266,195,262,000","1.55","88,279,604","28,343,070","32.11",
11,051900,LG생활건강,"1,538,000","-4,000","-0.3","22,769","35,200,301,000","1,536,000","1,562,000","1,521,000","24,020,786,986,000","1.15","15,618,197","7,137,341","45.70",
12,000270,기아차,"58,200","-300","-0.5","2,360,865","137,003,640,500","58,600","59,200","57,400","23,592,146,795,400","1.13","405,363,347","154,445,235","38.10",
