순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"73,800","400","0.5","21,510,415","1,590,299,594,150","73,600","74,500","73,200","440,569,952,190,000","19.35","5,969,782,550","3,350,768,177","56.13",2524
2,000660,SK하이닉스,"117,000","1,500","1.3","3,066,761","359,109,177,587","116,000","119,000","115,500","85,176,276,705,000","3.74","728,002,365","362,541,864","49.80",
3,005935,삼성전자우,"69,900","600","0.9","6,710,198","472,118,964,700","69,700","72,500","69,500","57,519,780,330,000","2.53","822,886,700","685,182,029","83.27",
4,051910,LG화학,"793,000","-15,000","-1.9","332,473","261,626,550,188","811,000","811,000","791,000","55,979,727,999,000","2.46","70,592,343","29,942,212","42.42",
5,207940,삼성바이오로직스,"812,000","-8,000","-1.0","83,466","67,812,618,000","818,000","819,000","810,000","53,725,980,000,000","2.36","66,165,000","6,554,467","9.91",
6,068270,셀트리온,"357,500","-3,500","-1.0","1,676,174","606,724,350,000","366,500","370,500","350,000","48,261,715,287,500","2.12","134,997,805","27,950,016","20.70",
7,035420,NAVER,"286,000","-4,000","-1.4","555,272","160,307,617,500","292,500","294,000","286,000","46,979,330,970,000","2.06","164,263,395","91,712,771","55.83",
8,005380,현대차,"189,000","-1,000","-0.5","1,259,459","238,260,800,000","190,500","191,000","187,000","40,383,287,343,000","1.77","213,668,187","65,596,580","30.70",
9,006400,삼성SDI,"549,000","-7,000","-1.3","285,611","156,201,749,000","553,000","553,000","543,000","37,751,726,970,000","1.66","68,764,530","30,001,435","43.63",
10,035720,카카오,"373,500","-1,000","-0.3","480,288","180,271,943,500","376,500","381,000","372,500","32,983,889,206,500","1.45","88,310,279","28,068,737","31.78",
11,000270,기아차,"63,200","-500","-0.8","1,769,327","112,267,919,800","63,600","64,300","62,500","25,618,963,530,400","1.13","405,363,347","152,759,747","37.68",
12,051900,LG생활건강,"1,590,000","19,000","1.2","35,478","56,498,504,000","1,618,000","1,618,000","1,578,000","24,832,933,230,000","1.09","15,618,197","7,137,044","45.70",
13,012330,현대모비스,"258,000","15,000","6.2","1,235,681","316,008,877,960","245,000","262,000","243,000","24,524,111,052,000","1.08","95,054,694","41,379,302","43.53",
14,091990,셀트리온헬스케어,"161,200","2,100","1.3","5,073,431","826,428,335,700","163,300","166,000","156,100","24,471,743,306,400","1.07","151,809,822","25,365,275","16.71",
15,028260,삼성물산,"130,000","-1,500","-1.1","1,148,409","151,620,882,500","132,500","135,500","129,500","24,295,320,530,000","1.07","186,887,081","26,344,509","14.10",
16,005490,POSCO,"276,500","-3,000","-1.1","368,504","102,504,609,308","281,000","283,000","275,000","24,107,159,877,500","1.06","87,186,835","44,527,159","51.07",
17,017670,SK텔레콤,"249,000","2,000","0.8","473,572","117,949,231,000","247,500","251,500","247,000","20,105,682,039,000","0.88","80,745,711","27,507,464","34.07",
18,105560,KB금융,"47,000","-100","-0.2","1,521,534","71,479,528,350","47,300","47,300","46,600","19,542,972,240,000","0.86","415,807,920","274,232,924","65.95",
19,036570,엔씨소프트,"885,000","-3,000","-0.3","118,049","105,393,668,000","896,000","903,000","885,000","19,429,309,470,000","0.85","21,954,022","10,611,772","48.34",
20,055550,신한지주,"34,100","-450","-1.3","3,055,544","104,797,793,450","34,300","34,750","34,100","17,613,565,073,500","0.77","516,526,835","298,785,985","57.85",
21,034730,SK,"249,000","-4,000","-1.6","304,668","76,767,737,500","255,500","256,500","249,000","17,519,713,953,000","0.77","70,360,297","15,151,743","21.53",
22,096770,SK이노베이션,"183,000","-5,000","-2.7","1,039,491","192,675,567,500","189,500","191,000","182,500","16,921,198,212,000","0.74","92,465,564","22,243,455","24.06",
23,066570,LG전자,"95,000","-800","-0.8","1,013,069","96,167,735,600","95,400","95,700","94,000","15,546,542,330,000","0.68","163,647,814","59,156,667","36.15",
24,015760,한국전력,"23,900","100","0.4","5,730,045","137,037,347,350","23,900","24,300","23,400","15,342,941,440,300","0.67","641,964,077","109,459,509","17.05",
25,032830,삼성생명,"75,300","-700","-0.9","573,836","43,422,440,800","76,500","76,700","74,700","15,060,000,000,000","0.66","200,000,000","24,227,060","12.11",
26,018260,삼성에스디에스,"180,500","2,500","1.4","383,964","69,413,458,500","178,000","183,000","176,500","13,966,692,900,000","0.61","77,377,800","9,459,596","12.23",
27,326030,SK바이오팜,"171,000","-3,500","-2.0","183,234","31,336,506,000","173,500","173,500","170,000","13,391,565,750,000","0.59","78,313,250","3,244,882","4.14",
28,003550,LG,"77,100","-800","-1.0","454,209","35,273,638,500","77,900","78,700","77,100","13,304,154,800,100","0.58","172,557,131","59,880,156","34.70",
29,090430,아모레퍼시픽,"211,500","-4,500","-2.1","267,573","56,572,950,000","213,500","215,500","208,000","12,363,970,635,000","0.54","58,458,490","18,817,081","32.19",
30,009150,삼성전기,"164,000","-2,000","-1.2","447,064","73,433,308,000","166,000","166,000","163,000","12,249,766,144,000","0.54","74,693,696","25,762,801","34.49",
31,033780,KT&G,"86,800","-1,000","-1.1","850,482","73,993,351,400","87,700","87,800","86,500","11,916,988,739,600","0.52","137,292,497","55,843,717","40.67",
32,251270,넷마블,"126,500","-2,000","-1.6","217,110","27,601,858,500","129,000","129,000","126,500","10,859,298,257,500","0.48","85,844,255","19,168,632","22.33",
33,086790,하나금융지주,"36,050","-100","-0.3","1,319,910","47,593,886,600","36,100","36,200","35,700","10,823,726,335,100","0.48","300,242,062","195,001,410","64.95",
34,011170,롯데케미칼,"273,000","-6,500","-2.3","221,862","60,801,853,000","281,500","281,500","272,000","9,357,189,387,000","0.41","34,275,419","9,109,237","26.58",
35,000810,삼성화재,"192,000","-1,000","-0.5","166,321","32,009,073,000","193,500","194,500","191,000","9,095,968,704,000","0.40","47,374,837","21,043,333","44.42",
36,019170,신풍제약,"159,000","2,000","1.3","4,396,773","706,376,833,000","151,500","168,000","151,000","8,424,613,410,000","0.37","52,984,990","5,849,526","11.04",
37,018880,한온시스템,"15,700","-50","-0.3","803,412","12,625,223,300","15,750","15,900","15,500","8,380,660,000,000","0.37","533,800,000","110,108,241","20.63",
38,068760,셀트리온제약,"232,000","9,600","4.3","2,243,434","520,596,614,100","228,300","238,400","223,600","8,308,067,784,000","0.36","35,810,637","3,394,046","9.48",
39,010950,S-Oil,"71,500","-1,800","-2.5","492,441","35,366,626,800","72,600","72,900","71,300","8,049,669,628,000","0.35","112,582,792","84,452,783","75.01",
40,009540,한국조선해양,"111,000","1,500","1.4","635,970","70,823,319,500","109,500","114,000","108,000","7,855,815,876,000","0.35","70,773,116","11,379,187","16.08",
41,010130,고려아연,"394,000","2,000","0.5","57,887","22,816,023,000","392,000","396,500","391,500","7,434,780,000,000","0.33","18,870,000","4,484,426","23.76",
42,009830,한화솔루션,"45,900","-400","-0.9","1,791,683","82,316,534,250","46,400","46,650","45,500","7,337,780,412,300","0.32","159,864,497","30,367,959","19.00",
43,316140,우리금융지주,"10,100","-200","-1.9","1,795,461","18,276,211,100","10,250","10,300","10,100","7,294,903,598,300","0.32","722,267,683","182,993,380","25.34",
44,086280,현대글로비스,"188,000","500","0.3","476,392","90,510,303,000","189,500","194,000","186,000","7,050,000,000,000","0.31","37,500,000","13,406,820","35.75",
45,024110,기업은행,"9,420","-100","-1.0","2,243,696","21,193,623,820","9,530","9,540","9,420","6,958,218,271,200","0.31","738,664,360","75,630,764","10.24",
46,030200,KT,"24,600","-50","-0.2","1,079,002","26,566,725,750","24,700","24,700","24,550","6,423,350,476,800","0.28","261,111,808","114,474,849","43.84",
47,352820,빅히트,"175,500","-5,000","-2.8","197,662","34,988,550,500","179,500","179,500","175,000","6,251,969,880,000","0.27","35,623,760","1,218,883","3.42",
48,003670,포스코케미칼,"102,500","-4,000","-3.8","541,254","55,760,071,500","103,500","104,500","102,000","6,251,292,550,000","0.27","60,988,220","4,448,475","7.29",
49,006800,미래에셋대우,"9,660","-340","-3.4","3,762,368","36,840,307,380","10,000","10,000","9,660","6,233,756,501,280","0.27","645,316,408","92,256,623","14.30",
50,034220,LG디스플레이,"16,800","150","0.9","2,900,267","48,630,890,400","16,650","16,950","16,550","6,011,303,760,000","0.26","357,815,700","83,291,142","23.28",
51,097950,CJ제일제당,"379,000","2,000","0.5","93,929","35,562,627,500","380,500","383,000","373,500","5,705,536,494,000","0.25","15,054,186","3,618,264","24.03",
52,096530,씨젠,"216,500","14,000","6.9","1,345,932","286,758,395,200","210,000","216,600","207,900","5,679,665,330,000","0.25","26,234,020","4,613,812","17.59",
53,004020,현대제철,"40,200","-900","-2.2","1,230,146","49,638,619,550","40,500","41,250","39,800","5,364,520,557,000","0.24","133,445,785","25,906,113","19.41",
54,271560,오리온,"132,000","6,000","4.8","269,766","34,827,225,500","126,000","132,500","123,500","5,218,769,424,000","0.23","39,536,132","16,653,919","42.12",
55,021240,코웨이,"70,500","-800","-1.1","183,911","12,969,847,100","71,600","71,700","70,200","5,202,873,139,500","0.23","73,799,619","44,650,109","60.50",
56,032640,LG유플러스,"11,800","-100","-0.8","2,469,926","29,232,016,150","11,950","12,000","11,750","5,152,014,059,800","0.23","436,611,361","135,540,255","31.04",
57,035250,강원랜드,"23,800","-150","-0.6","761,907","18,071,003,050","23,600","23,950","23,450","5,091,783,900,000","0.22","213,940,500","48,263,304","22.56",
58,028300,에이치엘비,"95,800","-2,600","-2.6","649,371","62,664,757,600","98,200","98,200","95,700","5,044,324,092,000","0.22","52,654,740","6,397,860","12.15",
59,196170,알테오젠,"177,000","2,000","1.1","443,446","78,900,435,000","176,200","180,900","171,700","4,970,673,300,000","0.22","28,082,900","5,229,189","18.62",
60,008930,한미사이언스,"73,900","-2,000","-2.6","368,766","27,608,556,200","75,900","77,400","73,500","4,878,223,911,100","0.21","66,011,149","1,177,665","1.78",
61,003490,대한항공,"27,400","-1,000","-3.5","3,658,795","100,635,877,050","28,100","28,150","27,200","4,773,346,136,200","0.21","174,209,713","21,717,135","12.47",
62,267250,현대중공업지주,"299,000","2,500","0.8","92,479","27,739,626,500","298,000","305,000","292,500","4,723,786,483,000","0.21","15,798,617","2,738,722","17.34",
63,161390,한국타이어앤테크놀로지,"37,650","-1,900","-4.8","346,810","13,248,366,700","39,950","39,950","37,650","4,663,896,347,850","0.20","123,875,069","47,356,396","38.23",
64,006280,녹십자,"399,000","36,500","10.1","973,087","376,095,281,500","369,500","400,000","364,000","4,662,928,662,000","0.20","11,686,538","2,234,495","19.12",
65,002790,아모레G,"56,300","-2,100","-3.6","267,014","15,135,886,100","57,700","58,000","56,300","4,642,395,534,000","0.20","82,458,180","16,246,611","19.70",
66,000100,유한양행,"68,500","800","1.2","532,243","36,429,023,700","68,300","69,400","67,400","4,579,691,485,000","0.20","66,856,810","13,909,181","20.80",
67,010140,삼성중공업,"7,040","-120","-1.7","10,309,099","73,151,810,560","7,190","7,230","7,020","4,435,200,000,000","0.19","630,000,000","92,454,999","14.68",
