순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"60,900","0","0.0","15,703,443","959,154,941,000","61,200","61,500","60,600","363,559,757,295,000","18.61","5,969,782,550","3,355,422,870","56.21",2503
2,000660,SK하이닉스,"83,800","-1,400","-1.6","4,925,877","414,313,821,100","85,300","86,200","82,800","61,006,598,187,000","3.12","728,002,365","355,993,498","48.90",
3,035420,NAVER,"297,500","7,500","2.6","640,501","190,068,789,500","292,500","301,000","291,000","48,868,360,012,500","2.50","164,263,395","91,670,901","55.81",
4,207940,삼성바이오로직스,"688,000","6,000","0.9","46,859","31,970,434,000","683,000","688,000","677,000","45,521,520,000,000","2.33","66,165,000","6,709,073","10.14",
5,005935,삼성전자우,"53,200","-100","-0.2","1,801,444","96,011,304,760","53,500","53,700","53,100","43,777,572,440,000","2.24","822,886,700","712,813,745","86.62",
6,051910,LG화학,"617,000","-4,000","-0.6","241,633","149,219,665,000","624,000","626,000","614,000","43,555,475,631,000","2.23","70,592,343","27,015,976","38.27",
7,005380,현대차,"165,500","-2,000","-1.2","1,760,669","291,532,765,500","167,000","167,500","163,500","35,362,084,948,500","1.81","213,668,187","66,286,178","31.02",
8,068270,셀트리온,"244,000","-1,500","-0.6","625,587","152,452,069,500","244,000","246,500","240,500","32,938,472,072,000","1.69","134,993,738","27,878,446","20.65",
9,035720,카카오,"353,500","1,000","0.3","516,282","183,375,628,500","351,000","361,000","351,000","31,195,604,016,500","1.60","88,247,819","28,122,670","31.87",
10,006400,삼성SDI,"433,000","500","0.1","239,137","103,401,293,000","434,000","436,500","429,500","29,775,041,490,000","1.52","68,764,530","28,923,984","42.06",
11,051900,LG생활건강,"1,551,000","4,000","0.3","20,458","31,714,717,000","1,548,000","1,566,000","1,539,000","24,223,823,547,000","1.24","15,618,197","7,104,999","45.49",
12,012330,현대모비스,"231,500","-6,000","-2.5","476,527","110,562,088,500","236,500","236,500","228,500","22,005,161,661,000","1.13","95,054,694","41,113,422","43.25",
13,028260,삼성물산,"104,000","1,500","1.5","208,146","21,471,623,500","102,500","104,000","102,000","19,436,256,424,000","0.99","186,887,081","26,162,873","14.00",
14,017670,SK텔레콤,"238,000","5,000","2.2","207,784","49,058,605,000","232,500","239,500","231,500","19,217,479,218,000","0.98","80,745,711","28,606,849","35.43",
15,000270,기아차,"45,450","-1,400","-3.0","2,311,018","105,624,153,050","46,550","46,750","45,050","18,423,764,121,150","0.94","405,363,347","155,875,286","38.45",
16,005490,POSCO,"207,000","500","0.2","249,347","51,453,411,500","206,000","208,500","204,000","18,047,674,845,000","0.92","87,186,835","44,480,635","51.02",
17,036570,엔씨소프트,"809,000","15,000","1.9","108,005","86,974,628,000","799,000","813,000","794,000","17,760,803,798,000","0.91","21,954,022","10,749,430","48.96",
18,105560,KB금융,"41,450","700","1.7","2,378,411","98,336,441,850","40,750","41,700","40,450","17,235,238,284,000","0.88","415,807,920","272,907,816","65.63",
19,055550,신한지주,"29,200","200","0.7","3,384,480","98,617,372,950","28,700","29,350","28,700","15,082,583,582,000","0.77","516,526,835","279,019,432","54.02",
20,066570,LG전자,"90,400","-300","-0.3","502,901","45,389,625,300","91,400","91,400","89,800","14,793,762,385,600","0.76","163,647,814","57,911,647","35.39",
21,034730,SK,"201,000","3,500","1.8","145,933","29,005,869,500","197,500","201,500","196,500","14,142,419,697,000","0.72","70,360,297","15,412,039","21.90",
22,015760,한국전력,"21,750","750","3.6","3,994,188","86,165,328,100","21,050","21,800","21,000","13,962,718,674,750","0.71","641,964,077","112,547,005","17.53",
23,018260,삼성에스디에스,"175,500","-500","-0.3","115,693","20,289,184,000","176,000","177,500","174,000","13,579,803,900,000","0.70","77,377,800","9,385,074","12.13",
24,091990,셀트리온헬스케어,"87,600","900","1.0","667,317","57,941,496,200","86,700","88,000","85,500","13,294,142,887,200","0.68","151,759,622","25,713,618","16.94",
25,096770,SK이노베이션,"138,500","-2,000","-1.4","311,234","43,172,473,000","141,500","141,500","137,500","12,806,480,614,000","0.66","92,465,564","21,962,376","23.75",
26,326030,SK바이오팜,"161,500","6,500","4.2","449,038","71,439,243,500","156,000","162,000","154,500","12,647,589,875,000","0.65","78,313,250","1,984,951","2.53",
27,003550,LG,"72,400","200","0.3","183,940","13,324,278,500","72,000","72,900","72,000","12,493,136,284,400","0.64","172,557,131","59,972,944","34.76",
28,032830,삼성생명,"61,200","900","1.5","309,535","18,771,970,700","60,600","61,200","59,800","12,240,000,000,000","0.63","200,000,000","24,913,892","12.46",
29,033780,KT&G,"83,900","800","1.0","235,745","19,627,958,000","82,900","83,900","82,700","11,518,840,498,300","0.59","137,292,497","57,412,067","41.82",
30,251270,넷마블,"133,000","-2,500","-1.8","387,195","51,561,623,000","135,500","136,500","131,000","11,417,097,454,000","0.58","85,842,838","19,487,218","22.70",
31,009150,삼성전기,"140,500","-1,500","-1.1","269,936","37,929,194,000","142,000","143,000","139,500","10,494,464,288,000","0.54","74,693,696","24,707,765","33.08",
32,090430,아모레퍼시픽,"167,000","-1,500","-0.9","253,417","42,727,277,417","169,000","172,000","166,000","9,762,567,830,000","0.50","58,458,490","17,758,394","30.38",
33,086790,하나금융지주,"31,400","1,000","3.3","2,101,444","65,305,293,500","30,450","31,400","30,250","9,427,600,746,800","0.48","300,242,062","190,932,043","63.59",
34,000810,삼성화재,"185,500","-500","-0.3","121,923","22,692,539,500","186,000","188,000","184,500","8,788,032,263,500","0.45","47,374,837","22,163,805","46.78",
35,011170,롯데케미칼,"241,500","5,000","2.1","304,716","72,526,391,500","236,500","243,500","231,500","8,277,513,688,500","0.42","34,275,419","9,771,283","28.51",
36,009830,한화솔루션,"47,500","4,300","10.0","9,053,186","416,082,074,800","43,900","47,500","43,650","7,593,563,607,500","0.39","159,864,497","31,689,455","19.82",
37,086280,현대글로비스,"200,500","1,000","0.5","858,869","171,696,871,000","203,500","206,500","193,000","7,518,750,000,000","0.38","37,500,000","13,484,246","35.96",
38,096530,씨젠,"274,800","1,800","0.7","548,615","151,525,986,400","273,000","280,100","272,200","7,209,108,696,000","0.37","26,234,020","4,400,259","16.77",
39,019170,신풍제약,"135,500","10,000","8.0","3,452,509","462,691,694,500","127,500","138,500","126,000","7,179,466,145,000","0.37","52,984,990","5,131,664","9.69",
40,010130,고려아연,"370,500","0","0.0","38,134","14,135,363,500","370,500","372,500","369,500","6,991,335,000,000","0.36","18,870,000","4,437,918","23.52",
41,018880,한온시스템,"12,550","300","2.4","415,716","5,158,490,050","12,250","12,550","12,200","6,699,190,000,000","0.34","533,800,000","110,536,350","20.71",
