순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"89,700","0","0.0","26,393,970","2,356,661,622,700","88,700","90,000","88,700","535,489,494,735,000","20.86","5,969,782,550","3,317,574,926","55.57",2531
2,000660,SK하이닉스,"130,500","-2,500","-1.9","5,380,278","702,426,036,508","132,500","133,000","129,000","95,004,308,632,500","3.70","728,002,365","365,468,524","50.20",
3,051910,LG화학,"1,010,000","10,000","1.0","652,537","668,205,895,000","1,008,000","1,050,000","1,000,000","71,298,266,430,000","2.78","70,592,343","30,771,496","43.59",
4,005935,삼성전자우,"78,800","200","0.2","2,243,911","176,600,451,300","78,800","79,100","78,400","64,843,471,960,000","2.53","822,886,700","662,554,950","80.52",
5,207940,삼성바이오로직스,"816,000","-14,000","-1.7","163,631","133,916,332,000","828,000","828,000","810,000","53,990,640,000,000","2.10","66,165,000","6,878,990","10.40",
6,005380,현대차,"250,500","-8,500","-3.3","3,389,733","853,485,004,500","251,000","255,500","248,500","53,523,880,843,500","2.09","213,668,187","66,127,659","30.95",
7,035420,NAVER,"318,000","4,000","1.3","1,548,585","494,982,166,500","318,500","326,000","314,000","52,235,759,610,000","2.03","164,263,395","92,804,233","56.50",
8,006400,삼성SDI,"749,000","-5,000","-0.7","531,618","400,925,816,000","751,000","768,000","746,000","51,504,632,970,000","2.01","68,764,530","30,374,382","44.17",
9,068270,셀트리온,"352,500","-29,000","-7.6","3,425,555","1,229,693,266,000","366,000","374,000","351,000","47,586,726,262,500","1.85","134,997,805","27,505,275","20.37",
10,035720,카카오,"451,500","-3,000","-0.7","802,076","365,585,594,000","454,000","463,000","450,000","39,939,647,559,000","1.56","88,459,906","29,593,981","33.45",
11,012330,현대모비스,"327,000","-12,500","-3.7","977,707","320,501,937,500","328,500","334,500","324,500","31,082,884,938,000","1.21","95,054,694","40,187,081","42.28",
12,000270,기아차,"73,800","1,600","2.2","6,832,897","504,252,980,700","71,200","75,500","70,500","29,915,815,008,600","1.17","405,363,347","150,424,462","37.11",
13,028260,삼성물산,"152,500","6,500","4.4","1,851,446","284,104,774,000","147,500","157,500","146,500","28,500,279,852,500","1.11","186,887,081","27,936,925","14.95",
14,051900,LG생활건강,"1,596,000","-2,000","-0.1","37,275","59,285,988,000","1,562,000","1,607,000","1,561,000","24,926,642,412,000","0.97","15,618,197","7,128,606","45.64",
15,005490,POSCO,"282,000","-1,500","-0.5","398,857","112,815,055,500","283,500","285,000","281,000","24,586,687,470,000","0.96","87,186,835","44,467,634","51.00",
16,096770,SK이노베이션,"262,000","-19,000","-6.8","2,611,650","705,698,981,500","274,000","283,500","261,000","24,225,977,768,000","0.94","92,465,564","22,342,995","24.16",
17,066570,LG전자,"147,000","7,000","5.0","5,618,859","822,124,752,500","138,500","150,500","138,500","24,056,228,658,000","0.94","163,647,814","56,353,021","34.44",
18,091990,셀트리온헬스케어,"155,900","-13,900","-8.2","5,380,533","852,727,574,100","161,100","165,000","153,700","23,667,151,249,800","0.92","151,809,822","25,074,030","16.52",
19,034730,SK,"306,000","9,500","3.2","912,334","279,674,902,000","299,000","310,000","298,500","21,530,250,882,000","0.84","70,360,297","15,493,793","22.02",
20,017670,SK텔레콤,"255,500","500","0.2","529,992","135,276,640,500","255,000","258,500","252,000","20,630,529,160,500","0.80","80,745,711","27,809,711","34.44",
21,036570,엔씨소프트,"939,000","-1,000","-0.1","97,237","91,309,569,000","932,000","946,000","930,000","20,614,826,658,000","0.80","21,954,022","10,793,849","49.17",
22,105560,KB금융,"46,550","-750","-1.6","2,836,491","132,887,444,115","47,500","47,550","46,550","19,355,858,676,000","0.75","415,807,920","276,014,695","66.38",
23,003550,LG,"108,500","5,000","4.8","1,006,769","108,036,864,932","102,500","109,500","102,000","18,722,448,713,500","0.73","172,557,131","59,999,416","34.77",
24,055550,신한지주,"34,050","-150","-0.4","3,917,487","133,695,549,550","34,300","34,350","33,950","17,587,738,731,750","0.69","516,526,835","300,296,709","58.14",
25,032830,삼성생명,"84,900","1,300","1.6","954,548","80,939,980,500","83,500","86,000","83,500","16,980,000,000,000","0.66","200,000,000","24,804,945","12.40",
26,015760,한국전력,"25,950","200","0.8","4,490,413","115,988,197,200","25,950","26,000","25,550","16,658,967,798,150","0.65","641,964,077","111,397,161","17.35",
27,018260,삼성에스디에스,"209,500","3,500","1.7","430,198","90,901,125,000","208,500","215,000","207,000","16,210,649,100,000","0.63","77,377,800","9,145,539","11.82",
28,009150,삼성전기,"207,500","4,000","2.0","1,318,496","275,692,824,500","205,000","214,000","205,000","15,498,941,920,000","0.60","74,693,696","26,555,767","35.55",
29,090430,아모레퍼시픽,"213,500","2,000","1.0","349,290","73,861,067,500","213,000","213,500","208,000","12,480,887,615,000","0.49","58,458,490","18,913,157","32.35",
30,326030,SK바이오팜,"155,000","2,000","1.3","286,485","44,326,343,000","153,500","156,500","152,000","12,138,553,750,000","0.47","78,313,250","4,043,392","5.16",
