순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"77,800","3,900","5.3","32,502,870","2,486,986,812,800","74,100","78,800","74,000","464,449,082,390,000","20.07","5,969,782,550","3,335,680,180","55.88",2530
2,000660,SK하이닉스,"118,000","2,000","1.7","3,486,636","409,772,029,000","116,000","118,500","115,500","85,904,279,070,000","3.71","728,002,365","361,840,189","49.70",
3,005935,삼성전자우,"72,800","2,900","4.2","5,870,143","421,169,664,800","70,400","73,600","70,100","59,906,151,760,000","2.59","822,886,700","676,911,175","82.26",
4,051910,LG화학,"818,000","12,000","1.5","335,065","257,203,689,000","810,000","822,000","802,000","57,744,536,574,000","2.50","70,592,343","29,977,413","42.47",
5,207940,삼성바이오로직스,"794,000","-2,000","-0.2","113,354","90,268,887,000","798,000","802,000","788,000","52,535,010,000,000","2.27","66,165,000","6,853,319","10.36",
6,068270,셀트리온,"347,500","-7,500","-2.1","2,076,258","725,488,573,500","355,500","358,000","343,500","46,911,737,237,500","2.03","134,997,805","28,010,101","20.75",
7,035420,NAVER,"282,000","-2,000","-0.7","453,095","127,855,006,000","284,500","284,500","280,000","46,322,277,390,000","2.00","164,263,395","91,331,955","55.60",
8,005380,현대차,"187,000","2,000","1.1","1,061,140","198,783,811,500","185,000","189,000","185,000","39,955,950,969,000","1.73","213,668,187","65,221,664","30.52",
9,006400,삼성SDI,"563,000","9,000","1.6","361,601","203,621,948,000","557,000","569,000","554,000","38,714,430,390,000","1.67","68,764,530","30,357,042","44.15",
10,035720,카카오,"374,000","-3,500","-0.9","465,132","174,533,511,000","378,500","380,000","372,000","33,028,044,346,000","1.43","88,310,279","28,120,372","31.84",
11,028260,삼성물산,"139,000","2,000","1.5","1,181,832","163,483,794,000","138,000","141,000","136,000","25,977,304,259,000","1.12","186,887,081","26,058,752","13.94",
12,091990,셀트리온헬스케어,"168,000","-2,200","-1.3","3,948,332","666,489,734,200","170,300","172,800","164,000","25,504,050,096,000","1.10","151,809,822","25,844,658","17.02",
13,051900,LG생활건강,"1,625,000","14,000","0.9","18,308","29,647,650,000","1,613,000","1,629,000","1,603,000","25,379,570,125,000","1.10","15,618,197","7,115,105","45.56",
14,000270,기아차,"61,700","300","0.5","1,271,051","78,313,463,700","61,800","62,800","61,200","25,010,918,509,900","1.08","405,363,347","151,631,242","37.41",
15,012330,현대모비스,"251,000","0","0.0","286,108","71,640,994,500","252,000","254,000","248,500","23,858,728,194,000","1.03","95,054,694","40,948,023","43.08",
16,005490,POSCO,"271,000","3,500","1.3","251,708","67,991,127,000","269,000","271,500","267,500","23,627,632,285,000","1.02","87,186,835","44,145,760","50.63",
17,017670,SK텔레콤,"247,000","2,000","0.8","177,141","43,719,144,500","247,000","247,500","245,500","19,944,190,617,000","0.86","80,745,711","27,372,928","33.90",
18,036570,엔씨소프트,"897,000","9,000","1.0","96,941","86,835,309,000","894,000","903,000","888,000","19,692,757,734,000","0.85","21,954,022","10,641,548","48.47",
19,105560,KB금융,"45,450","1,450","3.3","1,322,132","59,601,372,600","44,650","45,450","44,500","18,898,469,964,000","0.82","415,807,920","271,795,267","65.37",
20,066570,LG전자,"112,000","-7,500","-6.3","11,918,248","1,399,545,185,500","125,000","128,500","110,500","18,328,555,168,000","0.79","163,647,814","59,335,972","36.26",
21,015760,한국전력,"27,000","200","0.8","5,487,118","147,562,773,150","26,700","27,450","26,250","17,333,030,079,000","0.75","641,964,077","110,302,814","17.18",
22,055550,신한지주,"33,300","450","1.4","2,853,145","94,876,029,100","33,100","33,400","32,950","17,200,343,605,500","0.74","516,526,835","295,291,580","57.17",
23,034730,SK,"242,000","2,500","1.0","229,190","55,420,236,500","241,000","244,500","240,000","17,027,191,874,000","0.74","70,360,297","15,063,679","21.41",
24,096770,SK이노베이션,"180,500","0","0.0","490,022","88,449,988,000","181,000","182,500","179,500","16,690,034,302,000","0.72","92,465,564","22,412,110","24.24",
25,032830,삼성생명,"82,100","1,600","2.0","762,642","62,216,981,700","80,700","82,200","80,600","16,420,000,000,000","0.71","200,000,000","23,996,543","12.00",
26,003550,LG,"85,000","-1,400","-1.6","1,473,751","124,802,350,300","88,600","89,600","81,300","14,667,356,135,000","0.63","172,557,131","59,045,131","34.22",
27,018260,삼성에스디에스,"179,500","1,500","0.8","183,945","32,980,400,500","178,500","181,000","178,000","13,889,315,100,000","0.60","77,377,800","9,067,460","11.72",
28,326030,SK바이오팜,"171,000","0","0.0","133,848","22,758,046,500","171,000","171,500","168,500","13,391,565,750,000","0.58","78,313,250","4,003,687","5.11",
29,009150,삼성전기,"167,500","500","0.3","480,456","80,541,365,000","167,500","169,000","166,000","12,511,194,080,000","0.54","74,693,696","25,385,369","33.99",
30,033780,KT&G,"88,400","800","0.9","888,142","78,395,370,900","88,100","88,600","87,700","12,136,656,734,800","0.52","137,292,497","55,387,823","40.34",
31,090430,아모레퍼시픽,"202,500","3,000","1.5","175,821","35,685,714,000","201,000","207,000","200,000","11,837,844,225,000","0.51","58,458,490","18,818,906","32.19",
32,086790,하나금융지주,"35,800","900","2.6","1,231,269","43,701,241,400","35,250","35,800","35,100","10,748,665,819,600","0.46","300,242,062","195,496,526","65.11",
33,251270,넷마블,"125,000","1,000","0.8","215,286","26,666,722,500","124,000","125,000","122,500","10,730,662,875,000","0.46","85,845,303","19,312,213","22.50",
34,000810,삼성화재,"195,500","1,500","0.8","113,385","22,068,985,000","194,500","195,500","193,500","9,261,780,633,500","0.40","47,374,837","21,063,352","44.46",
35,011170,롯데케미칼,"265,000","7,000","2.7","293,956","78,253,972,000","259,500","271,000","259,000","9,082,986,035,000","0.39","34,275,419","9,067,747","26.46",
36,068760,셀트리온제약,"240,000","4,800","2.0","1,600,327","382,571,562,900","237,800","244,400","230,400","8,594,552,880,000","0.37","35,810,637","3,241,014","9.05",
37,018880,한온시스템,"15,900","-250","-1.6","1,301,605","20,505,492,200","16,150","16,200","15,500","8,487,420,000,000","0.37","533,800,000","108,838,912","20.39",
38,010130,고려아연,"413,000","500","0.1","147,733","60,995,628,500","412,500","414,500","408,500","7,793,310,000,000","0.34","18,870,000","4,471,369","23.70",
39,010950,S-Oil,"69,000","1,300","1.9","305,187","21,004,000,700","68,400","69,200","68,400","7,768,212,648,000","0.34","112,582,792","85,169,041","75.65",
40,009540,한국조선해양,"108,000","500","0.5","256,354","27,638,001,000","109,500","109,500","107,000","7,643,496,528,000","0.33","70,773,116","11,524,698","16.28",
41,316140,우리금융지주,"10,150","150","1.5","1,884,212","19,025,720,950","10,050","10,150","10,000","7,331,016,982,450","0.32","722,267,683","180,444,313","24.98",
42,009830,한화솔루션,"45,650","-750","-1.6","1,781,477","81,720,637,200","46,350","46,550","45,600","7,297,814,288,050","0.32","159,864,497","30,497,125","19.08",
43,024110,기업은행,"9,450","100","1.1","3,301,952","31,146,417,940","9,390","9,500","9,360","6,980,378,202,000","0.30","738,664,360","74,812,478","10.13",
44,086280,현대글로비스,"182,000","1,500","0.8","125,458","22,752,995,000","182,000","182,500","180,500","6,825,000,000,000","0.29","37,500,000","13,292,514","35.45",
45,030200,KT,"25,450","300","1.2","1,392,260","35,316,130,750","25,300","25,450","25,200","6,645,295,513,600","0.29","261,111,808","114,954,665","44.03",
46,034220,LG디스플레이,"17,850","-400","-2.2","7,122,580","127,711,877,800","18,450","18,550","17,550","6,387,010,245,000","0.28","357,815,700","84,469,880","23.61",
47,003670,포스코케미칼,"104,500","0","0.0","381,566","39,941,836,500","104,500","106,000","103,500","6,373,268,990,000","0.28","60,988,220","4,415,753","7.24",
48,019170,신풍제약,"119,000","5,500","4.8","10,565,072","1,257,459,901,000","113,000","128,500","105,500","6,305,213,810,000","0.27","52,984,990","6,183,597","11.67",
49,006800,미래에셋대우,"9,630","60","0.6","1,778,559","17,133,557,100","9,580","9,680","9,560","6,214,397,009,040","0.27","645,316,408","91,732,051","14.22",
50,097950,CJ제일제당,"382,500","-2,000","-0.5","54,395","20,883,518,500","387,500","387,500","382,000","5,758,226,145,000","0.25","15,054,186","3,639,071","24.17",
51,352820,빅히트,"158,000","5,000","3.3","132,612","20,781,467,000","153,000","158,500","151,500","5,628,554,080,000","0.24","35,623,760","1,253,328","3.52",
