순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"67,500","2,800","4.3","27,134,398","1,811,363,067,200","64,800","67,800","64,700","402,960,322,125,000","18.87","5,969,782,550","3,378,913,075","56.60",2512
2,000660,SK하이닉스,"100,000","3,200","3.3","4,149,013","413,915,943,700","97,300","101,000","96,600","72,800,236,500,000","3.41","728,002,365","365,389,083","50.19",
3,207940,삼성바이오로직스,"804,000","5,000","0.6","102,645","82,821,426,000","805,000","814,000","802,000","53,196,660,000,000","2.49","66,165,000","6,661,806","10.07",
4,051910,LG화학,"748,000","24,000","3.3","466,506","347,401,209,000","739,000","748,000","735,000","52,803,072,564,000","2.47","70,592,343","29,410,933","41.66",
5,005935,삼성전자우,"61,000","2,700","4.6","3,411,903","204,708,963,900","58,400","61,000","58,400","50,196,088,700,000","2.35","822,886,700","707,457,424","85.97",
6,035420,NAVER,"281,500","500","0.2","565,213","158,965,136,500","282,000","282,500","278,500","46,240,145,692,500","2.16","164,263,395","91,650,980","55.80",
7,068270,셀트리온,"301,000","4,500","1.5","980,542","296,037,302,500","300,000","304,000","298,500","40,634,339,305,000","1.90","134,997,805","27,612,884","20.45",
8,005380,현대차,"179,000","2,000","1.1","1,494,870","266,632,790,062","175,000","179,500","175,000","38,246,605,473,000","1.79","213,668,187","66,290,533","31.02",
9,006400,삼성SDI,"526,000","11,000","2.1","374,985","196,932,988,000","520,000","532,000","516,000","36,170,142,780,000","1.69","68,764,530","30,037,702","43.68",
10,035720,카카오,"367,000","1,500","0.4","363,196","133,244,632,000","368,500","369,000","365,000","32,398,614,668,000","1.52","88,279,604","28,421,246","32.19",
11,051900,LG생활건강,"1,565,000","1,000","0.1","23,028","36,150,277,000","1,578,000","1,583,000","1,556,000","24,442,478,305,000","1.14","15,618,197","7,141,794","45.73",
12,000270,기아차,"59,300","1,200","2.1","2,066,011","121,133,413,100","57,600","59,700","57,500","24,038,046,477,100","1.13","405,363,347","154,079,065","38.01",
13,012330,현대모비스,"247,500","7,000","2.9","409,071","99,977,689,500","239,500","248,000","238,500","23,526,036,765,000","1.10","95,054,694","41,164,755","43.31",
14,028260,삼성물산,"122,500","1,500","1.2","493,014","60,194,093,000","120,500","123,000","120,000","22,893,667,422,500","1.07","186,887,081","26,704,885","14.29",
15,005490,POSCO,"243,500","6,000","2.5","465,251","113,030,466,500","237,000","245,000","235,000","21,229,994,322,500","0.99","87,186,835","44,575,583","51.13",
16,105560,KB금융,"46,450","800","1.8","1,540,532","71,355,655,400","45,800","46,750","45,600","19,314,277,884,000","0.90","415,807,920","274,473,880","66.01",
17,017670,SK텔레콤,"231,000","2,000","0.9","295,799","68,176,186,000","229,500","232,000","228,000","18,652,259,241,000","0.87","80,745,711","27,515,218","34.08",
18,036570,엔씨소프트,"822,000","-6,000","-0.7","84,643","69,899,126,000","840,000","840,000","818,000","18,046,206,084,000","0.84","21,954,022","10,570,429","48.15",
19,055550,신한지주,"33,950","450","1.3","2,678,253","90,731,997,200","33,500","34,100","33,300","17,536,086,048,250","0.82","516,526,835","299,324,967","57.95",
20,091990,셀트리온헬스케어,"99,900","1,200","1.2","1,292,350","129,980,726,200","99,800","101,600","99,300","15,165,801,217,800","0.71","151,809,822","25,587,655","16.86",
21,034730,SK,"214,500","500","0.2","173,920","37,357,137,000","214,000","216,000","212,000","15,092,283,706,500","0.71","70,360,297","15,343,914","21.81",
22,032830,삼성생명,"75,000","1,500","2.0","770,840","57,503,982,900","73,100","75,400","72,500","15,000,000,000,000","0.70","200,000,000","24,529,965","12.26",
23,066570,LG전자,"89,200","500","0.6","746,317","66,544,512,400","89,100","89,900","87,700","14,597,385,008,800","0.68","163,647,814","58,741,173","35.89",
24,096770,SK이노베이션,"154,000","0","0.0","505,916","78,041,247,000","153,500","155,500","152,500","14,239,696,856,000","0.67","92,465,564","22,231,626","24.04",
25,015760,한국전력,"21,550","350","1.6","3,731,602","80,181,766,300","21,350","21,600","21,300","13,834,325,859,350","0.65","641,964,077","107,715,171","16.78",
26,018260,삼성에스디에스,"178,500","-1,000","-0.6","170,412","30,521,080,500","179,500","180,000","178,000","13,811,937,300,000","0.65","77,377,800","9,517,177","12.30",
27,326030,SK바이오팜,"170,500","500","0.3","213,056","36,213,631,000","170,000","171,000","168,500","13,352,409,125,000","0.63","78,313,250","2,395,600","3.06",
28,003550,LG,"75,900","0","0.0","340,595","26,037,234,000","76,200","77,300","75,300","13,097,086,242,900","0.61","172,557,131","59,930,760","34.73",
29,033780,KT&G,"86,400","100","0.1","400,995","34,764,648,800","86,100","87,200","86,000","11,862,071,740,800","0.56","137,292,497","57,003,355","41.52",
30,090430,아모레퍼시픽,"197,000","0","0.0","232,445","45,609,470,500","196,000","198,000","194,000","11,516,322,530,000","0.54","58,458,490","18,356,845","31.40",
31,009150,삼성전기,"152,000","3,000","2.0","619,988","93,779,528,500","148,500","152,500","147,500","11,353,441,792,000","0.53","74,693,696","25,738,706","34.46",
32,251270,넷마블,"131,000","500","0.4","415,434","54,983,929,500","134,000","135,000","130,500","11,245,597,405,000","0.53","85,844,255","19,367,856","22.56",
33,086790,하나금융지주,"35,800","400","1.1","1,414,186","50,420,467,450","35,200","36,100","34,950","10,748,665,819,600","0.50","300,242,062","195,200,474","65.01",
34,011170,롯데케미칼,"289,000","2,000","0.7","241,810","70,108,242,500","287,000","294,000","283,000","9,905,596,091,000","0.46","34,275,419","9,258,434","27.01",
35,000810,삼성화재,"206,500","500","0.2","145,121","30,143,873,500","207,000","210,500","205,000","9,782,903,840,500","0.46","47,374,837","21,661,409","45.72",
36,018880,한온시스템,"15,300","50","0.3","1,792,680","27,579,793,650","15,150","15,650","15,000","8,167,140,000,000","0.38","533,800,000","112,330,331","21.04",
37,009830,한화솔루션,"48,650","-150","-0.3","2,219,801","107,728,590,500","48,550","49,050","48,050","7,777,407,779,050","0.36","159,864,497","30,580,629","19.13",
38,010950,S-Oil,"66,500","800","1.2","433,893","28,664,523,000","65,200","66,600","65,000","7,486,755,668,000","0.35","112,582,792","83,679,751","74.33",
39,010130,고려아연,"393,500","5,500","1.4","48,692","19,038,846,000","387,000","393,500","386,500","7,425,345,000,000","0.35","18,870,000","4,514,875","23.93",
40,316140,우리금융지주,"10,050","80","0.8","1,874,230","18,850,607,650","9,970","10,150","9,900","7,258,790,214,150","0.34","722,267,683","185,591,594","25.70",
41,009540,한국조선해양,"102,000","6,200","6.5","1,141,724","115,372,128,600","96,000","104,000","95,100","7,218,857,832,000","0.34","70,773,116","11,273,669","15.93",
